id,input,prediction,ground_truth
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ال glossopharyngeal,B
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ال lunula,A
,أين يقع الخط الالوي السفلي؟,ال mandible,A
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ال condyloid,B
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضلات of the forearm,E
,أين تشاهد الجسور بين الخلوية؟,الepithelial,B
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,Pubic symphysis,B
,ما هو الهرمون الذي يفرز PTH؟,Parathyroid hormone,A
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ال foramen,C
,أين تقع المنطقة الشمية؟,الnasal cavity,A
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,Saphenous vein,A
,أين يوجد التلم الكعبري في جسم العضد؟,posterior,A
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ال pulp,C
,أين يقع المستقيم؟,Pelvis,B
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,Exocrine,A
,ما هو العصب المحرك لعضلات اللسان؟,الهيو,C
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ال cervical plexus,C
,من أين يفرز الأدرينالين؟,الغدة الكظر,B
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريد الإليac,B
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,tunica intima,B
,مما ينتج هرمون T4؟,الثيرoid,C
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,العضلة longus capitis,B
,أين تقع المنطقة الشمية؟,الnasal cavity,A
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ال fat pad,A
,أين يتوضع الكولون السيني؟,العمود,B
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ال crista galli,B
,ما هي الفروع الانتهائية للسبات الظاهر؟,ال facial,B
,أين يمر عصب الفك العلوي؟,ال فossa,A
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ال process,C
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ال عظم lacrimal,A
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,Aortic arch,A
,ما طول الأسهر؟,10 cm,A
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ال sulcus,C
