id,input,prediction,ground_truth
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,الجلوفopharyngeal,B
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,اللوْن,A
,أين يقع الخط الالوي السفلي؟,المنطقة of the mandible,A
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ال condyle,B
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضلات of the lateral compartment of the forearm,E
,أين تشاهد الجسور بين الخلوية؟,الخلايا epithelial,B
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الobturator membrane,B
,ما هو الهرمون الذي يفرز PTH؟,Parathyroid hormone,A
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الغدة,C
,أين تقع المنطقة الشمية؟,المنطقة superior of the nasal cavity,A
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,الpatella,A
,أين يوجد التلم الكعبري في جسم العضد؟,الظهر,A
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,الodontogenic epithelium,C
,أين يقع المستقيم؟,الpelvis,B
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,مخاري,A
,ما هو العصب المحرك لعضلات اللسان؟,الهيو,C
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الضفيرة celiac,C
,من أين يفرز الأدرينالين؟,الغدة الكظر,B
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريد iliac,B
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,تونica media,B
,مما ينتج هرمون T4؟,الثyroid,C
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,العضة of the tongue,B
,أين تقع المنطقة الشمية؟,المنطقة superior of the nasal cavity,A
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,الوسادة,A
,أين يتوضع الكولون السيني؟,اليس,B
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,الحد الجبهale,B
,ما هي الفروع الانتهائية للسبات الظاهر؟,ال facial nerve,B
,أين يمر عصب الفك العلوي؟,المنطقة of the foramen rotundum,A
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,المنطقة of the foramen,C
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الجمجمة,A
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,Aortic arch,A
,ما طول الأسهر؟,10-12 cm,A
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,السلخ,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,المنطقة posteroinferior of the temporal lobe,A
,أين يتوضع الدرز الأكليلي؟,المنطقة of the heart,A
,ماذا يفعل الرباط المتصالب الأمامي؟,ثبات of the knee,c
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,الثال,C
,إلى أي قصبات تتفرع القصبات الفصية؟,القصبات,C
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,الpons and medulla,C
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ال tonsils,C
,على أي من وجوه الكبد يوجد مسكن المرارة؟,السطح inferior,C
,ما هو العصب القحفي الثاني؟,الoptic nerve,A
,ما وظيفة العضلة تحت الكتفية؟,الاستقرار,b
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,Lower uterine segment,C
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,العارة,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الطرق,A
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,الglans,B
,ما هي أكبر غدد الجسم؟,الكل,A
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,ال renal artery,A
