id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,keep
1,Y2,عضلات الكم المدوره للكتف,Anatomy,Anatomy,هى ثلاث عضلات,كلها تدير العضد للخارج,وحدة منها ترتكز على الحديبية الصغرى,المدورة الكبيرة اهم واحده منها,,,C,ABCDE,no
2,Y1,دراسة وظائف العضو ووظائف الاتصال:,Anatomy,Anatomy,التشريح الوصفي,التشريح السريري,التشريح الفيزيولوجي,التشريح الجهازي,,,C,ABCD,no
3,Y2,مايلي صحيح عن مخاطية البوق عدا:,Histology,Anatomy,تبطن بظهارة بسيطة اسطوانية.,خلايا الظهارة المهدبة تضرب أهدابها باتجاه المبيض.,خلايا الظهارة المفرزة غير مهدبة.,الخاليا الوتدية cells peg تفرز غليكوبروتينات.,,,B,ABCD,no
4,Y1,عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :,Anatomy,Anatomy,السابع,التاسع,العاشر,الخامس,,,B,ABCD,yes
5,Y1,القناة الدافقة إختر الإجابة الخاطئة :,Anatomy,Anatomy,تقيس القناة الدافقة أقل من واحد سم,تتشكل من إتحاد البربخ مع قناة الحويصلة المنوية,تنقب السطح الخلفي للمثانة,تنفتح على الجزء الموثي من الإحليل,,,C,ABCD,no
6,Y2,ال تحتوي سيتوبلاسما جدر الشعيرات :,Histology,Anatomy,صهاريج من شبكة سيتوبالاسمية ناعمة.,متقدرات.,ريبوزوم.,معقد كولجي صغير.,,,A,ABCD,no
7,Y2,تقوم ال Chief Cell بإفراز :,Histology and Anatomy,Anatomy,Pepsinogen,Trypsinogen,Lipase,الأول والثالث,كل ما سبق صحيح,,D,ABCDE,no
8,Y1,قوس بيضاء عند حدود جسم الظفر مع جذره :,Anatomy,Anatomy,هليل الظفر,سرير الظفر,استارة الظفر,اللعوة,,,A,ABCD,yes
9,Y1,. من فروع الشريان السباتي الباطن,Anatomy,Anatomy,Ophthalmic,الشريان المخيخي السفلي الامامي,الشريان المخيخي السفلي الخلفي,شوكي,,,A,ABCD,no
10,Y1,. العظم الاضخم في هيكل القدم,Anatomy,Anatomy,Calcaneum,Navicular bone,Cuboid bone,Cuneiform bone,,,A,ABCD,no
11,Y1,كل ما يلي من صفات الحالب,Anatomy,Anatomy,نهايته العلوية تشكل الحويضة,عضو داخل البريتوان,فيه ثلاثة تضيقات,طوله 25 سم,,,B,ABCD,no
12,Y1,. يقع الخط الالوي السفلي على,Anatomy,Anatomy,السطح الخارجي للحرقفة,الوجه الداخلي للحرقفة,الفرع العلوي للعانة,الوجه الخلفي للفخذ,,,A,ABCD,yes
13,Y1,من جدران الفم ما عدا,Anatomy,Anatomy,يرزخ الحلق,الشدقان,الحنك,الشفتان,,,A,ABCD,no
