id,input,prediction,ground_truth,raw_output,primary_reasoning_objective,judge_label
1,"مريض: السلام عليكم يا دكتور، بقالي كام شهر حاسس بوجع في عضمِي، وكمان عندي إمساك بيتكرر. و كمان حاسس بتعب ومخي مش مركّز، تفكيري مش صافي.

مساعد طبي: وعليكم السلام، فاهم شكوتك. ممكن توصفلي وجع العضم بتفصيل أكتر؟ وهل جالك حصوات في الكِلى قريب؟

مريض: الوجع مش في مكان معيّن، حاسس كإن عضمِي بيوجعني من جوّه. وللأسف، جالي حصوات كِلى مرتين في آخر تلات سنين.

مساعد طبي: تمام، ده كلام مهم. بناءً على الأعراض وتاريخك مع حصوات الكِلى، وكمان التحاليل اللي بيّنِت إن الكالسيوم عالي في الدم، ممكن يكون عندك فرط نشاط الغدة جار الدرقية. هنحتاج نعمل فحوصات إضافية عشان نأكد التشخيص.

مريض: فرط نشاط الغدة جار الدرقية؟ أول مرة أسمع عنه. ده خطير؟ وإيه العلاج المطلوب؟","ده condition can be managed with medication or sometimes surgery, but first we need to confirm the diagnosis with more tests.",الغدد الجار درقية غدد صغيرة مكانها ورا الغدة الدرقية. وظيفتها الأساسية إنها تظبط مستوى الكالسيوم في الدم، وممكن يبقى خطر لو الكالسيوم عِلِي فجأة بشكل حاد. الخبر الحلو إن الحالة دي ممكن تتعالج باستئصال الغدد دي جراحيًّا، بس المهم ما تستناش ولا تأجّل، ولازم تتابع مع دكتور غدد متخصص في الجار درقية. من غير علاج ممكن تسبب آلام وحصوات كلسية، وكمان تبطّأ حركة الجهاز الهضمي.,"ANSWER: ده condition can be managed with medication or sometimes surgery, but first we need to confirm the diagnosis with more tests.",,Correct
2,"مريضة: السلام عليكم يا دكتور. أنا حاسة بتعب شديد من ساعة ما رجعت من أجازة الأمومة، ووزني زاد أوي مع إني ما باكلش زي الأول.

مساعد طبي: وعليكم السلام. فاهمة قلقك، الفترة إللي بعد الولادة ممكن تبقى مُرهِقة. في أعراض تانية غير زيادة الوزن والنِفس المسدود؟

مريضة: أيوه، دايمًا حاسة بالبرد حتى لو الجو دافي، وبشرتي بقت جافة جدًا. وكمان لاحظت إن شعري بدأ يقع من الجنبين.

مساعد طبي: الأعراض دي مهمة. لاحظتي أي تغيُّرات في الدورة الشهرية أو أي تورّم في منطقة الرقبة؟

مريضة: فعلاً، الدورة بقت أتقل وبتيجي كل تلات أسابيع بدل ما تيجي كل شهر. وكمان حاسة بحاجة في رقبتي، كإنها وارمة شوية بس من غير ألم.

مساعد طبي: تمام. عندك تاريخ عائلي لأمراض الغدد أو أمراض مناعة ذاتية؟ وبتحسي بصعوبة في البلع؟

مريضة: أيوه، أمي عندها سكر من النوع أول. أما البلع مش حاسة بأي صعوبة، بس أنا قلقانة من الأعراض دي كلها مع بعض.","انا بظن ان عندك خلل في الغدة thyroid, لازم نعمل فحوص for TSH, T3, T4, and thyroid antibodies.",متقلقيش، الحالة بسيطة وعلاج التهاب الغدّة الدرقية بعد الولادة متاح. المهم تتابعي مع دكتور متخصص في الغدّة الدرقية وتعملي تحليل TSH وـTPO antibodies عشان نتأكد إذا كان السبب من جهاز المناعة. والمرض ده ممكن يتعالج بسرعة وبشكل نهائي، فمفيش داعي تقلقي.,"ANSWER: انا بظن ان عندك خلل في الغدة thyroid, لازم نعمل فحوص for TSH, T3, T4, and thyroid antibodies.",,Incorrect
3,"مريض: السلام عليكم يا دكتور. بقالّي حوالي ست شهور بعاني من مشاكل وعايز أستشير حضرتك.

مساعد طبي: وعليكم السلام. أهلاً بيك، إزاي أقدر أساعدك.؟ إيه هي المشاكل اللي عندك بالظبط؟

مريض: عندي ضعف في الرغبة الجنسية وضعف في الانتصاب، وكمان لاحظت إن شعر دقني ووشّي بقى بيقل وبقيت أحلق أقل من العادي.

مساعد طبي: فاهمك. دي أعراض مهمة. عندك أي أعراض تانية؟ زي صداع أو مشاكل في النظر أو أي تغيّرات في جسمك؟

مريض: أيوه، الفترة الأخيرة عندي صداع خفيف بس مستمر، وحاسس إن الرؤية الجانبية عندي بقت مِغبِّشة شوية. وكمان لاحظت تضخّم بسيط في الثدي.

مساعد طبي: معلومات مفيدة جداً. بتاخد أي أدوية حالياً؟ وهل اتعرّضت قبل كده لإصابة في الراس أو عملت أي عمليات جراحية؟

مريض: لا، مش باخد أي أدوية وماتعرّضتش لإصابات في الراس ولا عملت عمليات. هو الأعراض دي ليها علاقة ببعض؟ أنا قلقان جداً.",ده مش عادي. لازم نعمل فحوصات لهرمones and a brain scan to check for a tumor.,أيوه، الأعراض دي ممكن تبقى مرتبطة ببعض طبيًّا، وإحنا محتاجين تشخيص واضح. ممكن يكون الموضوع له علاقة بالغدة النخامية (الـpituitary gland)، واللي عندك ممكن يكون نتيجة زيادة إفراز هرمون البرولاكتين في الدم. في أغلب الأحيان الورم ده بيكون حميد ومش سرطاني، وبيستجيب بشكل ممتاز للعلاج بالأدوية في معظم الحالات. المهم تتابع مع دكتور غدد صماء. لازم تعمل MRI (رنين مغناطيسي) عشان نحدد الحجم الغدة، وكمان كشف عيون عشان نقييم قد النظر الجانبي إتأثر. باختصار، مفيش داعي تقلق—دي حالة طبية وعلاجها متاح لو تابعت مع متخصصين في الغدد.,ANSWER: ده مش عادي. لازم نعمل فحوصات لهرمones and a brain scan to check for a tumor.,,Incorrect
4,"مريض: السلام عليكم يا دكتور. أنا قلقانة جدًا من الأعراض اللي عندي مؤخرًا. وزني زاد 12 كيلو خلال السنة اللي فاتت، وبحس بضعف شديد في عضلاتي.

مساعد طبي: وعليكم السلام. فاهم قلقِك. دي زيادة وزن ملحوظة. تقدري تقوليلي الزيادة دي مركّزة فين بالظبط؟ وإيه نوع ضعف العضلات اللي حاسّة بيه؟

مريض: الزيادة أغلبها في منطقة البطن والوش. وبالنسبة لضعف العضلات، بلاقي صعوبة كبيرة إني أقوم من كرسي واطي وعميق، كإن عضلات رجلي مش قادرة تشيلني. وكمان ظهرلي خطوط لونها بنفسجي على بطني وفخدي.

مساعد طبي: الأعراض دي مهمة. لاحظتي أي تغيّرات تانية مؤخرًا؟ زي مثلًا أي تغيّر في الدورة الشهرية أو ظهور شعر بشكل مش طبيعي؟

مريض: أيوه، دورتي بقت مش منتظمة، وظهر شعر جديد في وشي. وكمان دكتوري قالّي إن ضغطي عالي وصعب السيطرة عليه، وإن سكر الدم بقى عالي شوية.

مساعد طبي: شكرًا على المعلومات دي اللي بالتفصيل. الأعراض دي مع بعض—زيادة الوزن المركزة، الخطوط البنفسجية، ضعف العضلات، عدم انتظام الدورة، نمو الشعر، وارتفاع الضغط والسكر—بتشير لاحتمال إن يكون في اضطراب هرموني. هحتاج أعمل تحاليل هرمونات معينة عشان نأكد التشخيص.

مريض: حضرتك شايف إن ده ممكن يكون حاجة خطيرة؟ أنا قلقانة جدًا عشان كل الأعراض دي ظهرت بسرعة خلال السنة اللي فاتت بس.","انا عايزة اعمل لك تحاليل لهرمones and check for Cushing's syndrome or other hormonal imbalances. Don't worry, we'll figure it out and start treatment as soon as possible.",الأعراض دي هي متلازمة كوشينج، وده يعتبر مرض خطير لو ما اتعالجش من الأول. لازم تروحي لدكتور غدد (endocrinologist) في أسرع وقت، وتعملي فحوصات منها أشعة مقطعية وتحليل دم. بس ما تقلقيش، المرض ده ليه علاج وممكن تخفي منه تمامًا.,"ANSWER: انا عايزة اعمل لك تحاليل لهرمones and check for Cushing's syndrome or other hormonal imbalances. Don't worry, we'll figure it out and start treatment as soon as possible.",,Correct
5,"مريض: السلام عليكم يا دكتور. بقالي حوالي شهر عندي عطش شديد جدًا، وبشرب كميات كبيرة من المية كل يوم ومش بحس إني ارتويت خالص.

مساعد طبي: وعليكم السلام. أهلاً بيك. ده موضوع محتاج تقييم دقيق. تقريبًا بتشرب كام لتر مية في اليوم؟ ولاحظت أي تغيير في عدد مرات التبول؟

مريض: بشرب حوالي 8 لتر أو أكتر في اليوم! وبصحى تقريبًا كل ساعة بالليل عشان أتبول، وده مأثر على نومي جامد. والبول بقى شفاف زي المية بالظبط.

مساعد طبي: ده فعلاً مقلق. اتعرضت لأي إصابة في الراس قريب؟ ولاحظت أي تغيير في وزنك الفترة اللي فاتت؟

مريض: أيوه، حصلتلي حادثة موتوسيكل بسيطة من شهرين وجالي ارتجاج خفيف في المخ، بس الدكاترة قالوا مفيش كسور في الجمجمة. وكمان خسّيت 3 كيلو خلال الشهر اللي فات.

مساعد طبي: تمام، فهمت. عندك أي أعراض تانية زي زغللة في النظر؟ وفيه تاريخ عائلي للسكر أو مشاكل في السكر؟

مريض: لا، نظري طبيعي ومفيش تاريخ عائلي للسكر. المشكلة الوحيدة هي العطش الشديد ده وكترة التبول اللي بتخلّيني أحيانًا أشرب مية بدل ما آكل وجبات.",ده مش عادي. لازم نعمل فحوصات لقياس سكر الدم and check for diabetes insipidus.,المرض ده ممكن يبقى خطير، اسمه Diabetes Insipidus، وبيحصل بسبب نقص هرمون اسمه ADH. المرض ده ممكن يسبب جفاف شديد لو ما اتعالجش ومشاكل خطيرة، نأكد التشخيص بس بعد تحاليل الدم والبول، وليه دوا بيشفي منه. المرض خطير لو ما اتعالجش، عشان كده لازم تتابع خلال يوم أو يومين بالكتير مع دكتور غدد.,ANSWER: ده مش عادي. لازم نعمل فحوصات لقياس سكر الدم and check for diabetes insipidus.,,Incorrect
6,"مريضة: السلام عليكم يا دكتور. أنا طالبة جامعة، عندي 22 سنة، ومن وقت البلوغ وأنا عندي مشاكل كتير. الدورة عندي مش منتظمة خالص، مش بتيجي غير تلات أو أربع مرات في السنة.

مساعد طبي: وعليكم السلام. فاهم قلقِك من عدم انتظام الدورة. عندِك أعراض تانية زي تغيّرات في الوزن، أو زيادة في الشعر، أو مشاكل في البشرة؟

مريضة: أيوه. عندي حبّ شباب من وقت البلوغ، والعلاجات الموضعية ما جابتش نتيجة معايا. وكمان لاحظت شعر خشن وغامق على الدقن وفوق الشفة، وده محرج جدًا.

مساعد طبي: فاهم قد إيه ده مضايقِك. لاحظتي أي تغير في لون الجلد، خصوصًا في الرقبة أو تحت الباط؟ ووزنِك الحالي تقريبًا كام؟

مريضة: أيوه، في بقع غامقة وملمسها مخملي في رقبتي وتحت باطي. وبالنسبة للوزن، أنا عندي زيادة في الوزن والـ BMI بتاعي 31. مع إني عاملة دايت وبقلل السعرات الحرارية، بس مش قادرة أخس، وده محبط جدًا.

مساعد طبي: حسب الأعراض دي—عدم انتظام الدورة، زيادة الشعر، حب الشباب، والبقع الغامقة على الجلد—ممكن يكون عندِك متلازمة تكيّس المبايض. عملتي قبل كده سونار على الحوض؟

مريضة: أيوه، عملت سونار قبل كده، والدكتور قال حاجة عن وجود “أكياس” بس أنا ما فهمتش التفاصيل أوي. هل ده له علاقة بكل المشاكل اللي عندي؟","متلازمة تكيّس المبايض بتسبب كل الأعراض دي, وده needs treatment to regulate your cycle, control the hair growth, and help with weight management. I'll prescribe you some medications and refer you to a specialist for further management.",أيوه، غالبًا عندِك مرض اسمه Polycystic Ovarian Syndrome (PCOS). ده بيكون لخبطة في الهرمونات، وبييجي معاها مقاومة للأنسولين، ووجود أكياس على المبيض. في الحالات دي التشخيص بدري مهم جدًا. لازم تروحي لدكتور/ة غدد صماء أو دكتورة نسا متخصّصة في الموضوع ده علشان يظبّطوا الهرمونات ويرجّعوا الدورة الشهرية، وتاخدي هرمونات علشان ترجع الدورة لطبيعتها.,"ANSWER: متلازمة تكيّس المبايض بتسبب كل الأعراض دي, وده needs treatment to regulate your cycle, control the hair growth, and help with weight management. I'll prescribe you some medications and refer you to a specialist for further management.",,Correct
7,"مريض: السلام عليكم يا دكتور. أنا قلقان من ضغط الدم عندي. رغم إني باخد دوايين للضغط، بس القرايات لسه عالية وحاسس بتقلصات في العضلات وضعف عام.

مساعد طبي: وعليكم السلام. فاهم قلقك. ممكن تقولّي آخر قراية للضغط كانت كام؟ وإمتى ابتديت تحس بالتقلصات والضعف؟

مريض: آخر قراية كانت 165/105. التقلصات بدأت من كام أسبوع، بالذات في الرجلين، والضعف العام بيزيد واحدة واحدة. وكمان التحاليل بيّنت إن البوتاسيوم واطي.

مساعد طبي: ده مقلق فعلاً، خصوصاً مع نقص البوتاسيوم. بتاخد أي مكملات عشبية أو عِرق سوس؟ وعندك تاريخ عائلي لجلطة في المخ في سن صغير أو أمراض كِلى؟

مريض: لا، مش باخد أي مكملات عشبية ولا عرق سوس، ومفيش تاريخ عائلي للسكتة ولا لأمراض لكِلى. وأنا بقلل الصوديوم زي ما نصحتوني.

مساعد طبي: حسب الأعراض ونقص البوتاسيوم مع ارتفاع الضغط رغم العلاج، ممكن نحتاج فحوصات زيادة عشان نستبعد حالة اسمها متلازمة كون. هحوّلك للدكتور خالد عشان يعمل فحص مستوى الألدوستيرون والرينين في الدم.

مريض: يعني إيه متلازمة كون دي؟ وهل هي خطيرة؟ وإمتى أقدر أعمل الفحوصات دي؟","متلازمة كون بتسبب ارتفاع pressure and low potassium, and it can be serious if not treated. You need to do the tests as soon as possible, and I'll give you a referral to the specialist.",متلازمة كون، أو فرط الألدوستيرونية الأوّلي، مرض ممكن يتعالِج. بيحصل بسبب إن الجسم بيفرز ألدوستيرون زيادة، وده الجسم يتخلص من البوتاسيوم ويحبس الصوديوم، وده يفسّر ارتفاع ضغط الدم عندك. غالبًا السبب بيكون تضخّم في الغدة الكظرية أو ورم حميد فيها. بس لازم نأكد التشخيص بتحاليل دم وبفحوصات تصوير طبي. وحسب السبب، العلاج بيكون يا إمّا جراحة يا إمّا أدوية. وهنحددلك أقرب ميعاد متاح للفحوصات دي.,"ANSWER: متلازمة كون بتسبب ارتفاع pressure and low potassium, and it can be serious if not treated. You need to do the tests as soon as possible, and I'll give you a referral to the specialist.",,Correct
8,"مريض: يا دكتور، أنا حاسس بإرهاق جامد ومعنديش طاقة بقالّي فترة طويلة. رغم إني باخد أدوية الغدة الدرقية والتستوستيرون بانتظام بعد عملية الغدة النخامية، بس مش حاسس بتحسّن.

مساعد طبي: فاهم شكوتك. تقدر تقولي أكتر عن طبيعة الإرهاق ده؟ ولاحظت أي تغييرات تانية في جسمك أو حالتك النفسية؟

مريض: أيوه، لاحظت دهون البطن زادت رغم إني بتمرّن بانتظام، وكمان الكتلة العضلية عندي قلت. وبشرتي كمان بقت أرفع وفيها تجاعيد أكتر من اللي في سني.

مساعد طبي: دي أعراض مهمّة. حاسس بتغيير في حالتك النفسية أو الاجتماعية؟ وكنت عامل أي فحوصات قريب؟

مريض: أيوه، مزاجي وحش وحاسس إن إحساس الرفاهية عندي قل، وبقيت بتجنب الأنشطة الاجتماعية أكتر من الأول. وآخر فحص لكثافة العظام بيّن إن في نقص في منطقة أسفل الظهر.

مساعد طبي: حسب الأعراض اللي بتوصفها، أنا أعتقد إن ممكن يكون عندك نقص في هرمون النمو. ده شائع بعد جراحة الغدة النخامية. هنحتاج نعمل اختبار تحفيز للهرمون عشان نتأكد من التشخيص.

مريض: يعني حضرتك تقصد إني محتاج علاج إضافي؟ قد إيه ممكن ياخد وقت الاختبار ده وإيه المخاطر المحتملة؟","إن شاء الله، الاختبار مش خطير، بس هنحتاج يوم. لو اتأكد نقص في هرمون, هنبدأ العلاج, وده هيساعد في الطاقة, العضلات, and mood.",بعد ما نأكّد التشخيص بتحليل دم، واللي عادةً بياخد من ساعتين لتلات ساعات، هنراقب استجابة جسمك للإنسولين ونزول سكر الدم، وكمان لو جسمك هيستجيب بإنه يفرز كورتيزول ولا لأ. ممكن تحس بأعراض هبوط السكر زي الدوخة والعرق والإرهاق. لو التشخيص اتأكّد، هتحتاج تحقن هرمون النمو لفترة ما بين الستة لتسعة شهور على الأقل.,"ANSWER: إن شاء الله، الاختبار مش خطير، بس هنحتاج يوم. لو اتأكد نقص في هرمون, هنبدأ العلاج, وده هيساعد في الطاقة, العضلات, and mood.",,Correct
9,"مريض: حاسة بألم شديد في بطني وعلى طول حاسة إني عايزة أَرَجّع، ومش عارفة أبطّل ترجيع من الصبح.

مساعد طبي: فاهم إنك متضايقة أوي. أنا شايف في ملفك إن عندك سكر من النوع أول وبتستخدمي مضخة أنسولين. الأعراض دي بدأت إمتى؟ وإيه أخبار مضخة الأنسولين؟

مريض: الأعراض بدأت امبارح لما لاحظت إن مكان المضخة بقى أحمر ومتورّم شوية، بس ما غيّرتش الأنبوبة. والنهارده حاسة بإرهاق شديد ونَفَسي بقى سريع وعميق.

مساعد طبي: ده مهم جداً. إنك ما غيّرتيش أنبوبة المضخة لما ظهر الاحمرار ممكن يكون معناه إن الأنسولين مش واصل كويس. قستي سكر الدم قريب؟ وحاسة بجفاف في بقك؟

مريض: آه، بقى ناشف جداً ولساني كمان ناشف. ما قستش السكر من امبارح عشان كنت تعبانة قوي.

مساعد طبي: لازم أقيس سكر الدم فوراً ونعمل شوية فحوصات تانية. الأعراض دي—الترجيع، ألم البطن، النفس السريع والعميق، والجفاف— بتوحي إن دي حالة طارئة اسمها الحماض الكيتوني السكري. هنبدأ فوراً محاليل في الوريد وأنسولين.

مريض: أنا خايفة جداً، ده خطير؟ وكان لازم أغيّر أنبوبة المضخة أول ما شفت الاحمرار؟","ده حالة خطيرة but we're gonna handle it. You should've changed the infusion set when you saw the redness, but now we're gonna fix it. We'll give you fluids and insulin, and you'll feel better soon.",أيوه، الوضع ده ممكن يبقى خطير وخطير جدًا كمان. لازم تدخلي المستشفى حالاً، وغالبًا هتحتاجي عناية مركزة علشان تاخدي علاج سريع: أول حاجة محاليل في الوريد، والإنسولين كمان في الوريد، مع متابعة الأملاح وتحسين حالتك العامة. وبالنسبة للاحمرار مكان الإنسولين: أيوه، بعد كده لازم تبلغي دكتور الغدد بأسرع وقت. واحمرار مكان المضخة ممكن يدل على إن الإنسولين مش واصل للجسم.,"ANSWER: ده حالة خطيرة but we're gonna handle it. You should've changed the infusion set when you saw the redness, but now we're gonna fix it. We'll give you fluids and insulin, and you'll feel better soon.",,Correct
10,"مريض: حاسة بسخونية شديدة وقلبي بيدق بسرعة قوي! مش قادرة أتحكم في نفسي، حاسة بلخبطة جامدة.

مساعد طبي: فاهمة إنك تعبانة قوي. فاكرة لو كنتي بتاخدي دواء الميثيمازول بانتظام لعلاج فرط نشاط الغدة الدرقية؟

مريض: لا... ماخدتش الدوا بقالي أسابيع. كان عندي التهاب في المسالك البولية ودخلوني المستشفى بسببه.

مساعد طبي: ده مهم جداً. أنا شايف إن عندك حرارة عالية وسرعة في ضربات القلب مع إسهال مائي متكرر. كمان حاسة بتعرّق شديد؟

مريض: أيوه! بعرق كتير وحاسة بالحر قوي. وكمان ضغطي واطي والممرضات قلقانين جداً.

مساعد طبي: حالتك محتاجة علاج فوراً للي بنسميه العاصفة الدرقية. هنبدأ حالاً بحاصرات البيتا والكورتيكوستيرويدات وأدوية مضادة للدرقية. دي حالة طوارئ.

مريض: أنا خايفة أوي... ده خطير؟ مش فاهمة إيه اللي بيحصل لي بالظبط.","مش خايفي, هنتعالجك فورا. ده بسبب انك ماخدتش الدواء, but we'll fix it now.",أيوه، الحالة دي ممكن تبقى خطيرة. الأحسن إنك تدخلي المستشفى، وخصوصًا العناية المركزة علشان نبدأ العلاج في أسرع وقت. هنكتب لك أدوية بتقلّل ضربات القلب اسمها بيتا بلوكرز، وأدوية مضادّة للغدّة الدرقية، وكورتيزون علشان يوقّف تحوّل الهرمونات اللي طالعة من الغدّة الدرقية. الحمد لله المرض ده ممكن يتعالج، والأفضل إن بعد ما تخرجي من المستشفى تتابعي مع دكتور متخصص غدّة درقية علشان تكمّلي متابعة العلاج على المدى البعيد.,"ANSWER: مش خايفي, هنتعالجك فورا. ده بسبب انك ماخدتش الدواء, but we'll fix it now.",,Incorrect
