,﻿id,level,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,question_old,answer_text,question
4,4,Y1,Anatomy,Anatomy,السابع,التاسع,العاشر,الخامس,,,B,ABCD,عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :,التاسع,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟
8,8,Y1,Anatomy,Anatomy,هليل الظفر,سرير الظفر,استارة الظفر,اللعوة,,,A,ABCD,قوس بيضاء عند حدود جسم الظفر مع جذره :,هليل الظفر,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟
12,12,Y1,Anatomy,Anatomy,السطح الخارجي للحرقفة,الوجه الداخلي للحرقفة,الفرع العلوي للعانة,الوجه الخلفي للفخذ,,,A,ABCD,. يقع الخط الالوي السفلي على,السطح الخارجي للحرقفة,أين يقع الخط الالوي السفلي؟
16,16,Y1,Anatomy,Anatomy,الأمامية,الخلفية,العلوية,الوحشية,,,B,ABCD,الحافة من الفرع التي تشكل زاوية الفك السفلي:,الخلفية,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟
17,17,Y2,Anatomy,Anatomy,العضله الظنبوبيه الخلفية,الرأس المستقيم للمستقيمه الفخذية,العضله الخياطية,العضلة المأبضيه,العضله الشظويه الطويله,,E,ABCDE,تتعصب بالعصب الشظوى السطحى,العضله الشظويه الطويله,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟
19,19,Y2,Histology,Anatomy,الطبقة القاعدية من الانسجة الظهارية,الطبقة الشائكة من النسيج الظهاري المطبق,ظهارة المعدة,بين الخلايا العضلية السلية,,,B,ABCD,تشاهد الجسور بين الخلوية في:,الطبقة الشائكة من النسيج الظهاري المطبق,أين تشاهد الجسور بين الخلوية؟
21,21,Y1,Anatomy,Anatomy,الرباط العجزي الشوكي + الرباط الأربي,الرباط العجزي الشوكي العجزي الحدبي,الرباط الحدبي + الرباط الإربي,كل ما سبق خطأ,,,B,ABCD,تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة,الرباط العجزي الشوكي العجزي الحدبي,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟
28,28,Y1,Anatomy,Anatomy,الغدد جارات الدرق,الغدة الدرقية,النخامي,الكظر,,,A,ABCD,يفرز هرمون ال PTH :,الغدد جارات الدرق,ما هو الهرمون الذي يفرز PTH؟
35,35,Y1,Anatomy,Anatomy,الثقبة المستعرضة,الثقبة بين الفقرية,الثقبة الفقرية,الثقبة المغذية,,,C,ABCD,يقع بين جسم الفقرة والقوس الفقرية :,الثقبة الفقرية,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟
49,49,Y1,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدارا الوحشي للأنف,الجدار الانسي للأنف,,,A,ABCD,تقع المنطقة الشمية في:,سقف الأنف,أين تقع المنطقة الشمية؟
