id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
1,ALLaM 7B,both_wrong,0,0,C,A,A,"عضلات الكم المدوره للكتف
A) هى ثلاث عضلات
B) كلها تدير العضد للخارج
C) وحدة منها ترتكز على الحديبية الصغرى
D) المدورة الكبيرة اهم واحده منها","Rotator cuff muscles:
A) There are three muscles.
B) They all rotate the humerus externally.
C) One of them inserts onto the lesser tubercle.
D) The greater teres is the most important one.",
2,ALLaM 7B,both_correct,1,1,C,C,C,"دراسة وظائف العضو ووظائف الاتصال:
A) التشريح الوصفي
B) التشريح السريري
C) التشريح الفيزيولوجي
D) التشريح الجهازي","Study of organ and communication functions:
A) Descriptive Anatomy
B) Clinical Anatomy
C) Physiological Anatomy
D) Systemic Anatomy",
3,ALLaM 7B,arabic_only,0,1,B,C,B,"مايلي صحيح عن مخاطية البوق عدا:
A) تبطن بظهارة بسيطة اسطوانية.
B) خلايا الظهارة المهدبة تضرب أهدابها باتجاه المبيض.
C) خلايا الظهارة المفرزة غير مهدبة.
D) الخاليا الوتدية cells peg تفرز غليكوبروتينات.","The following are true about the fallopian tube mucosa EXCEPT:

A) It is lined with simple columnar epithelium.

B) Ciliated epithelial cells beat their cilia toward the ovary.

C) Secretory epithelial cells are non-ciliary.

D) Peg cells secrete glycoproteins.",
4,ALLaM 7B,both_correct,1,1,B,B,B,"عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :
A) السابع
B) التاسع
C) العاشر
D) الخامس","A nerve that transmits taste sensation from the back third of the tongue:
A) Seventh
B) Ninth
C) Tenth
D) Fifth",
5,ALLaM 7B,both_wrong,0,0,C,A,B,"القناة الدافقة إختر الإجابة الخاطئة :
A) تقيس القناة الدافقة أقل من واحد سم
B) تتشكل من إتحاد البربخ مع قناة الحويصلة المنوية
C) تنقب السطح الخلفي للمثانة
D) تنفتح على الجزء الموثي من الإحليل","The ejaculatory duct. Choose the incorrect answer:
A) The ejaculatory duct measures less than one centimeter.
B) It is formed by the union of the epididymis and the seminal vesicle duct.
C) It pierces the posterior surface of the bladder.
D) It opens into the prostatic portion of the urethra.",
6,ALLaM 7B,arabic_only,0,1,A,B,A,"ال تحتوي سيتوبلاسما جدر الشعيرات :
A) صهاريج من شبكة سيتوبالاسمية ناعمة.
B) متقدرات.
C) ريبوزوم.
D) معقد كولجي صغير.","The cytoplasmic walls contain:
A) cisternae of fine cytoplasmic reticulum.

B) mitochondria.

C) ribosomes.

D) a small Golgi complex.",
7,ALLaM 7B,both_wrong,0,0,D,E,A,"تقوم ال Chief Cell بإفراز :
A) Pepsinogen
B) Trypsinogen
C) Lipase
D) الأول والثالث
E) كل ما سبق صحيح","The chief cell secretes:
A) Pepsinogen
B) Trypsinogen
C) Lipase
D) The first and third
E) All of the above",
8,ALLaM 7B,arabic_only,0,1,A,D,A,"قوس بيضاء عند حدود جسم الظفر مع جذره :
A) هليل الظفر
B) سرير الظفر
C) استارة الظفر
D) اللعوة","A white arc at the border of the nail body with its root:
A) Lunus
B) Nail bed
C) Chantilly
D) Laminae",
9,ALLaM 7B,arabic_only,0,1,A,B,A,". من فروع الشريان السباتي الباطن
A) Ophthalmic
B) الشريان المخيخي السفلي الامامي
C) الشريان المخيخي السفلي الخلفي
D) شوكي","Branches of the internal carotid artery:

A) Ophthalmic
B) Anterior inferior cerebellar artery
C) Posterior inferior cerebellar artery
D) Spinal",
10,ALLaM 7B,both_correct,1,1,A,A,A,". العظم الاضخم في هيكل القدم
A) Calcaneum
B) Navicular bone
C) Cuboid bone
D) Cuneiform bone","The largest bone in the foot skeleton:

A) Calcaneum
B) Navicular bone
C) Cuboid bone
D) Cuneiform bone",
11,ALLaM 7B,access_gap,1,0,B,B,D,"كل ما يلي من صفات الحالب
A) نهايته العلوية تشكل الحويضة
B) عضو داخل البريتوان
C) فيه ثلاثة تضيقات
D) طوله 25 سم","All of the following are characteristics of the ureter:
A) Its upper end forms the renal pelvis
B) It is an intraperitoneal organ
C) It has three strictures
D) It is 25 cm long",
12,ALLaM 7B,arabic_only,0,1,A,B,A,". يقع الخط الالوي السفلي على
A) السطح الخارجي للحرقفة
B) الوجه الداخلي للحرقفة
C) الفرع العلوي للعانة
D) الوجه الخلفي للفخذ","The inferior gluteal line lies on:
A) the lateral surface of the ilium
B) the medial surface of the ilium
C) the superior ramus of the pubis
D) the posterior surface of the thigh",
13,ALLaM 7B,arabic_only,0,1,A,D,A,"من جدران الفم ما عدا
A) يرزخ الحلق
B) الشدقان
C) الحنك
D) الشفتان","Of the walls of the mouth except:
A) the pharynx
B) the cheeks
C) the palate
D) the lips",
14,ALLaM 7B,both_wrong,0,0,C,A,A,"اختر الخاطئ :
A) للمخ ست طبقات
B) يقسم المخ الى باحات حسب الانتظام النسيجي
C) الباحات الأولية تعمل على تخزين الذاكرة المكتسبة
D) كل ما سبق صحيح","Choose the incorrect option:
A) The brain has six layers
B) The brain is divided into areas according to tissue organization
C) Primary areas store acquired memories
D) All of the above are correct",
15,ALLaM 7B,both_wrong,0,0,C,B,D,"لا يمكن تمييز Internal Elastic Lamina بسهولة في :
A) Cerebral Artery
B) الأول والثالث
C) Elastic Artery
D) Muscular Artery","Internal elastic laminae are not easily distinguishable in: A) Cerebral artery
B) First and third arteries
C) Elastic artery
D) Muscular artery",
