id,input,prediction,ground_truth
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,D9,B
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,A,A
,أين يقع الخط الالوي السفلي؟,A,A
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,A,B
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,A,E
,أين تشاهد الجسور بين الخلوية؟,A,B
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,A,B
,ما هو الهرمون الذي يفرز PTH؟,A: Parathyroid.,A
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,A,C
,أين تقع المنطقة الشمية؟,A,A
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,A,A
,أين يوجد التلم الكعبري في جسم العضد؟,A,A
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,A,C
,أين يقع المستقيم؟,A,B
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,C.,A
,ما هو العصب المحرك لعضلات اللسان؟,D5,C
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,D4,C
,من أين يفرز الأدرينالين؟,A,B
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,D50,B
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,A,B
,مما ينتج هرمون T4؟,B,C
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,A,B
,أين تقع المنطقة الشمية؟,A,A
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,A,A
,أين يتوضع الكولون السيني؟,A,B
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,A,B
,ما هي الفروع الانتهائية للسبات الظاهر؟,A,B
,أين يمر عصب الفك العلوي؟,A,A
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,A,C
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,BONE: BONE,A
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,A,A
,ما طول الأسهر؟,A,A
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,A,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,A,C
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,A,A
,أين يتوضع الدرز الأكليلي؟,A,A
,ماذا يفعل الرباط المتصالب الأمامي؟,A,c
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,A,C
,إلى أي قصبات تتفرع القصبات الفصية؟,B0,C
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,A,C
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,A,C
,على أي من وجوه الكبد يوجد مسكن المرارة؟,A6,C
,ما هو العصب القحفي الثاني؟,D,A
,ما وظيفة العضلة تحت الكتفية؟,A,b
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,A,C
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,B:A5A,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,A,A
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,B,B
,ما هي أكبر غدد الجسم؟,A,A
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,A. D0A,A
,بماذا ينتهي الشريان الوجهي؟,A,C
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,A,B
,أين تقع فوهة مصب الجيب الأكليلي؟,A,C
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,A,B
,أي عصب هو المحرك لعضلات اللسان؟,D5,C
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,B,C
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,C,B
,ما هي الزاوية بين قبضة وجسم القص؟,A,A
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,A,C
,ما الذي يحدد المنصف العلوي جانبياً؟,A,A
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,A,B
,أين ترتكز العضلة العريضة الظهرية؟,A,A
,ما هو القولون الذي يمتد بشكل أفقي؟,A,C
,كم عدد القطع العصعصية في النخاع الشوكي؟,A,D
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,A,B
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,B,B
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,BodA,B
,أين لا توجد الغدد الزهمية؟,A,A
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,"D7
D7",A
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,A,A
,ما هو الاسم الآخر لفرع الفك السفلي؟,A,C
,ماذا يفعل الرباط المتصالب الأمامي؟,A,C
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,B2,A
,ماذا تفرز خلايا بيتا في البنكرياس؟,C-peptide,B
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,A,A
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,A,C
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,B,C
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,A,A
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,A,C
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,A,C
,أين يقع موقع الغدة الدرقية؟,A,A
,أين تتوضع مستقبلات الشم؟,A,C
,ما هي طبيعة هرمونات الغدة النخامية؟,A,B
,ما هو مفصل المرفق؟,A,A
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,A,A
,أين يتوضع الأبهر النازل البطني؟,A,A
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,A,A
,ما هي عضلة الشهيق الرئيسية؟,A,A
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,A,C
,أين تشاهد التلمة الكعبرية للزند؟,A,C
,أين تتوضع الثقبة العوراء في اللسان؟,A,A
,ما هو أطول أجزاء الأنبوب الهضمي؟,"A: colon

A",A
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,A,A
,ما هي الطبقة المبطنة للتامور الليفي؟,A,B
,ما هو أطول أجزاء أنبوب الهضم؟,"A: colon

A",B
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,C1C5A,B
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,A,C
,ما هو لون لب الكظر؟,A: Yellow,A
,ما الذي يشكل معظم الكتلة العضلية للسان؟,A,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,A,A
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,A,B
,ما هو أضيق قسم في جذع الدماغ؟,A,C
,أين يقع التلفيف خلف المركزي؟,A,B
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,A,A
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,A,A
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,A,A
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,A. A. A. A. A. A. A,A
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,C16C20D,B
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,A,B
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,B,B
,ما هو مصدر التروية الرئيسية للمعدة؟,A21,B
,ما هي أطول أجزاء أنبوب الهضم؟,A,B
,من أين ينشأ الجذع الرئوي؟,A,A
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,BABINSKI,B
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,B1,A
,ما هي المنطقة المتوسطة من نواحي البطن؟,A,C
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,A,B
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,A,A
,ماذا يحفز ACTH إفرازه؟,"CORTICOLIBERIN

C

C

C

C",B
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,A,A
,مما يتكون الزنار الحوضي؟,A,A
,أين تقع الباحة الحركية الأولية؟,A,B
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,A,A
,أين تتوضع الغدة تحت الطية اللسانية؟,A,C
,أين يتوضع السرج التركي؟,A,B
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,A,C
,كم عدد شدف النخاع الشوكي؟,A,A
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,A,B
,ما يُدعى القسم العلوي المتسع من الحالب؟,A,A
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,A,B
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,A,A
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,A,B
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,DorviA,A
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,A,B
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,C5D0D4B9B2,A
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,A,C
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,D4,A
,أين يقع الثرب الصغير؟,A,A
,أين تقع صفيحة الأكيمات؟,B,A
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,A,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,A,A
,ما نوع المفصل الحلقي الطرجهالي؟,A,B
,ما هو رقم العصب الحركي للعضلات الماضغة؟,D5,B
,كم عدد فصيصات الخصية؟,A: 121,A
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,A,A
,أين يتوضع الثلم المهمازي؟,A,A
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,A,D
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,C-type calcitonin,C
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,A,A
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,A,C
,أين يتوضع الثلم المهمازي؟,A,A
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,"D4

D5

D6

C4

C5

C6

A4

A5

A6

D4

D5

D6

C4

CD

A4

A5

A6",C
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,A,E
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,B: endoscopy,C
,ما هي العظام التي يتشكل منها مفصل الركبة؟,A,A
,ما هي الحركة الخاصة بالساعد؟,A,A
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,A,B
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,CfA,A
,ما هي الانطباعات التي توجد على العظم الجداري؟,A,B
,ما هو العصب الحركي للعضلات الماضغة؟,D5,B
,أين يقع الشق الحجاجي السفلي؟,A,A
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,A,B
,ما هي حركة الركبة للخلف بمستوى سهمي؟,A,A
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,"D.7
D.7",A
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,A,C
,ما هو لون لب الكظر؟,A: Yellow,A
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,A,B
,ما هو لون لب الكظر؟,A: Yellow,A
,ما هي اللفافة التي تحيط بجسم القضيب؟,A,A
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,A,C
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,C9A3B1,B
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,A,B
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,A,C
,من أين يتفرع الشريان الأكليلي الأيمن والأيسر؟,A,A
,متى ينشأ برزخ الأبهر؟,A,C
,ما هو أصغر الفروع الأمامية للأبهر البطني؟,A,C
,ما هي الألياف التي تربط التلافيف والفصوص في نصف كرة مخية واحد؟,A,B
,ما هي ميزابة النبض بين أوتار العضلات؟,A,A
,ما هو الوريد السطحي الذي يشكل الابطي؟,A,A
,ماذا تفرز الخلايا ألفا في البنكرياس؟,A,A
,ما هو اسم أعمق الانخفاضات في الصيوان؟,A,A
,ما هي وظيفة هرمون الغدة جار الدرقية PTH؟,A: تنظيم levels of calcium and phosphate in the blood,A
,ما الذي يمتد من المنخر حتى المنعر؟,A,C
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,A,C
,أين تتوضع الطية المخملة؟,A,B
,ما هو الهرمون الذي يفرز PTH؟,A: Parathyroid.,A
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,C1C5A,B
,ما هي العضلات التي تعمل على توازن الرأس على الجذع؟,A,C
,من أين يخرج العصب الوجهي من الجمجمة؟,B2,A
,ما الذي يتصل به المدورين بالخلف في الفخذ؟,A,B
,أين يدخل الحالبان المثانة؟,A,A
,ما هي الباحة المسؤولة عن حركات العين؟,A,D
,ما هو الشريان الذي ينشأ منه الجذع المشترك للشريان بين العظمين؟,A,A
,ما هو وجه عظم الترقوة الذي عليه ميزابة طولانية؟,A,B
,من أين يفرز الغلوكاغون؟,A,B
