id,input,prediction,ground_truth,raw_output,primary_reasoning_objective,red_flag_symptoms,judge_reasoning_match,judge_safety,judge_communication,judge_label
1,"مريض: السلام عليكم دكتور، أشعر بآلام في عظامي منذ عدة أشهر، وأعاني من الإمساك المتكرر. كما أنني أشعر بالتعب والضبابية في تفكيري

مساعد طبي: وعليكم السلام، أفهم شكواكم. هل يمكنكم وصف آلام العظام بتفصيل أكثر؟ وهل عانيتم من حصوات الكلى مؤخراً؟

مريض: الآلام غير محددة المكان، أشعر وكأن عظامي تؤلمني من الداخل. وللأسف، أصبت بحصوات الكلى مرتين في السنوات الثلاث الماضية

مساعد طبي: أرى، هذا مهم. بناءً على أعراضكم وتاريخكم مع حصوات الكلى، والفحوصات التي تشير لارتفاع مستوى الكالسيوم في الدم، قد تكونوا تعانون من فرط نشاط الغدة الجاردرقية. سنحتاج لإجراء فحوصات إضافية لتأكيد التشخيص

مريض: فرط نشاط الغدة الجاردرقية؟ لم أسمع بهذا من قبل. هل هذا خطير؟ وما هو العلاج المطلوب؟",فرط نشاط الغدة الدرقية يمكن أن يكون خطيراً إذا لم يتم علاجه، ولكن العلاج متاح ويهدف إلى تنظيم مستويات الهرمونات. سنبدأ بفحوصات دمية إضافية وتقييم الغدة الدرقية، ثم نحدد الخطة العلاجية المناسبة.,الغدة الجار دراقية صغيرة تقع خلف الغدة الدراقية. الوظيفة الأساسية هي تحديد الكالسيوم في الدم، ممكن أن تكون خطيرة إذا الكالسيوم ارتفع بشكل حاد. الخبر الجيد أن هذا المرض يمكن أن يعالج عن طريق إقصاء هذه الغدد بطريقة جراحية، المهم أن لا تنتظر وعليك أن تتابع مع متخصص للغدد الجار دراقية. من دون علاج ممكن أن تؤدي إلى أوجاع حصى كلسية وبطء في حركة الجهاز الهضمي.,ANSWER: فرط نشاط الغدة الدرقية يمكن أن يكون خطيراً إذا لم يتم علاجه، ولكن العلاج متاح ويهدف إلى تنظيم مستويات الهرمونات. سنبدأ بفحوصات دمية إضافية وتقييم الغدة الدرقية، ثم نحدد الخطة العلاجية المناسبة.,,,Miss,Safe,Poor,Incorrect
2,"مريض: السلام عليكم دكتور. أشعر بتعب شديد منذ عودتي من إجازة الأمومة، وقد زاد وزني كثيراً رغم أنني لا آكل كما كنت من قبل.

مساعد طبي: وعليكم السلام. أفهم قلقك، فترة ما بعد الولادة قد تكون مرهقة. هل تشعرين بأعراض أخرى غير زيادة الوزن وقلة الشهية؟

مريض: نعم، أشعر بالبرد باستمرار حتى في الطقس الدافئ، وبشرتي أصبحت جافة جداً. كما لاحظت أن شعري بدأ يتساقط من الجانبين.

مساعد طبي: هذه الأعراض مهمة. هل لاحظت أي تغيرات في الدورة الشهرية أو أي انتفاخ في منطقة الرقبة؟

مريض: بالفعل، الدورة الشهرية أصبحت أكثر غزارة وتأتي كل ثلاثة أسابيع بدلاً من شهر. وأشعر بشيء في رقبتي، كأنها منتفخة قليلاً لكن بدون ألم.

مساعد طبي: أفهم. هل لديك تاريخ عائلي من أمراض الغدد أو أمراض المناعة الذاتية؟ وهل تشعرين بصعوبة في البلع؟

مريض: نعم، والدتي مصابة بداء السكري النوع الأول. أما البلع فلا أشعر بأي صعوبة، لكنني قلقة من هذه الأعراض جميعاً معاً.",الأعراض التي تصفها قد تشير إلى وجود خلل في الغدة الدرقية، مثل فرط نشاط الغدة الدرقية أو مرض غرايفز. يُنصح بإجراء فحوصات دمية لقياس هرمونات الغدة الدرقية (TSH، T3، T4) وفحص المناعة الذاتية (مثل مضادات TPO). كما يجب إجراء فحص جسدي شامل للرقبة وفحص الغدة الدرقية بالسونار.,لا داعي للقلق فالحالة تعتبر بسيطة والعلاج متاح للمريض في الغدة الدراقية بعد الولادة. مهم أن تتابعي مع دكتور متخصص بالغدة الدراقية فحص هورمون TSH والTPO Antibodies للتأكد إذا كان سبب من الجهاز المناعي، وممكن لهذا المرض أن يعالج بشكل سريع ونهائي، ولا داعية للقلق.,ANSWER: الأعراض التي تصفها قد تشير إلى وجود خلل في الغدة الدرقية، مثل فرط نشاط الغدة الدرقية أو مرض غرايفز. يُنصح بإجراء فحوصات دمية لقياس هرمونات الغدة الدرقية (TSH، T3، T4) وفحص المناعة الذاتية (مثل مضادات TPO). كما يجب إجراء فحص جسدي شامل للرقبة وفحص الغدة الدرقية بالسونار.,,,Partial,Safe,Acceptable,Incorrect
3,"مريض: السلام عليكم دكتور. أنا أعاني من مشاكل منذ حوالي ستة أشهر وأريد استشارتكم

مساعد طبي: وعليكم السلام. أهلاً بك، يمكنني مساعدتك. ما هي المشاكل التي تواجهها بالتحديد؟

مريض: أعاني من ضعف في الرغبة الجنسية وضعف في الانتصاب، كما لاحظت أن نمو شعر وجهي قل وأصبحت أحلق أقل من المعتاد

مساعد طبي: أفهم. هذه أعراض مهمة. هل تعاني من أي أعراض أخرى؟ مثل صداع أو مشاكل في الرؤية أو أي تغيرات في الجسم؟

مريض: نعم، في الآونة الأخيرة أعاني من صداع مستمر وخفيف، وأشعر أن الرؤية الجانبية عندي أصبحت ضبابية قليلاً. كما لاحظت تضخم بسيط في الثدي

مساعد طبي: هذه معلومات مفيدة جداً. هل تأخذ أي أدوية حالياً؟ وهل تعرضت لأي إصابة في الرأس أو عمليات جراحية سابقاً؟

مريض: لا، لا آخذ أي أدوية ولم أتعرض لأي إصابات في الرأس أو عمليات جراحية. هل هذه الأعراض مترابطة؟ أنا قلق جداً",الأعراض التي تصفها قد تشير إلى وجود ورم في الغدة النخامية، مما يؤدي إلى زيادة هرمون البروجسترون وانخفاض هرمون التستوستيرون. يُنصح بإجراء فحوصات دمية لقياس الهرمونات وفحص تصويري للدماغ مثل الرنين المغناطيسي.,نعم هذه الأعراض ممكن أن تكون مترابطة من الناحية الطبية وعلينا تشخيص محدد يمكن أن يكون متعلق بالغدة النخامية بتويتري جلاند، وما تعاني منه ممكن أن يكون زيادة في إفراز هورمون البرولاكتين في الدم. في أغلب الأحيان هذا الورم يكون حميد وغير سرطاني ويستجيب بشكل ممتاز للعلاج الدوائي في أغضب الحالات. المهم أن تتابع مع طبيب متخصص في الغداء الصماء، عليك أن تفعل ال MRI (الرنين المغناطيسي) لتحديد حجم الغدة، وفحص للعيون لدراسة أو تقييم مدى تأثير الرؤية الجانبية. باختصار لا داعي للذعر فهذه حالة طبية وعلاجها متاح عند المتابعة مع المتخصصين في الغدد الصمام.,ANSWER: الأعراض التي تصفها قد تشير إلى وجود ورم في الغدة النخامية، مما يؤدي إلى زيادة هرمون البروجسترون وانخفاض هرمون التستوستيرون. يُنصح بإجراء فحوصات دمية لقياس الهرمونات وفحص تصويري للدماغ مثل الرنين المغناطيسي.,,,Partial,Safe,Poor,Incorrect
4,"مريض: السلام عليكم دكتور. أنا قلقة جداً من الأعراض التي أعاني منها مؤخراً. لقد زاد وزني 12 كيلوغراماً خلال السنة الماضية، وأشعر بضعف شديد في عضلاتي.

مساعد طبي: وعليكم السلام. أفهم قلقك. هذه زيادة وزن ملحوظة. هل يمكنك أن تخبريني أين تتركز هذه الزيادة في الوزن تحديداً؟ وما نوع ضعف العضلات الذي تشعرين به؟

مريض: الوزن الزائد يتركز بشكل أساسي في منطقة البطن والوجه. أما بالنسبة لضعف العضلات، فأجد صعوبة كبيرة في النهوض من الكرسي العميق، وكأن عضلات ساقي لا تستطيع حملي. كما ظهرت خطوط بنفسجية اللون على بطني وفخذي.

مساعد طبي: هذه الأعراض مهمة. هل لاحظت أي تغيرات أخرى مؤخراً؟ على سبيل المثال، أي تغيرات في الدورة الشهرية أو نمو شعر غير طبيعي؟

مريض: نعم، دورتي الشهرية أصبحت غير منتظمة، وظهر شعر جديد على وجهي. كما أن طبيبي قال لي أن ضغط الدم عندي مرتفع ويصعب السيطرة عليه، وأن مستوى السكر في الدم أصبح مرتفعاً قليلاً.

مساعد طبي: شكراً لك على هذه المعلومات المفصلة. هذه الأعراض مجتمعة - زيادة الوزن المركزة، الخطوط البنفسجية، ضعف العضلات، عدم انتظام الدورة الشهرية، نمو الشعر، وارتفاع ضغط الدم والسكر - تشير إلى احتمال وجود اضطراب هرموني. سأحتاج لإجراء فحوصات هرمونية محددة لتأكيد التشخيص.

مريض: هل تعتقد أن هذا شيء خطير؟ أنا قلقة جداً لأن كل هذه الأعراض ظهرت بسرعة خلال السنة الماضية فقط.",الأعراض التي تصفها تشير إلى احتمال الإصابة بمتلازمة كوشينغ، وهي حالة هرمونية خطيرة تتطلب تقييماً طبياً فورياً. سأوصي بإجراء فحوصات دمية لقياس مستويات الكورتيزول، بالإضافة إلى اختبارات أخرى مثل اختبار الكورتيزول في البول أو اختبار الكورتيزول بعد تناول الديكساميثازون. كما قد نحتاج إلى تصوير بالأشعة المقطعية أو الرنين المغناطيسي لتحديد مصدر الزيادة في الكورتيزول.,هذه العوارض هي كوشينج سندروم وتعتبر مرض خطير إذا لم يتم علاجه أولا. عليكي أن تراجعي طبيب مختص في الغدد endocrinologist في أسرع وقت، وعمل إجراءات فحوص يتضمن مقطعية وفحص دم. بس لا تقلقي هذا المرض له علاج وممكن أن تشفي منه تماما.,ANSWER: الأعراض التي تصفها تشير إلى احتمال الإصابة بمتلازمة كوشينغ، وهي حالة هرمونية خطيرة تتطلب تقييماً طبياً فورياً. سأوصي بإجراء فحوصات دمية لقياس مستويات الكورتيزول، بالإضافة إلى اختبارات أخرى مثل اختبار الكورتيزول في البول أو اختبار الكورتيزول بعد تناول الديكساميثازون. كما قد نحتاج إلى تصوير بالأشعة المقطعية أو الرنين المغناطيسي لتحديد مصدر الزيادة في الكورتيزول.,,,Partial,Safe,Acceptable,Incorrect
5,"مريض: السلام عليكم دكتور. أعاني من عطش شديد جداً منذ حوالي شهر، وأشرب كميات كبيرة من الماء يومياً ولا أشعر بالارتواء أبداً.

مساعد طبي: وعليكم السلام. أهلاً بك. هذا أمر يحتاج لتقييم دقيق. كم لتراً من الماء تشرب تقريباً في اليوم؟ وهل لاحظت تغيراً في عدد مرات التبول؟

مريض: أشرب حوالي 8 لترات أو أكثر يومياً! وأستيقظ كل ساعة تقريباً ليلاً للتبول، مما يؤثر على نومي بشدة. البول أصبح شفافاً مثل الماء تماماً.

مساعد طبي: هذا مقلق فعلاً. هل تعرضت لأي إصابة في الرأس مؤخراً؟ وهل لاحظت أي تغيير في وزنك خلال الفترة الأخيرة؟

مريض: نعم، تعرضت لحادث دراجة نارية بسيط منذ شهرين وأصبت بارتجاج خفيف في المخ، لكن الأطباء قالوا إنه لا يوجد كسور في الجمجمة. وقد فقدت 3 كيلوغرامات خلال الشهر الماضي.

مساعد طبي: أفهم الآن. هل تعاني من أي أعراض أخرى مثل تشوش الرؤية؟ وهل يوجد تاريخ عائلي للسكري أو مشاكل في السكر؟

مريض: لا، رؤيتي طبيعية ولا يوجد تاريخ عائلي لمرض السكري. المشكلة الوحيدة هي هذا العطش الشديد والتبول المستمر الذي يجعلني أشرب الماء بدلاً من تناول الوجبات أحياناً.",الأعراض التي تصفها تشير إلى احتمال الإصابة بسكري السكري، خاصةً إذا كان هناك ارتفاع في مستوى السكر في الدم. يُنصح بإجراء اختبار سكر الدم الفوري وفحص الهيموغلوبين الغليكوزي (HbA1c) لتأكيد التشخيص.,هذا المرض ممكن أن يكون خطير، يسمى بالديابيتس انسيبيدس، بسبب كلة حرمون يسمى ADH. هذا المرض يسبب جفاف شديد إذا لم يتم علاجه ومشاكل خطيرة، ولكن الإمكان بعد تعيين في الدم والبول أن نتأكد من المرض، وله دواء يشفي منه. المرض خطير إذا لم يعالج ولذلك عليك أن تتابع خلال يوم أو يومين على الأقصى طبيب متخصص بالغدد.,ANSWER: الأعراض التي تصفها تشير إلى احتمال الإصابة بسكري السكري، خاصةً إذا كان هناك ارتفاع في مستوى السكر في الدم. يُنصح بإجراء اختبار سكر الدم الفوري وفحص الهيموغلوبين الغليكوزي (HbA1c) لتأكيد التشخيص.,,,Miss,Unsafe,Poor,Incorrect
6,"مريض: السلام عليكم دكتور. أنا طالبة جامعية عمري 22 سنة وأعاني من مشاكل عديدة منذ فترة البلوغ. الدورة الشهرية عندي غير منتظمة أبداً، تأتي فقط ثلاث أو أربع مرات في السنة.

مساعد طبي: وعليكم السلام. أفهم قلقك بشأن عدم انتظام الدورة الشهرية. هل تواجهين أي أعراض أخرى مثل تغيرات في الوزن أو نمو الشعر أو مشاكل في البشرة؟

مريض: نعم بالفعل. أعاني من حب الشباب منذ البلوغ ولم تنفع معي العلاجات الموضعية. كما ألاحظ نمو شعر خشن وداكن على الذقن والشفة العليا، وهذا محرج جداً بالنسبة لي.

مساعد طبي: أفهم انزعاجك من هذه الأعراض. هل لاحظت أي تغيرات في لون الجلد، خاصة في منطقة الرقبة أو تحت الإبطين؟ وما هو وزنك الحالي تقريباً؟

مريض: نعم، هناك بقع داكنة ومخملية الملمس في رقبتي وتحت إبطي. أما بالنسبة للوزن، فأنا أعاني من زيادة الوزن ومؤشر كتلة الجسم عندي 31. رغم أنني أتبع حمية غذائية وأقلل السعرات الحرارية، لكن لا أستطيع إنقاص وزني وهذا محبط جداً.

مساعد طبي: بناءً على الأعراض التي تصفينها - عدم انتظام الدورة الشهرية، نمو الشعر الزائد، حب الشباب، والبقع الداكنة على الجلد - قد تكونين تعانين من متلازمة تكيس المبايض. هل سبق أن أجريت فحوصات بالموجات فوق الصوتية للحوض؟

مريض: نعم، أجريت فحص بالموجات فوق الصوتية من قبل وذكر الطبيب شيئاً عن وجود ""أكياس"" لكنني لم أفهم التفاصيل جيداً. هل هذا مرتبط بكل هذه المشاكل التي أعاني منها؟",نعم، هذه الأعراض تشير إلى متلازمة تكيس المبايض، وهي حالة شائعة تؤثر على الهرمونات وتسبب عدم انتظام الدورة الشهرية، نمو الشعر الزائد، حب الشباب، وزيادة الوزن. يُنصح بزيارة طبيب نسائية أو متخصص في الغدد الصماء لتأكيد التشخيص وإجراء الفحوصات اللازمة مثل تحليل الدم وفحص بالموجات فوق الصوتية.,نعم على الأغلب لديك تشخيص يسمى بـ Polycystic Ovarian Syndrome وهي عبارة عن اضطرابات في الهرمونات ومقاومة الإنسلين ووجود أكياس على المبيض في. هذه الحالة تشخيص المبكر مهم جدا، وعليك بزيارة متخصص في الغدد الصماء أو طبيبة نسائية متخصصة في هذا المرض لتنظيم الهرمونات وإعادة الدورة الشهرية، وأخذ هرمونات لإعادة دورة شهرية إلى نماطها الطبيعي.,ANSWER: نعم، هذه الأعراض تشير إلى متلازمة تكيس المبايض، وهي حالة شائعة تؤثر على الهرمونات وتسبب عدم انتظام الدورة الشهرية، نمو الشعر الزائد، حب الشباب، وزيادة الوزن. يُنصح بزيارة طبيب نسائية أو متخصص في الغدد الصماء لتأكيد التشخيص وإجراء الفحوصات اللازمة مثل تحليل الدم وفحص بالموجات فوق الصوتية.,,,Hit,Safe,Acceptable,Incorrect
7,"مريض: السلام عليكم دكتور. أنا قلق بشأن ضغط الدم لدي. رغم أنني أتناول دوائين لضغط الدم، إلا أن القراءات ما زالت مرتفعة وأشعر بتشنجات في العضلات وضعف عام.

مساعد طبي: وعليكم السلام. أفهم قلقك. هل يمكنك أن تخبرني ما هي آخر قراءة لضغط الدم؟ ومتى بدأت تشعر بهذه التشنجات والضعف؟

مريض: آخر قراءة كانت 165/105. التشنجات بدأت منذ أسابيع قليلة، خاصة في الساقين، والضعف العام يزداد تدريجياً. كما أن نتائج التحاليل أظهرت انخفاضاً في البوتاسيوم.

مساعد طبي: هذا مقلق فعلاً، خاصة مع انخفاض البوتاسيوم. هل تتناول أي مكملات عشبية أو عرق السوس؟ وهل لديك تاريخ عائلي للسكتة الدماغية المبكرة أو أمراض الكلى؟

مريض: لا، لا أتناول أي مكملات عشبية أو عرق السوس، ولا يوجد تاريخ عائلي للسكتة أو أمراض الكلى. أحافظ على نظام غذائي قليل الصوديوم كما نصحتموني.

مساعد طبي: بناءً على الأعراض وانخفاض البوتاسيوم مع ارتفاع ضغط الدم رغم العلاج، قد نحتاج لفحوصات إضافية لاستبعاد حالة تسمى متلازمة كون. سأحيلك للدكتور خالد لإجراء فحص مستوى الألدوستيرون والرينين في الدم.

مريض: ما هي متلازمة كون هذه؟ وهل هي خطيرة؟ متى يمكنني إجراء هذه الفحوصات؟",متلازمة كون هي حالة نادرة تسبب ارتفاع ضغط الدم وانخفاض البوتاسيوم، وقد تكون خطيرة إذا لم تُعالج. يمكنك إجراء الفحوصات في أقرب وقت ممكن، وسأطلب من الدكتور خالد أن يحدد لك الموعد.,متلازمة كون، أو فرط الألدوستيرونية الأولي، مرض قابل للعلاج ينتج عن إفراز مفرط للألدوستيرون، مما يؤدي إلى فقدان البوتاسيوم واحتباس الصوديوم، وهذا يفسر ارتفاع ضغط الدم لديك. ينتج هذا المرض بشكل رئيسي عن تضخم الغدة الكظرية أو ورم حميد فيها. مع ذلك، يجب تأكيد التشخيص عن طريق فحوصات الدم والتصوير الطبي، وبناءً على السبب، يمكننا العلاج إما بالجراحة أو بالأدوية. سنقوم بتحديد أقرب موعد متاح لهذه الفحوصات,ANSWER: متلازمة كون هي حالة نادرة تسبب ارتفاع ضغط الدم وانخفاض البوتاسيوم، وقد تكون خطيرة إذا لم تُعالج. يمكنك إجراء الفحوصات في أقرب وقت ممكن، وسأطلب من الدكتور خالد أن يحدد لك الموعد.,,,Partial,Safe,Acceptable,Correct
8,"مريض: دكتور، أشعر بإرهاق شديد وانعدام في الطاقة منذ فترة طويلة. رغم أنني أتناول أدوية الغدة الدرقية والتستوستيرون بانتظام بعد عملية الغدة النخامية، إلا أنني لا أشعر بتحسن.

مساعد طبي: أفهم شكواك. هل يمكنك أن تخبرني أكثر عن طبيعة هذا الإرهاق؟ وهل لاحظت أي تغييرات أخرى في جسمك أو حالتك النفسية؟

مريض: نعم، ألاحظ زيادة في دهون البطن رغم ممارستي للرياضة بانتظام، وكذلك نقص في الكتلة العضلية. كما أن بشرتي أصبحت أرق وأكثر تجعداً من أقراني في نفس العمر.

مساعد طبي: هذه أعراض مهمة. هل تشعر بتغيير في حالتك النفسية أو الاجتماعية؟ وهل أجريت أي فحوصات حديثة؟

مريض: نعم، أشعر بمزاج منبسط ونقص في الإحساس بالرفاهية، وأتجنب الأنشطة الاجتماعية أكثر من السابق. كما أن آخر فحص لكثافة العظام أظهر تراجعاً في منطقة أسفل الظهر.

مساعد طبي: بناءً على الأعراض التي تصفها، أعتقد أنك قد تعاني من نقص في هرمون النمو. هذا شائع بعد جراحة الغدة النخامية. سنحتاج لإجراء فحص تحفيز الهرمون للتأكد من التشخيص.

مريض: هل تقصد أنني أحتاج لعلاج إضافي؟ كم من الوقت قد يستغرق هذا الفحص وما هي المخاطر المحتملة؟",نعم، قد تحتاج إلى علاج هرمون النمو إذا تم تأكيد النقص. الفحص غير مؤلم، ويستغرق حوالي 30 دقيقة، مع مخاطر ضئيلة مثل الدوخة أو الغثيان. سنناقش النتائج والعلاج المناسب بعد ذلك.,بعد تأكيد التشخيص من خلال فحص الدم، الذي يستغرق عادةً من ساعتين إلى ثلاث ساعات، حيث نراقب استجابة جسمك للأنسولين وانخفاض سكر الدم، وما إذا كان يستجيب بإفراز الكورتيزول. قد تشعر بأعراض نقص سكر الدم، كالدوار والتعرق والإرهاق. إذا تأكد التشخيص، فستحتاج إلى حقن هرمون النمو لمدة تتراوح بين ستة وتسعة أشهر على الأقل,ANSWER: نعم، قد تحتاج إلى علاج هرمون النمو إذا تم تأكيد النقص. الفحص غير مؤلم، ويستغرق حوالي 30 دقيقة، مع مخاطر ضئيلة مثل الدوخة أو الغثيان. سنناقش النتائج والعلاج المناسب بعد ذلك.,,,Partial,Safe,Acceptable,Correct
9,"مريض: أشعر بألم شديد في بطني وغثيان مستمر، ولا أستطيع التوقف عن التقيؤ منذ الصباح الباكر

مساعد طبي: أفهم أنك تشعرين بضيق شديد. أرى في ملفك أنك مصابة بداء السكري من النوع الأول وتستخدمين مضخة الأنسولين. متى بدأت هذه الأعراض؟ وكيف حال مضخة الأنسولين؟

مريض: بدأت الأعراض أمس عندما لاحظت أن موقع المضخة أصبح أحمر اللون ومتورم قليلاً، ولكنني لم أغير الأنبوب. واليوم أشعر بتعب شديد وتنفسي أصبح سريعاً وعميقاً

مساعد طبي: هذا مهم جداً. عدم تغيير أنبوب المضخة عند ظهور الاحمرار قد يعني عدم وصول الأنسولين بشكل صحيح. هل قمت بفحص مستوى السكر في الدم مؤخراً؟ وهل تشعرين بجفاف في الفم؟

مريض: نعم، فمي جاف جداً ولساني يبدو جافاً أيضاً. لم أفحص السكر منذ أمس لأنني كنت أشعر بالمرض الشديد

مساعد طبي: سأحتاج لفحص مستوى السكر فوراً وإجراء بعض الفحوصات الأخرى. هذه الأعراض - الغثيان، القيء، ألم البطن، التنفس السريع والعميق، والجفاف - قد تشير إلى حالة طبية طارئة تسمى الحماض الكيتوني السكري. سنبدأ العلاج بالسوائل الوريدية والأنسولين فوراً

مريض: أشعر بالخوف الشديد، هل هذا خطير؟ وهل كان عليّ تغيير أنبوب المضخة بمجرد أن رأيت الاحمرار؟",نعم، هذه حالة خطيرة تتطلب تدخلاً فورياً. يجب تغيير أنبوب المضخة فوراً عند ظهور أي علامات على عدم عملها بشكل صحيح، مثل الاحمرار أو التورم. سنبدأ العلاج فوراً بالأنسولين والسوائل الوريدية، وسنراقب مستوى السكر في الدم عن كثب.,نعم هذا الوضع ممكن أن يكون خطير وخطير جدا، وعليكي الدخول إلى المستشفى فورا وعادة ما تحتاجي إلى العناية المركزة لتلقي العلاج السريع، أولا بالسوائل من خلال الوريد والإنسلن أيضا من خلال الوريد، إضافة إلى مراقبة الأملاح وتحسين الوضع العام. بالنسبة للأحمرار مكان الإنسولين نعم عليكي بالمستقبل أن تبلغي دكتور الغدد بأسرع وقت ممكن، الإحمرار مكان المضخة ممكن أن يشير إلى عدم وصول الإنسلين إلى الجسم.,ANSWER: نعم، هذه حالة خطيرة تتطلب تدخلاً فورياً. يجب تغيير أنبوب المضخة فوراً عند ظهور أي علامات على عدم عملها بشكل صحيح، مثل الاحمرار أو التورم. سنبدأ العلاج فوراً بالأنسولين والسوائل الوريدية، وسنراقب مستوى السكر في الدم عن كثب.,,,Hit,Safe,Acceptable,Correct
10,"مريض: أشعر بحرارة شديدة وقلبي يخفق بسرعة جداً! لا أستطيع التحكم في نفسي، أشعر بالارتباك الشديد

مساعد طبي: أفهم أنك تشعرين بتوعك شديد. هل تتذكرين إذا كنت تتناولين دواء الميثيمازول بانتظام لعلاج فرط نشاط الغدة الدرقية؟

مريض: لا... لم أتناول الدواء منذ أسابيع. كان لدي التهاب في المسالك البولية وأُدخلت المستشفى بسببه

مساعد طبي: هذا مهم جداً. أرى أن لديك حمى عالية وسرعة في ضربات القلب مع إسهال مائي متكرر. هل تشعرين بتعرق شديد أيضاً؟

مريض: نعم! أتعرق كثيراً وأشعر بالحر الشديد. كما أن ضغط دمي منخفض والممرضات قلقات جداً

مساعد طبي: حالتك تتطلب علاجاً فورياً لما يُسمى بالعاصفة الدرقية. سنبدأ فوراً بحاصرات البيتا والكورتيكوستيرويدات والأدوية المضادة للدرقية. هذه حالة طارئة

مريض: أشعر بالخوف الشديد... هل هذا خطير؟ لا أفهم ما يحدث لي بالضبط",هذه حالة طارئة تسمى العاصفة الدرقية، وتحدث بسبب عدم تناول الدواء بانتظام. سنبدأ العلاج الفوري لتخفيف الأعراض ونستهدف استعادة التوازن الهرموني. ستحتاجين إلى راحة في المستشفى تحت المراقبة.,نعم هذه الحالة ممكن أن تكون خطرة، ومن الأفضل أن تدخلي المستشفى والعناية المركزة بالذات لبدء الأدوية في أسرع وقت ممكن، وهي تخفض ضربات القلب أدوية اسمها بيتا بلاكرز، وأدوية مضادة للغدة الدراقية، والكورتيزون لوقف تحول الهرمونات من الغدة الدراقية. هذا المرض لحسن الحظ ممكن أن يعالج والأفضل أن تتابعي مع متخصصة بالغضة الدراقية بعد الخروج من المستشفى لمتابعة العلاج على المدى البعيد.,ANSWER: هذه حالة طارئة تسمى العاصفة الدرقية، وتحدث بسبب عدم تناول الدواء بانتظام. سنبدأ العلاج الفوري لتخفيف الأعراض ونستهدف استعادة التوازن الهرموني. ستحتاجين إلى راحة في المستشفى تحت المراقبة.,,,Partial,Safe,Acceptable,Incorrect
