id,input,prediction,ground_truth,prediction_clean,ground_truth_clean,bleu_example,rouge1_example,rouge2_example,rougeL_example,bert_precision_example,bert_recall_example,bert_f1_example
4,عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :,ANSWER: العصب اللساني البلعومي,التاسع,العصب اللساني البلعومي,التاسع,0,0,0,0,0,0.1787807792,0.05647942796
12,. يقع الخط الالوي السفلي على,ANSWER: من الحدبة الحرقفية إلى قمة المدور الأكبر,السطح الخارجي للحرقفة,من الحدبة الحرقفية إلى قمة المدور الأكبر,السطح الخارجي للحرقفة,0,0,0,0,0.412325263,0.4325765967,0.4233709276
16,الحافة من الفرع التي تشكل زاوية الفك السفلي:,ANSWER: الحافة الخلفية,الخلفية,الحافة الخلفية,الخلفية,0.1495348781,0,0,0,0.5608106852,0.78729707,0.6723048687
19,تشاهد الجسور بين الخلوية في:,ANSWER: سرطان الخلايا الحرشفية,الطبقة الشائكة من النسيج الظهاري المطبق,سرطان الخلايا الحرشفية,الطبقة الشائكة من النسيج الظهاري المطبق,0,0,0,0,0.4361658096,0.3658238649,0.4017351568
21,تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة,ANSWER: الرباط العجزي الحدبي والرباط العجزي الشوكي,الرباط العجزي الشوكي العجزي الحدبي,الرباط العجزي الحدبي والرباط العجزي الشوكي,الرباط العجزي الشوكي العجزي الحدبي,0.1428720215,0,0,0,0.775031209,0.8470071554,0.8111025095
28,يفرز هرمون ال PTH :,ANSWER: الغدة جار الدرقية,الغدد جارات الدرق,الغدة جار الدرقية,الغدد جارات الدرق,0,0,0,0,0.7336117625,0.728618443,0.7315509915
35,يقع بين جسم الفقرة والقوس الفقرية :,ANSWER: السويقة,الثقبة الفقرية,السويقة,الثقبة الفقرية,0,0,0,0,0.4610428512,0.2911427319,0.3757463098
36,الفازوبريسين:,ANSWER: يزيد من نفاذية القنوات الجامعة للماء,ADH,يزيد من نفاذية القنوات الجامعة للماء,ADH,0,0,0,0,0,0,0
40,نسبة خلايا كوبفر للخلايا الكبدية :,ANSWER: 1:5,0.15,1:5,0.15,0,0,0,0,0.1281112731,0.5691587925,0.3405131102
43,تتحدد الثلمة البكرية بين,ANSWER: اللقيمة الإنسية والناتئ المنقاري للزند,الناتئ الزجي + الناتئ المنقاري,اللقيمة الإنسية والناتئ المنقاري للزند,الناتئ الزجي + الناتئ المنقاري,0.05372849659,0,0,0,0.455822587,0.562290132,0.5093365312
44,يحفز PTH تحويل ViTD إلى كالسيفيرول في :,ANSWER: الكلى,المعي,الكلى,المعي,0,0,0,0,0,0,0
46,. ترتكز العضلة ذات الرأسين الفخذية على,ANSWER: رأس الشظية,Head of fibula,رأس الشظية,Head of fibula,0,0,0,0,0,0,0
