id,input,prediction,ground_truth
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: The glossopharyngeal,B
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSWER: lunula,A
,أين يقع الخط الالوي السفلي؟,ANSWER: Below the inguinal ligament,A
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSWER: The mandibular notch,B
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: The extensor muscles of the forearm,E
,أين تشاهد الجسور بين الخلوية؟,ANSWER: The brainstem,B
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSWER: The foramen,B
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: Parathyroid gland,A
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: The vertebral foramen,C
,أين تقع المنطقة الشمية؟,ANSWER: The olfactory region,A
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSWER: Fascia,A
,أين يوجد التلم الكعبري في جسم العضد؟,ANSWER: On the posterior surface,A
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSWER: Odontoblasts,C
,أين يقع المستقيم؟,ANSWER: The rectum,B
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,ANSWER: Glands of the mucous,A
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: The hypoglossal nerve,C
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: The plexus,C
,من أين يفرز الأدرينالين؟,ANSWER: Medulla of the adrenal gland,B
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSWER: The formation of the inferior vena,B
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSWER: Tunica intima,B
,مما ينتج هرمون T4؟,ANSWER: Thyroid gland,C
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSWER: Sternocleidomastoid,B
,أين تقع المنطقة الشمية؟,ANSWER: The olfactory region,A
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: Pad of fat,A
,أين يتوضع الكولون السيني؟,ANSWER: The colon,B
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: The posterior ethmoidal notch,B
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSWER: The branches,B
,أين يمر عصب الفك العلوي؟,ANSWER: Foramen,A
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ANSWER: The fovea,C
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ANSWER: The lacrimal bone,A
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSWER: The aortic arch,A
,ما طول الأسهر؟,ANSWER: 10 cm,A
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ANSWER: The fissure of Sylvi,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: Prepuce,C
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ANSWER: The fossa oval,A
,أين يتوضع الدرز الأكليلي؟,ANSWER: Between the left and right lobes,A
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: Stabilizes the knee,c
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ANSWER: V,C
,إلى أي قصبات تتفرع القصبات الفصية؟,ANSWER: Bronchi,C
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,ANSWER: Brainstem,C
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ANSWER: Tonsils,C
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ANSWER: Surface,C
,ما هو العصب القحفي الثاني؟,ANSWER: The optic nerve,A
,ما وظيفة العضلة تحت الكتفية؟,ANSWER: Abduction,b
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,ANSWER: Abnormal implantation,C
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,ANSWER: Dura mater,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,ANSWER: Tracts,A
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,ANSWER: The glans,B
,ما هي أكبر غدد الجسم؟,ANSWER: Liver,A
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,ANSWER: Segmental arteries,A
,بماذا ينتهي الشريان الوجهي؟,ANSWER: The facial artery,C
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,ANSWER: dentin,B
,أين تقع فوهة مصب الجيب الأكليلي؟,ANSWER: The opening of the gallbladder,C
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,ANSWER: The fossa,B
,أي عصب هو المحرك لعضلات اللسان؟,ANSWER: The hypoglossal nerve,C
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,ANSWER: The mandibular fossa,C
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,ANSWER: Hormones,B
,ما هي الزاوية بين قبضة وجسم القص؟,ANSWER: 90 degrees,A
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,ANSWER: Foramen oval,C
,ما الذي يحدد المنصف العلوي جانبياً؟,ANSWER: The temporal lobes,A
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,ANSWER: The nasal cavity,B
,أين ترتكز العضلة العريضة الظهرية؟,ANSWER: The scapula,A
,ما هو القولون الذي يمتد بشكل أفقي؟,ANSWER: Colon,C
,كم عدد القطع العصعصية في النخاع الشوكي؟,ANSWER: 31,D
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,ANSWER: Layer of detrusor,B
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,ANSW: Receptors of Merkel,B
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,ANSWER: The epiglottic cartilage,B
,أين لا توجد الغدد الزهمية؟,ANSWER: The palatal,A
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,ANSWER: The facial nerve,A
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,ANSWER: The mastoid notch,A
,ما هو الاسم الآخر لفرع الفك السفلي؟,ANSWER: Mandibular,C
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: Stabilizes the knee,C
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,ANSWER: The stylomastoid foramen,A
,ماذا تفرز خلايا بيتا في البنكرياس؟,ANSWER: insulin,B
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,ANSWER: Tamponade,A
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ANSWER: The body,C
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,ANSWER: Talus,C
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,ANSWER: Rectus capitis posterior,A
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,ANSWER: The pharyngotympanic tube,C
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,ANSWER: Tunica vaginalis,C
,أين يقع موقع الغدة الدرقية؟,ANSWER: Anterior neck,A
,أين تتوضع مستقبلات الشم؟,ANSWER: The olfactory epithelium,C
,ما هي طبيعة هرمونات الغدة النخامية؟,ANSWER: Protein,B
,ما هو مفصل المرفق؟,ANSWER: Joint,A
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,ANSWER: The greater trochanter,A
,أين يتوضع الأبهر النازل البطني؟,ANSWER: posterior to the aorta,A
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,ANSWER: The peritoneum,A
