id,specialty,level,answer,question,original_options,generated_options,bertscore_f1,flagged
914,Anatomy,Y2,d,يتمفصل العظم القاربي مع العظام التالية ما عدا : (2009),"أ) الكبير.
ب) الهلالي.
ج) المربعي.
د) المثلثي.","أ) العظم الكاحلي (Talus)  
ب) العظم الإسفيني الإنسي (Medial cuneiform)  
ج) العظم المكعبي (Cuboid)  
د) العظم الإسفيني الوحشي (Lateral cuneiform)",0.8634,True
206,Anatomy,Y1,C,المحرك لعضلات اللسان:,"أ) 11
ب) 7
ج) 12
د) 9","أ) العصب تحت اللسان (العصب القحفي الثاني عشر)  
ب) العصب اللساني البلعومي (العصب القحفي التاسع)  
ج) العصب المبهم (العصب القحفي العاشر)  
د) العصب الوجهي (العصب القحفي السابع)",0.8192,False
2256,Genetics,Y1,A,في حالة التفارز المستقل يؤدي التزاوج ما بين ثنائي متخالف الألائل مع ثنائي متماثل الألائل المتنحي إذ تتوضع كلتا الجينتين علي صبغيين غير متماثلين إلي تشكيل ... من التراكيب الجينية الجديدة:,"أ) 0
ب) 0.5
ج) 0.2
د) 0.4","أ) تركيبين جينيين جديدين  
ب) أربعة تراكيب جينية جديدة  
ج) ستة تراكيب جينية جديدة  
د) ثمانية تراكيب جينية جديدة",0.8339,False
2009,Cell Biology,Y1,C,نقطة تحقق المغزل:,"أ) نقطة التحقق G1
ب) نقطة التحقق G2
ج) نقطة التحقق S
د) نقطة التحقق M","أ) نقطة تفتيش في الطور الاستوائي تضمن ارتباط جميع الكروموسومات بخيوط المغزل قبل بدء الانفصال  
ب) نقطة تفتيش في طور G1 تتحقق من سلامة الـDNA قبل دخول طور S  
ج) نقطة تفتيش في طور G2 تتحقق من اكتمال تضاعف الـDNA قبل دخول الانقسام  
د) نقطة تفتيش في الطور التمهيدي تتحقق من تكثف الكروموسومات قبل تفكك الغشاء النووي",0.8655,True
1831,Cell Biology,Y1,B,الشكل الذي يربط ADP و Pi بقوة أكبر:,"أ) O
ب) L
ج) T
د) R","أ) الميوسين (Myosin)  
ب) الأكتين (Actin)  
ج) التروبونين (Troponin)  
د) التروبوميوسين (Tropomyosin)",0.8471,False
1145,Anatomy,Y1,C,تفرز الخلايا العنبية في البنكرياس :,"أ) insulin
ب) glucagon
ج) lipase
د) somatostatine","أ) الإنزيمات الهاضمة مثل الأميلاز والليباز والتربسينوجين  
ب) الإنسولين  
ج) الغلوكاغون  
د) السوماتوستاتين",0.8682,True
841,Anatomy,Y1,B,الخلايا التي تتوضع في اللحمة بين النبيبات,"أ) المولدة للنطاف
ب) لايديغ
ج) سيرتولي
د) لا شيء مما سبق","أ) خلايا لايديغ (الخلايا البينية)  
ب) خلايا سيرتولي  
ج) الخلايا المنوية (Spermatogonia)  
د) الخلايا الميويدية المحيطة بالنبيبات (Peritubular myoid cells)",0.8679,True
4470,Physiology,Y2,E,في فرط التوتر الشرياني الأساسي، يحدث كل مما يلي عدا,"أ) زيادة إفراز الهرمون المضاد للإدرار (ADH)
ب) زيادة العمل البعدي (Afterload)
ج) زيادة فعالية جملة الرينين - الأنجيوتنسين - الألدوستيرون
د) اختلال شبكية العين","أ) زيادة المقاومة المحيطية الكلية  
ب) زيادة نشاط الجهاز العصبي الودي  
ج) زيادة إفراز الرينين/تنشيط منظومة الرينين-أنجيوتنسين-ألدوستيرون  
د) انخفاض المقاومة المحيطية الكلية",0.8999,True
714,Anatomy,Y1,C,. تشاهد على الوجه الحجابي للقلب العناصر التالية ماعدا,"أ) قسم من البطين الايمن
ب) قسم من البطين الايسر
ج) الشريان بين البطنين الامامي
د) الشريان بين البطينين الخلفي","أ) الثلم بين البطينين الخلفي  
ب) الجيب التاجي  
ج) الوريد الأجوف العلوي  
د) الوريد الأجوف السفلي",0.9105,True
4842,Surgery,Y3,B,الكبد,"أ) 1. يعاني مريض عمره 25 سنة من عدم ارتياح عام ونقصان في الوزن وترفع حروري وبراز ملطخ بالدم على نحو متقطع خلال الست أسابيع الأخيرة بعد عودته من شبه القارة الهندية حيث عمل هناك لمدة ستة أشهر. بالفحص السريري: كبدية مع مضض في الربع العلوي الأيمن وأظهر الإيكو جوفا ناقص الصدى الفص الكبدي الأيمن ذو حواف واضحة. ما هو التشخيص المحتمل؟
ب) 1. خراجة كبدية قيحية.
ج) 2. خراجة كبدية زحارية.
د) 3. كيسة مائية كبدية.","أ) عضو يقع في الربع العلوي الأيمن من البطن ويقوم باستقلاب السموم وإنتاج الصفراء  
ب) غدة تقع خلف المعدة وتفرز الإنسولين والإنزيمات الهاضمة (البنكرياس)  
ج) عضو مسؤول عن ترشيح الدم وإنتاج البول (الكلى)  
د) عضو مسؤول عن ضخ الدم إلى أنحاء الجسم (القلب)",0.8269,False
3459,Ophthalmology,Y5,D,يبدي تنكس الشبكية الصباغي المظاهر التالية عدا:,"أ) توضعات سباغية نجمية الشكل
ب) نقص معمم في أقطار الشرايين
ج) شحوب حليمة العصب البصري
د) عدم اتضاح حدود الحليمة","أ) تضيق الأوعية الشبكية  
ب) ترسبات صباغية بشكل شوك عظمي في المحيط  
ج) شحوب/ضمور حليمة العصب البصري (مظهر شمعي)  
د) وذمة حليمة العصب البصري (Papilledema)",0.9069,True
262,Anatomy,Y1,B,تفرز خلايا بيتا في البنكرياس :,"أ) الغلوكاغون
ب) الأنسولين
ج) السوماتوستاتين
د) لا شيء مما سبق","أ) الإنسولين  
ب) الغلوكاغون  
ج) السوماتوستاتين  
د) الببتيد البنكرياسي (Pancreatic polypeptide)",0.9251,True
246,Anatomy,Y1,A,من فروع الابهر النازل البطني أمامية ما عدا:,"أ) الشريان الحجابي
ب) الشريان المساريقي العلوي
ج) الشريان المساريقي
د) الجدع البطني","أ) الجذع الزلاقي  
ب) الشريان المساريقي العلوي  
ج) الشريان المساريقي السفلي  
د) الشرايين الكلوية",0.949,True
769,Anatomy,Y1,B,تركيب T3 :,"أ) شحمي
ب) أميني
ج) سكري
د) لا شيء مما سبق","أ) ثلاث ذرات يود مرتبطة بحلقتين عطريتين مشتقتين من التيروزين (3,5,3′-ثلاثي يودوثيرونين)  
ب) أربع ذرات يود مرتبطة بحلقتين عطريتين مشتقتين من التيروزين (ثيروكسين T4)  
ج) ثنائي يودوثيرونين (T2) مكوّن من ذرتي يود فقط  
د) ببتيد مكوّن من عدة أحماض أمينية يُفرَز من الغدة الدرقية",0.8349,False
1793,Genetics,Y1,C,يتكون التتالي المحفوظ في المنطقة –10 من المحفز من التتاليات:,"أ) TTATAT
ب) TTATTT
ج) TATAAT
د) كل ما سبق خطأ","أ) TATAAT  
ب) TTGACA  
ج) TATAAT و TTGACA  
د) Pribnow box و Shine-Dalgarno sequence",0.8764,True
1908,Cell Biology,Y1,A,الريبوزومات,"أ) بروتينات
ب) سكريات
ج) شحميات
د) أحماض نورية","أ) عضيات خلوية مسؤولة عن تصنيع البروتينات عبر ترجمة mRNA  
ب) عضيات محاطة بغشاء مزدوج وتقوم بإنتاج ATP عبر الفسفرة التأكسدية  
ج) تراكيب مسؤولة عن تخزين المادة الوراثية DNA وتنظيم التعبير الجيني داخل النواة  
د) عضيات تقوم بتعديل وتغليف البروتينات والدهون وإرسالها عبر الحويصلات (جهاز جولجي)",0.8638,True
4142,Physiology,Y2,D,من وظائف بروتينات البلاسما :,"أ) نقل المواد وظيفة اللألبومين
ب) الغلوبيولينات ككل تزود الجسم بالمناعة
ج) مسؤولة دون غيرها في الحفاظ على PH الدم
د) كل ما سبق خاطئ","أ) المحافظة على الضغط الأسموزي الغرواني للدم ونقل بعض المواد  
ب) إنتاج الطاقة مباشرة داخل الخلايا عبر تحلل الغلوكوز  
ج) تكوين الهيموغلوبين داخل كريات الدم الحمراء  
د) نقل السيالات العصبية بين العصبونات في الجهاز العصبي",0.8635,True
4936,Surgery,Y3,D,34. العلاج الأمثل لمريض عمره 40 سنة وجد لديه بالتنظير الهضمي العلوي لمفوما معدية هو:,"أ) 1. استئصال معدة تحت تام.
ب) 2. علاج شعاعي.
ج) 3. استئصال معدة تحت التام مع علاج شعاعي.
د) 4. علاج كيماوي.","أ) استئصال معدة جزئي/كلي مع تفريغ عقد لمفية  
ب) علاج إشعاعي موضعي للمعدة فقط  
ج) استئصال جرثومة المعدة (H. pylori) بمضادات حيوية مع مثبط مضخة البروتون كخط أول  
د) علاج كيماوي جهازي متعدد الأدوية (مثل R-CHOP) كعلاج أولي لجميع الحالات",0.8825,True
219,Anatomy,Y1,B,يمر عبرهما الهواء إلى جوف الأنف :,"أ) CHOANA
ب) المنخرين
ج) المنعرين
د) كل ما سبق خطأ","أ) المنخران  
ب) القرينتان الأنفيتان  
ج) الجيبان الفكيان  
د) قناة استاكيوس",0.8927,True
4602,Statistics,Y1,D,الفرضية الإحصائية:,"أ) مقولة أو تخمين تتعلق بوسطاء المجتمع
ب) مقولة أو تخمين تتعلق بشكل توزيع المجتمع
ج) مقولة أو تخمين تمثل الصح أو الخطأ
د) كل ما سبق صحيح","أ) عبارة أو ادعاء قابل للاختبار حول معلمة في المجتمع الإحصائي (مثل المتوسط أو النسبة)  
ب) نوع من الرسوم البيانية يُستخدم لعرض توزيع البيانات (مثل المدرج التكراري)  
ج) طريقة لجمع البيانات من خلال الاستبيانات أو المقابلات فقط  
د) مقياس للنزعة المركزية يساوي القيمة الأكثر تكرارًا في العينة",0.8498,False
1630,Biochemistry,Y2,B,ما هو الواسم الورمي الذي تطلب معايرته دوريا لمراقبة مريض خضع لعملية استئصال البروستات الجذري:,"أ) .CA 19-9
ب) PSA .
ج) PSMA .
د) CA 15-3 .","أ) PSA (مستضد البروستات النوعي)  
ب) CEA (المستضد السرطاني الجنيني)  
ج) AFP (ألفا فيتو بروتين)  
د) CA 19-9 (مستضد السرطان 19-9)",0.852,True
4467,Physiology,Y2,D,مريض لديه ابيضاض دم مزمن مع خضاب 8، السبب الأكثر احتمالًا لفقر الدم هو,"أ) نقص الحديد
ب) نقص فيتامين B12
ج) نقص حمض الفوليك
د) انحلال الدم بسبب الراصات الباردة","أ) فقر دم انحلالي مناعي ذاتي  
ب) فقر دم بسبب ارتشاح نقي العظم/فشل نقي العظم (Myelophthisis)  
ج) فقر دم نقص الحديد بسبب نزف مزمن  
د) فقر دم الأمراض المزمنة/الالتهاب المزمن (Anemia of chronic disease)",0.8704,True
3439,Ophthalmology,Y5,B,يتميز جفاف العين الناجم عن نقص إفراز الطبقة المخاطبة بما يلي عدا: f. يشاهد انقطاع سريع للفلم الدمعي,"أ) يحدث نتيجة تخريب الخلايا الكأسية
ب) تعتبر متلازمة جوغرن من أهم أسبابه
ج) يشاهد في الفقاع الكاذب
د) يبقى اختبار شيرمر طبيعياً","أ) يشاهد انقطاع سريع للفلم الدمعي  
ب) يكون اختبار شيرمر طبيعيًا غالبًا  
ج) تترافق الحالة مع نقص الخلايا الكأسية/تندب الملتحمة  
د) يزداد حجم الدمع (المنيسك الدمعي) بشكل واضح",0.8911,True
1807,Genetics,Y1,B,قد يكمن السبب الفيزيائي لظهور العصابات في النمط النووي إلي كل ما يلي ماعدا:,"أ) الاختلاف بتركيب النكليوتيدات
ب) وجود بني ثانوية مثل العري في مناطق من الصبغيات دون غيرها
ج) ارتباط بروتينات معينة مع مناطق محددة من الصبغيات دون غيرها
د) نوع معالجة الصبغيات قبل التلوين","أ) اختلاف درجة تكثّف الكروماتين بين المناطق الغنية بـ AT والمناطق الغنية بـ GC  
ب) اختلاف توقيت تضاعف الـ DNA بين مناطق الكروموسوم (مبكر/متأخر)  
ج) اختلاف قابلية مناطق الكروموسوم للصبغ وارتباط الأصباغ بها (مثل جيمزا)  
د) اختلاف عدد الكروموسومات في الخلية (الزيادة أو النقصان العددي)",0.8574,True
