Models/Metrics,Assigned to ,MSA,,,Emirati,,,Moroccan,,,Jordanian,,,Egyptian,,,,,,,
,,BERTScore (araBERTv2),LLM as a judge ,,BERTScore (araBERTv2),LLM as a judge ,,BERTScore (araBERTv2),LLM as a judge ,,BERTScore (araBERTv2),LLM as a judge ,,BERTScore (araBERTv2),LLM as a judge ,,,,,,
,,,%correct ,%Incorrect ,,%correct ,%Incorrect ,,%correct ,%Incorrect ,,%correct ,%Incorrect ,,%correct ,%Incorrect ,,,,,
Closed-Source General Purpose LLMs ,,,,,,,,,,,,,,,,,,,,,
GPT-5.2 (exclude from study),Musa,56.3,85.0,15.0,56.5,84.0,16.0,54.6,76.0,24.0,56.1,78.0,22.0,56.7,80.0,68.0,,,,,
gemini-2.5-flash,Chaimae ,57.9,50.0,50.0,58.4,45.0,55.0,56.2,52.0,48.0,57.7,50.0,50.0,58.5,50.0,50.0,,,,,
Claude-Opus-4.6,Chaimae ,57.9,74.0,26.0,57.8,77.0,23.0,56.5,70.0,30.0,57.6,77.0,23.0,58.4,74.0,26.0,,,,,
Open-Source General Purpose LLMs,,,,,,,,,,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,Musa,56.9,35.0,65.0,55.2,33.0,67.0,52.9,22.0,78.0,54.9,32.0,68.0,55.3,28.0,72.0,,,,,
Llama-3.1-8B-Instruct,Musa,57.7,20.0,80.0,55.4,14.0,86.0,53.8,14.0,86.0,55.6,20.0,80.0,56.3,14.0,86.0,,,,,
Mistral-Small-3.2-24B-Instruct-2506,Musa,58.4,44.0,56.0,57.5,40.0,60.0,55.0,32.0,68.0,56.0,30.0,70.0,56.8,29.0,71.0,,,,,
Gemma-3-27B-it,Musa,57.6,49.0,51.0,56.9,39.0,61.0,55.1,33.0,67.0,57.1,44.0,56.0,58.1,46.0,54.0,,,,,
Llama-3.3-70B,Musa,57.8,34.0,66.0,56.7,23.0,77.0,55.4,18.0,82.0,56.1,26.0,74.0,57.6,24.0,76.0,,,,,
DeepSeek-V3.2,Chaimae,58.0,71.0,29.0,57.8,64.0,36.0,56.1,64.0,36.0,57.3,67.0,33.0,58.6,65.0,35.0,,,,,
Arabic General Purpose LLMs,,,,,,,,,,,,,,,,,,,,,
Jais-2-8B-Chat ,hala ,52.3,26.0,74.0,53.2,27.0,73.0,50.6,16.0,84.0,52.6,30.0,70.0,53.7,25.0,75.0,,,,,
ALLaM-7B-Instruct-preview ,Musa,57.7,43.0,57.0,53.9,28.0,72.0,54.8,36.0,64.0,55.5,43.0,57.0,56.9,38.0,62.0,,,,,
aya-expanse-8b,Musa,57.8,40.0,60.0,56.2,32.0,68.0,53.5,29.0,71.0,56.2,34.0,66.0,57.3,32.0,68.0,,,,,
SILMA-9B-Instruct-v1.0 ,hala ,53.7,18.0,82.0,50.6,15.0,85.0,51.6,19.0,81.0,51.1,12.0,88.0,51.7,14.0,86.0,,,,,
Falcon-H1-7B ,hala ,56.6,39.0,61.0,54.9,37.0,63.0,53.4,21.0,79.0,54.8,28.0,72.0,55.8,33.0,67.0,,,,,
Fanar-9B ,Musa,43.8,11.0,89.0,45.6,9.0,91.0,45.2,11.0,89.0,46.0,12.0,88.0,47.2,12.0,88.0,,,,,
Medical LLMs,,,,,,,,,,,,,,,,,,,,,
MedGemma-27b-text-it,Musa,58.0,64.0,36.0,58.3,43.0,57.0,55.5,40.0,60.0,57.8,48.0,52.0,58.4,44.0,56.0,,,,,
Meditron-3-70B,hala,57.3,28.0,72.0,56.5,38.0,62.0,53.9,24.0,76.0,56.1,33.0,67.0,57.6,28.0,72.0,,,,,
Med42-70B,hala,57.5,55.0,45.0,60.8,58.0,42.0,52.9,44.0,56.0,55.2,53.0,47.0,55.8,51.0,49.0,,,,,
Adaptation Baselines ,,,,,,,,,,,,,,,,,,,,,
Mistral + 5-Shot ,Musa ,58.2,55.0,45.0,58.3,47.0,53.0,55.7,39.0,61.0,56.9,40.0,60.0,57.5,38.0,62.0,,,,,old scores where judge makes the call if correct/incorrect. New ones use clinician-authored primary reasoning objective field as anchor
Mistral + AUTOCAP,Chaimae ,56.9,29.0,71.0,54.9,25.0,75.0,54.2,27.0,73.0,55.4,20.0,80.0,56.2,21.0,79.0,,,,,
BiMedix,Chaimae ,56.7,32.0,68.0,55.1,29.0,71.0,52.0,21.0,79.0,54.9,28.0,72.0,55.5,29.0,71.0,,,,,
Mistral + Full LoRA,Chaimae ,56.0,68.0,32.0,54.4,49.0,51,47.8,59,29,54.2,54,46,54.9,39,61,,,,,
Mistral + Ours,Chaimae ,52.5,65.0,35.0,49.4,42.0,58,48.4,70,30,54.5,46,54,50.4,48,52,,,,,
old scores where judge makes the call if correct/incorrect. New ones use clinician-authored primary reasoning objective field as anchor,,,,,,,,,,,,,,,,,,,,,
