id,input,prediction,ground_truth
1,"ممرضة عمرها 40 عاما أدخلت إلى المستشفى بسبب ارتفاع بالحرارة حتى 41°C بالرغم من إجراء ما يلزم في المستشفى لأكثر من ثلاثة أسابيع لم تتضح الأسباب واستمرار ارتفاع الحرارة أكثر من 40°C أن التشخيص الأقل ترجيحا لهذه المريضة هو

A) انتان جرثومي خفي
B) انفلونزا
C) ورم لمفاوي
D) داء ستيللز للكبار
E) ه حمى صنعية",B,B
2,"رجل عمره 19 عاما يشتكي سابقا من داء القدم الرياضي ولكنه كان بصحة جيدة عندما حصل لديه بدء مفاجئ بالحرارة والألم في رجله وقدمه اليمنى تبين من الفحص السريري وجود احمرار في قدمه ورجله مع حافة مجسوسة واضحة ذات تطور سريع يوجد اعتلال غدي لمفاوي إرربي مؤلم ان العضوية الأكثر ترجيحا المسببة لهذا الانتان هي

A) مكورات عنقودية بشروية
B) داء سعفة القدم
C) مكورات عقدية مقيحة
D) انتان لاهوائي مختلط",C,C
3,"رجل عمره 70 عاما غير ناشط جنسيا يشتكي من حرارة وألم في ركبته اليسرى قبل عدة أيام أصيبت ركبته بينما كان يعمل في الكراج الركبة حمراء ساخنة ومتوذمة اجري بزل للمفصل فتبين وجود 200,000 كرية بيضاء/مكروليتر و غلوكوز 20 مغ/دسل لا يوجد وجود بلورات إن الخطوة التالية الأكثر أهمية هي

A) اجراء لطاخة غرام وزرع لسائل المفصل
B) زرع إحليلي
C) مستوى حمض البول
D) اضداد مضادة النوى",A,A
4,"رجل عمره 60 عاما يشكو من ألم في ركبتيه إشتد تدريجيا في السنتين الأخيرتين يخف الألم بالراحة ويسوء عند الحركة هناك ضخامة عظمية في الركبتين مع التهاب خفيف لوحظة فرقعة في مصل الركبة عند الحركة لا توجد ملاحظات أخرى سوى ضخامة عظمية في المفصل البعيد بين السلاميات يبلغ طول المريض 5 أقدام و 9 انشات و وزنه 190 باوند ما هي أفضل طريقة لمنع تطور المرض

A) تخفيض الوزن
B) متممات الكالسيوم
C) استعاضة كامل الركبة
D) اسبرين
E) بريدنيزون بالفم",A,A
5,"امرأة عمرها 45 عاما لديها ألم في الأصابع عند التعرض للبرد آلام مفاصل وصعوبة في بلع الأطعمة الصلبة ان الفحص المفصل لإجراء تشخيص نهائي هو

A) العامل الريثوي
B) اضداد مضادة للنوى
C) تخطيط قلب كهربائي
D) نيتروجين يوريا الدم والكرياتينين",A,B
6,"مريض عمره ٥٠ عاما يعاني منذ زمن من داء انسداد رئوي مزمن بدأ يحدث لديه ألم في نهايات الأطراف وبشكل خاص في معصميه فقد 10 باوند من وزنه ان الجلد على المعصمين ساخن وحمامي هناك تعجر ثنائي الجانب تبين من الصورة العادية وجود سماكة سمحاقية واحتمال التهاب العظم و النقي يجب

A) البدء بالسيبروفلوكساسين
B) إجراء صورة شعاعية للصدر
C) إجراء رشف للمعصمين
D) بدء المعالجة بالذهب",C,B
7,"مريض عمره 70 عاما لديه انسداد رئوي مزمن يتطلب إعطاء 2 لتر أكسجين عن طريق الأنف لمعالجة نقص التأكسج والذي يترافق عادة مع خناق اثناء إعطائه الأكسجين عن طريق الأنف حصل لديه ألم التهابي جنبي صدري حرارة وقشع قيحي أصبح المريض بحالة ذهول وحدث له تحمضن تنفسي مع إنحباس CO2 ونقص تأكسج يذداد سوءا العلاج المختار

A) إيقاف الأوكسجين
B) البدء بإعطاء هيدروكسي بروجستيرون
C) تنبيب الرغامى والبدء بالتهوية الآلية
D) مراقبة المريض لمدة 24 ساعة قبل تبديل العلاج
E) البدء بإعطاء ثاني فحمات الصوديوم",C,C
8,"امرأة عمرها ٣٥ عاما تشكو من ضيق نفس يتطور ببطء ليس لديها سيرة مرضية ملحوظة ولا يوجد سعال قشع ألم إلتهابي جنبي صدري او التهاب وريد خثاري كانت تتناول خافضات شهية في فترات مختلفة عند اجراء الفحص السريري تبين وجود تمدد في الوريد الوداجي زيادة في ضربات البطين الأيمن وصوت قلب P2 عال اظهرت الصورة الشعاعية للصدر حقول رئوية نظيفة اظهر تخطيط القلب الكهربائي انحراف المحور نحو اليمين ان المسح الرئوي الإروائي طبيعي دون وجود عيوب مقطعية أن التشخيص الأكثر ترجيحا هو

A) ارتفاع ضغط شرياني رئوي بدئي
B) انصمام رئوي راجع
C) تحويلة قلبية
D) داء رئوي خلالي",A,A
9,"امرأة عمرها 75 عاما ادخلت الى المستشفى بسبب احتشاء عضلة قلبية حاد و قصور قلب احتقاني ثم حدث لها تسارع قلبي بطيني اعطي لها عدة ادوية فحدث لها بسرعة تلعثم بالكلام مع خلط ذهني ان السبب الاكثر ترجيحا لهذا الخلط هو

A) كابتوبريل
B) ديجوكسين
C) فيروسيميد
D) ليدوكائين
E) نتروغليسرين",B,D
10,"رجل عمره 72 عاما يشكو من اعراض متقطعة من نقص التهوية عند بذل جهد خفقان وسعال يرافقه احيانا دم عند الاستماع للقلب سمعت نفخة دمدمية انبساطية خفيفة باتجاه القمة ويعزى ان يكون مصدر مشكلة المريض هو

A) حمى ريثوية منذ الصغر
B) ارتفاع ضغط الدم منذ زمن
C) احتشاء عضلة قلبية صامتة من السنة الماضية
D) مصدر خلقي",A,A
