id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,العصب glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,اللوْن,A,Incorrect
,أين يقع الخط الالوي السفلي؟,المنطقة تحت الفك,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الفرع,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضلات of the posterior compartment,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,الجلد,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,المembrane,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,Parathyroid hormone,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الفتحة,C,Incorrect
,أين تقع المنطقة الشمية؟,الجوف الأنفي,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,العرق,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,الظهر,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,الطب,C,Incorrect
,أين يقع المستقيم؟,الحوض,B,Correct
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,غدد sebaceous,A,Correct
,ما هو العصب المحرك لعضلات اللسان؟,العصب hypoglossal,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الضفيرة cervical,C,Correct
,من أين يفرز الأدرينالين؟,الغدة الكظر,B,Correct
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريد الكافي,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,التونica media,B,Correct
,مما ينتج هرمون T4؟,الغدة الدرقية,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,العضلة الست,B,Incorrect
,أين تقع المنطقة الشمية؟,الجوف الأنفي,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,الوسادة,A,Incorrect
,أين يتوضع الكولون السيني؟,الحوض,B,Correct
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,العمود,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,الفرع of the facial nerve,B,Incorrect
,أين يمر عصب الفك العلوي؟,الفتام,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,الثقب,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الجمجمة,A,Incorrect
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,الأبهر,A,Correct
,ما طول الأسهر؟,30-40 cm,A,Correct
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,الغدة,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C,Correct
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,العصب,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,الدرز,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,يحد the knee,c,Incorrect
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,العصب الماض,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,القصبات الثانى,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,الدم,C,Incorrect
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,البلعوم,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,السط,C,Incorrect
,ما هو العصب القحفي الثاني؟,العصب البصary,A,Incorrect
,ما وظيفة العضلة تحت الكتفية؟,الاستقرار,b,Incorrect
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,المنطقة,C,Incorrect
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,العارة,A,Incorrect
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الطريق,A,Incorrect
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,الجسم,B,Incorrect
,ما هي أكبر غدد الجسم؟,الغدد المفرزة,A,Incorrect
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,الشرايين of the kidney,A,Incorrect
,بماذا ينتهي الشريان الوجهي؟,الوجه artery,C,Incorrect
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,الطبقة of odontoblasts,B,Incorrect
,أين تقع فوهة مصب الجيب الأكليلي؟,الثاني,C,Incorrect
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,الزغابة,B,Incorrect
,أي عصب هو المحرك لعضلات اللسان؟,العصب hypoglossal,C,Correct
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,المنج,C,Incorrect
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,هرمونات,B,Correct
,ما هي الزاوية بين قبضة وجسم القص؟,120,A,Incorrect
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,الفتام,C,Incorrect
,ما الذي يحدد المنصف العلوي جانبياً؟,الثقب,A,Incorrect
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,الجيوب and the nasal cavity,B,Incorrect
,أين ترتكز العضلة العريضة الظهرية؟,العمود,A,Incorrect
,ما هو القولون الذي يمتد بشكل أفقي؟,القولون,C,Incorrect
,كم عدد القطع العصعصية في النخاع الشوكي؟,31,D,Incorrect
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,العضة,B,Incorrect
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,الخلايا مرسل,B,Incorrect
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,الجلد,B,Incorrect
,أين لا توجد الغدد الزهمية؟,الغشاء,A,Incorrect
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,العصب الوجهي,A,Correct
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,الزغابة,A,Incorrect
,ما هو الاسم الآخر لفرع الفك السفلي؟,العصع,C,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,يحد the knee,C,Incorrect
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,الثقبة stylomastoid,A,Correct
,ماذا تفرز خلايا بيتا في البنكرياس؟,إنسولين,B,Correct
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,الصد,A,Incorrect
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ال neck,C,Correct
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,الطرس,C,Incorrect
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,العضلة rectus capitis posterior,A,Correct
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,البلع,C,Incorrect
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,الطبقة,C,Incorrect
,أين يقع موقع الغدة الدرقية؟,الرق,A,Incorrect
,أين تتوضع مستقبلات الشم؟,الغدة,C,Incorrect
,ما هي طبيعة هرمونات الغدة النخامية؟,بروتين,B,Correct
,ما هو مفصل المرفق؟,مفصل الزند,A,Incorrect
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,العمود,A,Incorrect
,أين يتوضع الأبهر النازل البطني؟,البطن,A,Incorrect
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,العضة,A,Incorrect
,ما هي عضلة الشهيق الرئيسية؟,العضة diaphragm,A,Correct
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,"الوريد, the artery, the ureter",C,Incorrect
,أين تشاهد التلمة الكعبرية للزند؟,السطرة,C,Incorrect
,أين تتوضع الثقبة العوراء في اللسان؟,خلف الكلم,A,Incorrect
,ما هو أطول أجزاء الأنبوب الهضمي؟,الامعاء,A,Incorrect
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,العضلات of the posterior thigh,A,Incorrect
,ما هي الطبقة المبطنة للتامور الليفي؟,الطبقة المصل,B,Incorrect
,ما هو أطول أجزاء أنبوب الهضم؟,الامعاء,B,Incorrect
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,الإنسولين,B,Correct
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,الرباط round,C,Incorrect
,ما هو لون لب الكظر؟,أصفر,A,Correct
,ما الذي يشكل معظم الكتلة العضلية للسان؟,العضلات intrinsic,A,Correct
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الطعم,A,Incorrect
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,العضلات,B,Incorrect
,ما هو أضيق قسم في جذع الدماغ؟,الpons,C,Incorrect
,أين يقع التلفيف خلف المركزي؟,الлоб,B,Incorrect
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,الخاصة,A,Incorrect
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,الطعم,A,Incorrect
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,العضلات flat,A,Incorrect
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,الدماغ stem,A,Incorrect
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,الفيبر,B,Incorrect
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,المنطقة above the hypothalamus,B,Incorrect
