id,level,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,question_old,question,answer_text
4,Y1,Anatomy,Anatomy,السابع,التاسع,العاشر,الخامس,,,B,ABCD,عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,التاسع
8,Y1,Anatomy,Anatomy,هليل الظفر,سرير الظفر,استارة الظفر,اللعوة,,,A,ABCD,قوس بيضاء عند حدود جسم الظفر مع جذره :,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,هليل الظفر
12,Y1,Anatomy,Anatomy,السطح الخارجي للحرقفة,الوجه الداخلي للحرقفة,الفرع العلوي للعانة,الوجه الخلفي للفخذ,,,A,ABCD,. يقع الخط الالوي السفلي على,أين يقع الخط الالوي السفلي؟,السطح الخارجي للحرقفة
16,Y1,Anatomy,Anatomy,الأمامية,الخلفية,العلوية,الوحشية,,,B,ABCD,الحافة من الفرع التي تشكل زاوية الفك السفلي:,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الخلفية
17,Y2,Anatomy,Anatomy,العضله الظنبوبيه الخلفية,الرأس المستقيم للمستقيمه الفخذية,العضله الخياطية,العضلة المأبضيه,العضله الشظويه الطويله,,E,ABCDE,تتعصب بالعصب الشظوى السطحى,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضله الشظويه الطويله
19,Y2,Histology,Anatomy,الطبقة القاعدية من الانسجة الظهارية,الطبقة الشائكة من النسيج الظهاري المطبق,ظهارة المعدة,بين الخلايا العضلية السلية,,,B,ABCD,تشاهد الجسور بين الخلوية في:,أين تشاهد الجسور بين الخلوية؟,الطبقة الشائكة من النسيج الظهاري المطبق
21,Y1,Anatomy,Anatomy,الرباط العجزي الشوكي + الرباط الأربي,الرباط العجزي الشوكي العجزي الحدبي,الرباط الحدبي + الرباط الإربي,كل ما سبق خطأ,,,B,ABCD,تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الرباط العجزي الشوكي العجزي الحدبي
28,Y1,Anatomy,Anatomy,الغدد جارات الدرق,الغدة الدرقية,النخامي,الكظر,,,A,ABCD,يفرز هرمون ال PTH :,ما هو الهرمون الذي يفرز PTH؟,الغدد جارات الدرق
35,Y1,Anatomy,Anatomy,الثقبة المستعرضة,الثقبة بين الفقرية,الثقبة الفقرية,الثقبة المغذية,,,C,ABCD,يقع بين جسم الفقرة والقوس الفقرية :,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الثقبة الفقرية
49,Y1,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدارا الوحشي للأنف,الجدار الانسي للأنف,,,A,ABCD,تقع المنطقة الشمية في:,أين تقع المنطقة الشمية؟,سقف الأنف
50,Y1,Anatomy,Anatomy,الخط بين المدورين,العرف بين المدورين,الثلمة بين المدورة,لا شئ مما سبق,,,A,ABCD,يتصل المدورين بالأمام في الفخذ بـ:,ما الذي يتصل به المدورين بالأمام في الفخذ؟,الخط بين المدورين
51,Y1,Anatomy,Anatomy,على الوجه الخلفي.,على الوجه الانسي.,على الوجه الوحشي.,كل ماسبق خطأ.,,,A,ABCD,يوجد التلم الكعبري في جسم العضد:,أين يوجد التلم الكعبري في جسم العضد؟,على الوجه الخلفي.
54,Y2,Histology,Anatomy,ألياف ودية.,ألياف نظيرة ودية,ألياف حسية.,كل من a و .b,,,C,ABCD,تتشكل ضفيرة راشكوف في لب السن من :,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ألياف حسية.
55,Y1,Anatomy,Anatomy,القولون النازل والقولون السيني,القولون السيني والقناة الشرجية,القولون السيني والقولون المعترض,القولون المعترض والقولون السيني,,,B,ABCD,يقع المستقيم بين :,أين يقع المستقيم؟,القولون السيني والقناة الشرجية
56,Y1,Anatomy,Anatomy,دهنية,لعابية,عرقية,صباغية,,,A,ABCD,حديبات مونتغومري هي غدد,ما هي حديبات مونتغومري؟,دهنية
64,Y1,Anatomy,Anatomy,11,7,12,9,,,C,ABCD,المحرك لعضلات اللسان :,ما هو العصب المحرك لعضلات اللسان؟,12
73,Y1,Anatomy,Anatomy,العضدية,القطنية,الرقبية,العجزية,,,C,ABCD,العصب الحجابي فرع الضفيرة :,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الرقبية
74,Y1,Anatomy,Anatomy,قشرة الكظر,لب الكظر,الطحال,البنكرياس,,,B,ABCD,يفرز الأدرينالين من :,من أين يفرز الأدرينالين؟,لب الكظر
75,Y1,Anatomy,Anatomy,الوريدين الحرقفيين الخارجي والداخلي,الوريدين الحرقفيين المشتركين الأيمن والأيسر,الوريدين الفخذيين,كل ما سبق خطأ,,,B,ABCD,يتشكل الوريد الأجوف السفلي من إتحاد :,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريدين الحرقفيين المشتركين الأيمن والأيسر
78,Y2,Histology and Anatomy,Anatomy,الخارجية,المتوسطة,الداخلية والمتوسطة,الداخلية,,,B,ABCDE,في الشرايين الطبقة الأكثر تمايزاً وكثافة هي:,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,المتوسطة
79,Y1,Anatomy,Anatomy,التوتة,الكظر,الدرق,النخامى,,,C,ABCD,مما ينتج هرمون T4؟,مما ينتج هرمون T4؟,الدرق
85,Y2,Anatomy,Anatomy,الظنبوبي الأمامي,الظنبوبي الخلفي,الشظوية الطويلة,الشظوية القصيرة,قابضة الإبهام الطويلة,,B,ABCDE,العضلة التي ترتكز بشكل أساسي على العظم الزورقي:,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,الظنبوبي الخلفي
87,Y1,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدار الوحشي للأنف,الجدار الأنسى للأنف,,,A,ABCD,تقع المنطقة الشمية في :,أين تقع المنطقة الشمية؟,سقف الأنف
88,Y1,Anatomy,Anatomy,جبل العانة,الشفر الصغير,الشفر الكبير,دهليز الفرج,,,A,ABCD,الوسادة من النسيج الدهني فوق الارتفاق العاني تدعى,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,جبل العانة
98,Y1,Anatomy,Anatomy,الناحية المغبنية اليمنى,الناحية المغبنية اليسرى,الخثلية,لا شيء مما سبق,,,B,ABCD,يتوضع الكولون السيني في,أين يتوضع الكولون السيني؟,الناحية المغبنية اليسرى
