id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: العصب glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSWER: lunula,A,Correct
,أين يقع الخط الالوي السفلي؟,ANSWER: below the navel,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSWER: branch,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: muscles of the posterior compartment of the forearm,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,ANSWER: in the brain,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSWER: canalis inguinalis,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: الغدة parathyroid,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: hole,C,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: in the nasal cavity,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSWER: nerve,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,ANSWER: on the posterior surface,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSWER: العصب,C,Incorrect
,أين يقع المستقيم؟,ANSWER: portion,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,ANSWER: غدد sudoriferous,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: العصب hypoglossal,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: ضفيرة cervical,C,Correct
,من أين يفرز الأدرينالين؟,ANSWER: الغدد suprarenal,B,Correct
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSWER: veins of the lower body,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSWER: layer of muscle,B,Correct
,مما ينتج هرمون T4؟,ANSWER: الغدة thyroid,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSWER: عضلة deltoid,B,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: in the nasal cavity,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: كيس,A,Incorrect
,أين يتوضع الكولون السيني؟,ANSWER: on the left,B,Correct
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: processus clinoideus,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSWER: branches of the superficial peroneal nerve,B,Incorrect
