id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,keep,Reason ,Confidence 
1,Y2,عضلات الكم المدوره للكتف,Anatomy,Anatomy,هى ثلاث عضلات,كلها تدير العضد للخارج,وحدة منها ترتكز على الحديبية الصغرى,المدورة الكبيرة اهم واحده منها,,,C,ABCDE,no,indirect question,high
2,Y1,دراسة وظائف العضو ووظائف الاتصال:,Anatomy,Anatomy,التشريح الوصفي,التشريح السريري,التشريح الفيزيولوجي,التشريح الجهازي,,,C,ABCD,no,indirect question,high
3,Y2,مايلي صحيح عن مخاطية البوق عدا:,Histology,Anatomy,تبطن بظهارة بسيطة اسطوانية.,خلايا الظهارة المهدبة تضرب أهدابها باتجاه المبيض.,خلايا الظهارة المفرزة غير مهدبة.,الخاليا الوتدية cells peg تفرز غليكوبروتينات.,,,B,ABCD,no,"""ما عدا""",high
5,Y1,القناة الدافقة إختر الإجابة الخاطئة :,Anatomy,Anatomy,تقيس القناة الدافقة أقل من واحد سم,تتشكل من إتحاد البربخ مع قناة الحويصلة المنوية,تنقب السطح الخلفي للمثانة,تنفتح على الجزء الموثي من الإحليل,,,C,ABCD,no,choose the wrong answer ,high
6,Y2,ال تحتوي سيتوبلاسما جدر الشعيرات :,Histology,Anatomy,صهاريج من شبكة سيتوبالاسمية ناعمة.,متقدرات.,ريبوزوم.,معقد كولجي صغير.,,,A,ABCD,no,incorrect arabic,high
7,Y2,تقوم ال Chief Cell بإفراز :,Histology and Anatomy,Anatomy,Pepsinogen,Trypsinogen,Lipase,الأول والثالث,كل ما سبق صحيح,,D,ABCDE,no,all the above,high
8,Y1,قوس بيضاء عند حدود جسم الظفر مع جذره :,Anatomy,Anatomy,هليل الظفر,سرير الظفر,استارة الظفر,اللعوة,,,A,ABCD,no,all the above,high
9,Y1,. من فروع الشريان السباتي الباطن,Anatomy,Anatomy,Ophthalmic,الشريان المخيخي السفلي الامامي,الشريان المخيخي السفلي الخلفي,شوكي,,,A,ABCD,no,answer in english,high
10,Y1,. العظم الاضخم في هيكل القدم,Anatomy,Anatomy,Calcaneum,Navicular bone,Cuboid bone,Cuneiform bone,,,A,ABCD,no,answer in english,high
11,Y1,كل ما يلي من صفات الحالب,Anatomy,Anatomy,نهايته العلوية تشكل الحويضة,عضو داخل البريتوان,فيه ثلاثة تضيقات,طوله 25 سم,,,B,ABCD,no,indirect question,high
13,Y1,من جدران الفم ما عدا,Anatomy,Anatomy,يرزخ الحلق,الشدقان,الحنك,الشفتان,,,A,ABCD,no,"""ما عدا""",high
14,Y1,اختر الخاطئ :,Anatomy,Anatomy,للمخ ست طبقات,يقسم المخ الى باحات حسب الانتظام النسيجي,الباحات الأولية تعمل على تخزين الذاكرة المكتسبة,كل ما سبق صحيح,,,C,ABCD,no,choose the wrong answer,high
15,Y2,لا يمكن تمييز Internal Elastic Lamina بسهولة في :,Histology and Anatomy,Anatomy,Cerebral Artery,الأول والثالث,Elastic Artery,Muscular Artery,,,C,ABCDE,no,answer in english,high
17,Y2,تتعصب بالعصب الشظوى السطحى,Anatomy,Anatomy,العضله الظنبوبيه الخلفية,الرأس المستقيم للمستقيمه الفخذية,العضله الخياطية,العضلة المأبضيه,العضله الشظويه الطويله,,E,ABCDE,no,indirect question,high
18,Y1,كل ما يلي من أثلام الوجه الوحشي لنصف الكرة المخية ماعدا :,Anatomy,Anatomy,الثلم الحزامي,المركزي,الثلم الجداري القذالي,الثلم الوحشي,,,A,ABCD,no,"""ما عدا""",high
20,Y1,العضلات الوحشية في الساق عدا:,Anatomy,Anatomy,الشظوية الرابعة,الشظوية القصيرة,الشظوية الثالثة,الشظوية الطويلة,,,A,ABCD,no,"""ما عدا""",high
