id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: Glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSW: The lunula,A,Correct
,أين يقع الخط الالوي السفلي؟,ANSWER: Below the navel,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSW: The angle,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: Muscles of the anterior compartment,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,ANSWER: The brainstem,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSWER: Persistent,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: Parathyroid,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: The vertebral foramen,C,Correct
,أين تقع المنطقة الشمية؟,ANSWER: The olfactory region,A,Incorrect
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSWER: Fascia,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,ANSW: On the posterior surface,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSWER: Fibers,C,Incorrect
,أين يقع المستقيم؟,ANSWER: Between the sigmoid colon and the anal canal,B,Correct
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,ANSW: Glands,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: Hypoglossal,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: Brachial plexus,C,Incorrect
,من أين يفرز الأدرينالين؟,ANSWER: Adrenal glands,B,Correct
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSWER: Common,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSW: Tunica,B,Incorrect
,مما ينتج هرمون T4؟,ANSWER: Thyroid,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSWER: Musculus,B,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: The olfactory region,A,Incorrect
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: Fat pad,A,Incorrect
,أين يتوضع الكولون السيني؟,ANSWER: The left lower quadrant,B,Correct
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: The frontal sinus,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSWER: Nerve,B,Incorrect
,أين يمر عصب الفك العلوي؟,ANSWER: Foramen,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ANSWER: The fovea,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ANSW: Lacrimal,A,Correct
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSWER: The aortic arch,A,Correct
,ما طول الأسهر؟,ANSWER: 10 cm,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ANSWER: The dural venous sin,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: Prepuce,C,Correct
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ANSWER: The fovea,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,ANSWER: Between the left and right ventric,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: Stabilizes the knee,c,Correct
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ANSWER: V,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,ANSW,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,ANSWER: Brainstem,C,Correct
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ANSWER: Tonsils,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ANSWER: Surface,C,Incorrect
,ما هو العصب القحفي الثاني؟,ANSWER: Optic,A,Correct
,ما وظيفة العضلة تحت الكتفية؟,ANSWER: Abduction,b,Incorrect
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,ANSWER: Abnormally,C,Incorrect
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,ANSWER: Dura,A,Correct
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,ANSW: White matter,A,Correct
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,ANSWER: The glans,B,Correct
,ما هي أكبر غدد الجسم؟,ANSWER: Liver,A,Correct
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,ANSWER: Segmental,A,Incorrect
,بماذا ينتهي الشريان الوجهي؟,ANSWER: The angular vein,C,Incorrect
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,ANSWER: Predentin,B,Incorrect
,أين تقع فوهة مصب الجيب الأكليلي؟,ANSW,C,Incorrect
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,ANSWER: The zygomatic process,B,Incorrect
,أي عصب هو المحرك لعضلات اللسان؟,ANSWER: Hypoglossal,C,Correct
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,ANSWER: the,C,Incorrect
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,ANSWER: Hormones,B,Correct
,ما هي الزاوية بين قبضة وجسم القص؟,ANSWER: 90 degrees,A,Incorrect
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,ANSWER: Foramen rot,C,Correct
,ما الذي يحدد المنصف العلوي جانبياً؟,ANSWER: The temporalis,A,Incorrect
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,ANSWER: Nasal cavity,B,Incorrect
,أين ترتكز العضلة العريضة الظهرية؟,ANSWER: Fascia,A,Incorrect
,ما هو القولون الذي يمتد بشكل أفقي؟,ANSWER: Colon,C,Incorrect
,كم عدد القطع العصعصية في النخاع الشوكي؟,ANSWER: 33,D,Incorrect
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,ANSW: Detrusor,B,Incorrect
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,ANSW: Merkel,B,Correct
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,ANSW: epiglottic,B,Incorrect
,أين لا توجد الغدد الزهمية؟,ANSWER: The lips,A,Incorrect
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,ANSWER: The facial nerve,A,Correct
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,ANSWER: The mastoid notch,A,Incorrect
,ما هو الاسم الآخر لفرع الفك السفلي؟,ANSWER: Mandibular,C,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: Stabilizes the knee,C,Correct
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,ANSW: The stylomastoid foramen,A,Correct
,ماذا تفرز خلايا بيتا في البنكرياس؟,ANSWER: Insulin,B,Correct
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,ANSW: Tam,A,Incorrect
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ANSWER: The body,C,Incorrect
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,ANSW: Tars,C,Incorrect
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,ANSW: Rectus capitis posterior,A,Correct
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,ANSWER: The nasopharynx,C,Incorrect
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,ANSWER: Tunica vaginal,C,Incorrect
,أين يقع موقع الغدة الدرقية؟,ANSWER: Anterior neck,A,Correct
,أين تتوضع مستقبلات الشم؟,ANSWER: The olfactory epithelium,C,Correct
,ما هي طبيعة هرمونات الغدة النخامية؟,ANSWER: Protein,B,Correct
,ما هو مفصل المرفق؟,ANSWER: Joint,A,Incorrect
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,ANSWER: The greater trochanter,A,Incorrect
,أين يتوضع الأبهر النازل البطني؟,ANSWER: Anterior to the vertebral column,A,Correct
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,ANSWER: The peritoneum,A,Incorrect
,ما هي عضلة الشهيق الرئيسية؟,ANSWER: Diaphrag,A,Correct
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,"ANSWER: Fas, Fat, Ren,",C,Incorrect
,أين تشاهد التلمة الكعبرية للزند؟,ANSWER: On the medial surface,C,Incorrect
,أين تتوضع الثقبة العوراء في اللسان؟,ANSWER: Behind the foramen,A,Incorrect
,ما هو أطول أجزاء الأنبوب الهضمي؟,ANSW: Small Intest,A,Correct
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,"ANSWER: Trapezius, Latissimus Dorsi, Deltoid",A,Incorrect
,ما هي الطبقة المبطنة للتامور الليفي؟,ANSWER: Mesothelium,B,Incorrect
,ما هو أطول أجزاء أنبوب الهضم؟,ANSW: Small Intest,B,Correct
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,ANSWER: Insulin,B,Correct
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,ANSW: Ligament,C,Incorrect
,ما هو لون لب الكظر؟,ANSWER: Yellow,A,Correct
,ما الذي يشكل معظم الكتلة العضلية للسان؟,ANSWER: Muscles,A,Correct
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,ANSW: Fungiform,A,Incorrect
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,ANSWER: Longus,B,Incorrect
,ما هو أضيق قسم في جذع الدماغ؟,ANSW: The medulla,C,Incorrect
,أين يقع التلفيف خلف المركزي؟,ANSWER: Postcentral gyrus,B,Incorrect
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,ANSW: Area 4,A,Incorrect
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,ANSW: Fungiform,A,Incorrect
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,ANSWER: Intrinsic back muscles,A,Incorrect
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,ANSWER: The brainstem,A,Incorrect
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,ANSWER: Vitreous,B,Correct
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,ANSWER: Nucleus,B,Incorrect
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,ANSW: Muscles of facial expression,B,Correct
,ما هو مصدر التروية الرئيسية للمعدة؟,ANSWER: Artery,B,Incorrect
,ما هي أطول أجزاء أنبوب الهضم؟,ANSW: Small Intest,B,Correct
,من أين ينشأ الجذع الرئوي؟,ANSWER: The base of the right ventricle,A,Correct
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,ANSWER: Reflex of cremaster,B,Correct
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,ANSWER: The humerus,A,Incorrect
,ما هي المنطقة المتوسطة من نواحي البطن؟,ANSWER: The umbilical,C,Incorrect
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,ANSWER: The,B,Incorrect
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,ANSWER: Fascia,A,Incorrect
,ماذا يحفز ACTH إفرازه؟,ANSWER: CRH,B,Correct
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,ANSW,A,Incorrect
,مما يتكون الزنار الحوضي؟,ANSWER: Ligaments,A,Incorrect
,أين تقع الباحة الحركية الأولية؟,ANSWER: Area 4,B,Correct
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,ANSWER: Rectus femoris,A,Correct
,أين تتوضع الغدة تحت الطية اللسانية؟,ANSWER: Under the tongue,C,Incorrect
,أين يتوضع السرج التركي؟,ANSWER: Sella turcica,B,Incorrect
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,ANSWER: The,C,Incorrect
,كم عدد شدف النخاع الشوكي؟,ANSW,A,Incorrect
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,ANSWER: Lateral cricoarytenoid,B,Incorrect
,ما يُدعى القسم العلوي المتسع من الحالب؟,ANSW,A,Incorrect
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,ANSWER: The suprascapular,B,Incorrect
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,ANSWER: Artery,A,Incorrect
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,ANSWER: Artery,B,Incorrect
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,ANSWER: Vertebral artery,A,Incorrect
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,ANSWER: Skin,B,Correct
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,ANSWER: Diencephalon,A,Incorrect
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,ANSWER: The fundus,C,Incorrect
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,ANSWER: Vertebral artery,A,Correct
,أين يقع الثرب الصغير؟,ANSW,A,Incorrect
,أين تقع صفيحة الأكيمات؟,ANSWER: On the tongue,A,Incorrect
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,ANSW: Area 4,A,Incorrect
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,ANSW: White matter,A,Correct
,ما نوع المفصل الحلقي الطرجهالي؟,ANSWER: Synarthrosis,B,Incorrect
,ما هو رقم العصب الحركي للعضلات الماضغة؟,ANSWER: V,B,Incorrect
,كم عدد فصيصات الخصية؟,ANSW: 250,A,Incorrect
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,ANSWER: The styloid process,A,Incorrect
,أين يتوضع الثلم المهمازي؟,ANSWER: On the lateral surface,A,Incorrect
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,ANSWER: Z lines,D,Correct
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,ANSWER: Thyroid hormone,C,Incorrect
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,ANSWER: Macrophages,A,Correct
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,ANSWER: The facial artery,C,Incorrect
,أين يتوضع الثلم المهمازي؟,ANSWER: On the lateral surface,A,Incorrect
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,ANSWER: Vagus,C,Correct
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,ANSWER: Muscle,E,Incorrect
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,ANSWER: Endoscopy,C,Incorrect
,ما هي العظام التي يتشكل منها مفصل الركبة؟,"ANSW: Femur, Tibia, Patella",A,Correct
,ما هي الحركة الخاصة بالساعد؟,ANSWER: Pronation,A,Incorrect
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,ANSWER: The gall,B,Incorrect
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,ANSWER: Frenulum,A,Correct
,ما هي الانطباعات التي توجد على العظم الجداري؟,ANSWER: Impressions,B,Incorrect
,ما هو العصب الحركي للعضلات الماضغة؟,ANSWER: Nerve V,B,Correct
,أين يقع الشق الحجاجي السفلي؟,ANSWER: Between the inferior rectus and lateral rect,A,Incorrect
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,ANSWER: Larynx,B,Correct
,ما هي حركة الركبة للخلف بمستوى سهمي؟,ANSWER: Flexion,A,Incorrect
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,ANSW: The facial nerve,A,Correct
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,ANSWER: The floor of the anterior cranial fossa,C,Correct
,ما هو لون لب الكظر؟,ANSWER: Yellow,A,Correct
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,ANSWER: The frontal,B,Incorrect
,ما هو لون لب الكظر؟,ANSWER: Yellow,A,Correct
,ما هي اللفافة التي تحيط بجسم القضيب؟,ANSWER: Fascia of Buck,A,Correct
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,ANSWER: Tibialis anterior,C,Incorrect
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,ANSWER: Hepatocytes,B,Incorrect
