Question Number,Question,Option A,Option B,Option C,Option D,Option E,Option F,Correct Answer,Level,Medical Specialty,Group,umbrella_specialty,,,,,,,,,,,
43,من وظائف القلب كل ما يلي عدا :,يتقلص بشكل ايقاعي,يضخ الدم في جهاز الدوران,يساعد في ضخ اللمف,يفرز العامل الطازج للصوديوم,,,B,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
41,كل ما يلى صحيح حول المفاصل عدا :,من المفاصل الكروية المفصل الأخرمي الترقوي.,من المفاصل البكرية تفصل العضد مع الزند.,من المفاصل الثقمية (الاهليلجية) مفصل الرسغ.,من المفاصل المسطحة المفصل الأخرمي الترقوي.,,,A,Y1,Anatomy,ABCD,Anatomy,,41,كل ما يلى صحيح حول المفاصل عدا :,من المفاصل المسطحة المفصل الأخرمي الترقوي.,من المفاصل البكرية تفصل العضد مع الزند.,من المفاصل الثقمية (الاهليلجية) مفصل الرسغ.,من المفاصل الكروية المفصل الأخرمي الترقوي.,,✅ OK,A,Y1
56,من أقسام العظم الصدغي ما عدا:,الجسم,الخشاء,الصدفة,الصخرة,,,A,Y1,Anatomy,ABCD,Anatomy,,56,من أقسام العظم الصدغي ما عدا:,الصخرة,الخشاء,الصدفة,الجسم,,✅ OK,A,Y1
161,تقع الثقبة المدورة في العظم :,.Frontal,Sphenoid .,Temporal .,Occipital .,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
806,كل ما يلي صحيح عن نوى العصب الوجهي عدا:,نواة تتواسط حاسة الذوق .,نواة لإفراز الدمع.,نواة للتوازن.,نواة حركية.,,,C,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
770,مصطلح الشريان السباتي الباطن :,.INTERNAL CAROTID,.BASILAR,EXTERNAL CAROTID .,.VERTEBRAL,,,A,Y1,Anatomy,ABCD,Anatomy,,770,مصطلح الشريان السباتي الباطن :,.VERTEBRAL,.BASILAR,EXTERNAL CAROTID .,.INTERNAL CAROTID,,✅ OK,A,Y1
182,الشرايين النخامية السفلية hypophyseal arterisinferior: مايلي تروي,نخامى غدية,نخامى عصبية.,سويقة.,بارزة ناصفة,,,B,Y2,Histology,ABCD,Anatomy,,,,,,,,,,,
33,Leukocytes,تعتبر أهم دفاعات الجسم ضد الإنتان.,لها دور هام في عملية التخثر,تشكل حوالي 1% من حجم الدم,الأول والثاني,الأول والثالث.,,E,Y2,Histology,ABCDE,Anatomy,,,,,,,,,,,
31,تغرز شبكة الشعيرات الدموية فيما يلي عدا :,الكبد,القلب,العضلات الملساء,الكلية,,,C,Y2,Histology and Anatomy,ABCDE,Anatomy,,,,,,,,,,,
484,طول البوق:,16 سم,30 سم,15 سم,50 سم,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
113,من ميزات الفقرة الرقبية الأولى ما عدا:,جسم الفقرة صغير,تتمفصل مع لقمتي القذالي,تتمفصل مع الفقرة الرققبية الثانية,تحوي ثقبة مستعرضة,,,A,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
489,ما يلي صحيح بالنسبة للمبيض ما عدا:,لونه عند الولادة وردي,لونه عند البلوغ أبيض,لونه عند اليأس أبيض,ترويته من الشريان المبيضي,,,B,Y1,Anatomy,ABCD,Anatomy,,,,,,,,,,,
