id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSWER: lunula,A,Correct
,أين يقع الخط الالوي السفلي؟,ANSWER: The inferior vena cava,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSWER: The angle of the mandible,B,Correct
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: muscles of the posterior compartment,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,ANSWER: The myelin,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSWER: The ligament,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: The parathyroid,A,Correct
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: Foramen,C,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: The roof of the nasal cavity,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSWER:,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,ANSWER: posterior,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSWER: The cells,C,Incorrect
,أين يقع المستقيم؟,ANSWER: The Pelvic,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,A,A,Correct
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: The hypoglossal nerve,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: The vagus,C,Incorrect
,من أين يفرز الأدرينالين؟,ANSWER: The adrenal medulla,B,Correct
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSWER: The inferior vena cava,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSWER: Tunica media,B,Correct
,مما ينتج هرمون T4؟,ANSWER: The thyroid,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSWER: muscle palmaris longus,B,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: The roof of the nasal cavity,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: The fat pad,A,Incorrect
,أين يتوضع الكولون السيني؟,ANSWER: The left iliac fossa,B,Correct
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: The Limbus,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSWER: The infraorbital nerve,B,Incorrect
,أين يمر عصب الفك العلوي؟,ANSWER: The infraorbital canal,A,Correct
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ANSWER: The fovea,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ANSWER: The lacrimal,A,Correct
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSWER: the aortic arch,A,Correct
,ما طول الأسهر؟,ANSWER: 25 to 30 cm,A,Correct
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ANSWER: The cavernous sinus,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: The foreskin,C,Correct
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ANSWER:,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,ANSWER: The linea aspera,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: limits anterior translation,c,Correct
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ANSWER: The V,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,ANSWER: bronchi,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,ANSWER: The brainstem,C,Correct
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ANSWER: The,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ANSWER: The surface,C,Incorrect
,ما هو العصب القحفي الثاني؟,ANSWER: The optic nerve,A,Correct
,ما وظيفة العضلة تحت الكتفية؟,ANSWER: External rotation,b,Incorrect
