id,input,prediction,ground_truth
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSW: The glossopharyngeal,B
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSW: The white,A
,أين يقع الخط الالوي السفلي؟,ANSW: The lower,A
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSW: The angle,B
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSW: The extensor,E
,أين تشاهد الجسور بين الخلوية؟,ANSW:,B
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSW,B
,ما هو الهرمون الذي يفرز PTH؟,ANSW: Parathyroid,A
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSW,C
,أين تقع المنطقة الشمية؟,ANSW: The roof,A
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSW: The,A
,أين يوجد التلم الكعبري في جسم العضد؟,ANSW: On the posterior,A
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSW,C
,أين يقع المستقيم؟,ANSW: The final,B
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,ANSW,A
,ما هو العصب المحرك لعضلات اللسان؟,ANSW: The hypoglossal,C
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: The plexus,C
,من أين يفرز الأدرينالين؟,ANSW: Adrenal,B
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSW: The common,B
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSW: Tunica,B
,مما ينتج هرمون T4؟,ANSW: The,C
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSW: Musculus,B
,أين تقع المنطقة الشمية؟,ANSW: The roof,A
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: Fat pad,A
,أين يتوضع الكولون السيني؟,ANSWER: The left,B
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: The end,B
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSW: The branches,B
,أين يمر عصب الفك العلوي؟,ANSW: Foramen,A
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ANSW: The fovea,C
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ANSW: The lacrimal,A
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSW: The arch,A
,ما طول الأسهر؟,ANSWER: 25,A
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ANSW,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSW: Prepuce,C
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ANSW: The fossa,A
,أين يتوضع الدرز الأكليلي؟,ANSW: The junction,A
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSW: Stabilizes the knee,c
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ANSW: V,C
,إلى أي قصبات تتفرع القصبات الفصية؟,ANSW,C
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,ANSW: Brainstem,C
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ANSW: Tons,C
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ANSW: The surface,C
,ما هو العصب القحفي الثاني؟,ANSW: The optic,A
,ما وظيفة العضلة تحت الكتفية؟,ANSWER: Abduction,b
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,ANSWER: Abnormal implantation,C
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,ANSW: Pia,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,ANSW: Fibers,A
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,ANSW: The glans,B
,ما هي أكبر غدد الجسم؟,ANSW: Liver,A
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,ANSW,A
,بماذا ينتهي الشريان الوجهي؟,ANSW,C
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,ANSW:,B
,أين تقع فوهة مصب الجيب الأكليلي؟,ANSW: The,C
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,ANSWER: The fovea,B
,أي عصب هو المحرك لعضلات اللسان؟,ANSW: The hypoglossal,C
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,ANSW: The,C
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,ANSW: Horm,B
,ما هي الزاوية بين قبضة وجسم القص؟,ANSWER: 90 degrees,A
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,ANSW: Foramen,C
,ما الذي يحدد المنصف العلوي جانبياً؟,ANSWER: The lateral pterygoid,A
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,ANSW: Nas,B
,أين ترتكز العضلة العريضة الظهرية؟,ANSWER: The scap,A
,ما هو القولون الذي يمتد بشكل أفقي؟,ANSW,C
,كم عدد القطع العصعصية في النخاع الشوكي؟,ANSW: 8,D
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,ANSW,B
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,ANSW: Merkel,B
