id,input,prediction,ground_truth
1,"عضلات الكم المدوره للكتف

الاختيارات:
A. هى ثلاث عضلات
B. كلها تدير العضد للخارج
C. وحدة منها ترتكز على الحديبية الصغرى
D. المدورة الكبيرة اهم واحده منها",A,C
2,"دراسة وظائف العضو ووظائف الاتصال:

الاختيارات:
A. التشريح الوصفي
B. التشريح السريري
C. التشريح الفيزيولوجي
D. التشريح الجهازي",C,C
3,"مايلي صحيح عن مخاطية البوق عدا:

الاختيارات:
A. تبطن بظهارة بسيطة اسطوانية.
B. خلايا الظهارة المهدبة تضرب أهدابها باتجاه المبيض.
C. خلايا الظهارة المفرزة غير مهدبة.
D. الخاليا الوتدية cells peg تفرز غليكوبروتينات.",B,B
4,"عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :

الاختيارات:
A. السابع
B. التاسع
C. العاشر
D. الخامس",B,B
5,"القناة الدافقة إختر الإجابة الخاطئة :

الاختيارات:
A. تقيس القناة الدافقة أقل من واحد سم
B. تتشكل من إتحاد البربخ مع قناة الحويصلة المنوية
C. تنقب السطح الخلفي للمثانة
D. تنفتح على الجزء الموثي من الإحليل",A,C
6,"ال تحتوي سيتوبلاسما جدر الشعيرات :

الاختيارات:
A. صهاريج من شبكة سيتوبالاسمية ناعمة.
B. متقدرات.
C. ريبوزوم.
D. معقد كولجي صغير.",A,A
7,"تقوم ال Chief Cell بإفراز :

الاختيارات:
A. Pepsinogen
B. Trypsinogen
C. Lipase
D. الأول والثالث
E. كل ما سبق صحيح",A,D
8,"قوس بيضاء عند حدود جسم الظفر مع جذره :

الاختيارات:
A. هليل الظفر
B. سرير الظفر
C. استارة الظفر
D. اللعوة",C,A
9,". من فروع الشريان السباتي الباطن

الاختيارات:
A. Ophthalmic
B. الشريان المخيخي السفلي الامامي
C. الشريان المخيخي السفلي الخلفي
D. شوكي",B,A
10,". العظم الاضخم في هيكل القدم

الاختيارات:
A. Calcaneum
B. Navicular bone
C. Cuboid bone
D. Cuneiform bone",A,A
11,"كل ما يلي من صفات الحالب

الاختيارات:
A. نهايته العلوية تشكل الحويضة
B. عضو داخل البريتوان
C. فيه ثلاثة تضيقات
D. طوله 25 سم",A,B
12,". يقع الخط الالوي السفلي على

الاختيارات:
A. السطح الخارجي للحرقفة
B. الوجه الداخلي للحرقفة
C. الفرع العلوي للعانة
D. الوجه الخلفي للفخذ",B,A
13,"من جدران الفم ما عدا

الاختيارات:
A. يرزخ الحلق
B. الشدقان
C. الحنك
D. الشفتان",D,A
14,"اختر الخاطئ :

الاختيارات:
A. للمخ ست طبقات
B. يقسم المخ الى باحات حسب الانتظام النسيجي
C. الباحات الأولية تعمل على تخزين الذاكرة المكتسبة
D. كل ما سبق صحيح",C,C
15,"لا يمكن تمييز Internal Elastic Lamina بسهولة في :

الاختيارات:
A. Cerebral Artery
B. الأول والثالث
C. Elastic Artery
D. Muscular Artery",D,C
16,"الحافة من الفرع التي تشكل زاوية الفك السفلي:

الاختيارات:
A. الأمامية
B. الخلفية
C. العلوية
D. الوحشية",B,B
17,"تتعصب بالعصب الشظوى السطحى

الاختيارات:
A. العضله الظنبوبيه الخلفية
B. الرأس المستقيم للمستقيمه الفخذية
C. العضله الخياطية
D. العضلة المأبضيه
E. العضله الشظويه الطويله",E,E
18,"كل ما يلي من أثلام الوجه الوحشي لنصف الكرة المخية ماعدا :

الاختيارات:
A. الثلم الحزامي
B. المركزي
C. الثلم الجداري القذالي
D. الثلم الوحشي",C,A
19,"تشاهد الجسور بين الخلوية في:

الاختيارات:
A. الطبقة القاعدية من الانسجة الظهارية
B. الطبقة الشائكة من النسيج الظهاري المطبق
C. ظهارة المعدة
D. بين الخلايا العضلية السلية",A,B
20,"العضلات الوحشية في الساق عدا:

الاختيارات:
A. الشظوية الرابعة
B. الشظوية القصيرة
C. الشظوية الثالثة
D. الشظوية الطويلة",B,A
21,"تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة

الاختيارات:
A. الرباط العجزي الشوكي + الرباط الأربي
B. الرباط العجزي الشوكي العجزي الحدبي
C. الرباط الحدبي + الرباط الإربي
D. كل ما سبق خطأ",A,B
22,"في وضع الراحة (النظر الى جسم بعيد(:

الاختيارات:
A. ترتخي zonule fibers
B. تتقلص العضلة الهدبية.
C. يطبق الجسم الهدبي شدة على ألياف النطيقة وتتسطح العدسة.
D. كل ما سبق صحيح.",D,C
