id,input,prediction,ground_truth
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,الجلوفين,B
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,الخط الأبيض,A
,أين يقع الخط الالوي السفلي؟,المنطقة تحت الفك,A
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الفرع,B
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضلات الطويلة,E
,أين تشاهد الجسور بين الخلوية؟,الطبقة البازال,B
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الرباط العاني,B
,ما هو الهرمون الذي يفرز PTH؟,الباراثورم,A
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الفتحة الفقرية,C
,أين تقع المنطقة الشمية؟,الجزء العلوي من الأنف,A
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,العضلة الساق,A
,أين يوجد التلم الكعبري في جسم العضد؟,الخلفية,A
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,الطبقة الداخلية,C
,أين يقع المستقيم؟,الحوض,B
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,مخاري,A
,ما هو العصب المحرك لعضلات اللسان؟,الهيوجلوس,C
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الضفيرة الوعائية,C
,من أين يفرز الأدرينالين؟,الغدة الكظر,B
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريد الشرياني,B
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,الوسط,B
,مما ينتج هرمون T4؟,الغدة الدرقية,C
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,العضلة الكعبرية,B
,أين تقع المنطقة الشمية؟,الجزء العلوي من الأنف,A
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,الوسادة الدهنية,A
,أين يتوضع الكولون السيني؟,اليس,B
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,الجدار الأمامي,B
,ما هي الفروع الانتهائية للسبات الظاهر؟,الفرع اللسان,B
,أين يمر عصب الفك العلوي؟,الفتق,A
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,الثقب الكعبي,C
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الجمجمة,A
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,الأبهر,A
,ما طول الأسهر؟,10-12 سم,A
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,الفتحة السحية,C
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الغلف,C
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,العضلة الحنك,A
,أين يتوضع الدرز الأكليلي؟,الدرز القمي,A
,ماذا يفعل الرباط المتصالب الأمامي؟,تثبيت المفصل,c
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,الثالث,C
,إلى أي قصبات تتفرع القصبات الفصية؟,القصبات الفرعية,C
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,الدماغ stem,C
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,"البلعوم الفموي
البلعوم الفموي
البلعوم الفموي
البلعوم الفم
البلعوم
البلعوم
البلعom
البل
الbl
الb
a
b
c
d
e
f
g
h
i
j
k
l
m
n
o
p
q
r
s
t
u
v
w
x
y
z
a
b
c
d
e
f
g
h
i
j
k",C
,على أي من وجوه الكبد يوجد مسكن المرارة؟,السطح السفير,C
,ما هو العصب القحفي الثاني؟,العصب البصال,A
,ما وظيفة العضلة تحت الكتفية؟,استقرار الكتف,b
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,الحواف,C
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,الطبقة الداخلية,A
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,الجهاز الحسي,A
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,الجسم الإسفنجي,B
,ما هي أكبر غدد الجسم؟,الكبد,A
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,الشرايين الكبيبة,A
,بماذا ينتهي الشريان الوجهي؟,الوجهي,C
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,اللب,B
