id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: Glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,A,A,Correct
,أين يقع الخط الالوي السفلي؟,A,A,Correct
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSWER: The condyle,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: Muscles of the posterior forearm,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,A,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,A,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,Parathyroid glands,A,Correct
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,A,C,Incorrect
,أين تقع المنطقة الشمية؟,A,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,A,A,Correct
,أين يوجد التلم الكعبري في جسم العضد؟,A,A,Correct
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,A,C,Incorrect
,أين يقع المستقيم؟,A,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,A,A,Correct
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: Hypoglossal,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,A: The vagus nerve,C,Incorrect
,من أين يفرز الأدرينالين؟,A: Adrenal medulla,B,Incorrect
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,A: Common iliac veins,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,A,B,Incorrect
,مما ينتج هرمون T4؟,A,C,Incorrect
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,الoblique,B,Incorrect
,أين تقع المنطقة الشمية؟,A,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: Pad of fat,A,Incorrect
,أين يتوضع الكولون السيني؟,A,B,Incorrect
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: The lesser wing,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,A. The facial nerve,B,Incorrect
,أين يمر عصب الفك العلوي؟,A: The foramen,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,A,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,A,A,Correct
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,Aortic arch,A,Correct
,ما طول الأسهر؟,A,A,Correct
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,A. The cavernous sinus,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: foreskin,C,Correct
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,A. The lingual frenulum,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,A,A,Correct
,ماذا يفعل الرباط المتصالب الأمامي؟,A,c,Incorrect
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,V,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,A,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,A. The brainstem,C,Incorrect
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,A,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,A,C,Incorrect
,ما هو العصب القحفي الثاني؟,II,A,Correct
,ما وظيفة العضلة تحت الكتفية؟,A,b,Incorrect
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,A,C,Incorrect
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,Arachnoid,A,Incorrect
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,A,A,Correct
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,A,B,Incorrect
,ما هي أكبر غدد الجسم؟,A: liver,A,Correct
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A. A.,A,Correct
,بماذا ينتهي الشريان الوجهي؟,A. facial artery,C,Incorrect
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,A: Predentin,B,Incorrect
,أين تقع فوهة مصب الجيب الأكليلي؟,A,C,Incorrect
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,ANSWER: The zygomatic process,B,Incorrect
,أي عصب هو المحرك لعضلات اللسان؟,ANSWER: Hypoglossal,C,Correct
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,ANSWER: the lingula,C,Correct
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,A,B,Incorrect
,ما هي الزاوية بين قبضة وجسم القص؟,100 degrees,A,Incorrect
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,A. Foramen,C,Incorrect
,ما الذي يحدد المنصف العلوي جانبياً؟,ANSWER: The lateral pterygoid plate,A,Incorrect
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,"A. Nasal vestibule
B. Nasal cavity",B,Incorrect
,أين ترتكز العضلة العريضة الظهرية؟,A,A,Correct
,ما هو القولون الذي يمتد بشكل أفقي؟,A,C,Incorrect
,كم عدد القطع العصعصية في النخاع الشوكي؟,13,D,Incorrect
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,A,B,Incorrect
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,ANSWER: Mechanoreceptors,B,Incorrect
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,ANSWER: epiglottic cartilage,B,Incorrect
,أين لا توجد الغدد الزهمية؟,A: Palms,A,Correct
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,ANSWER: Facial nerve,A,Correct
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,ANSWER: Jugular fossa,A,Incorrect
,ما هو الاسم الآخر لفرع الفك السفلي؟,A,C,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,A,C,Incorrect
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,A: the stylomastoid foramen,A,Correct
,ماذا تفرز خلايا بيتا في البنكرياس؟,A: insulin,B,Incorrect
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,Aneurysm,A,Incorrect
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ANSWER: Shaft,C,Incorrect
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,ANSWER: Navicular,C,Incorrect
,أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟,A,A,Correct
,ما هو التركيب الذي يتصل بالخلف مع البلعوم الفموي عبر برزخ الحلق؟,A,C,Incorrect
,ما هي البنية التي تغطي السطوح الأمامي والإنسي والوحشي للخصية؟,A: Tunica Vaginalis,C,Incorrect
,أين يقع موقع الغدة الدرقية؟,A,A,Correct
,أين تتوضع مستقبلات الشم؟,A,C,Incorrect
,ما هي طبيعة هرمونات الغدة النخامية؟,A,B,Incorrect
,ما هو مفصل المرفق؟,MULTI-AXIAL,A,Incorrect
,ما هو المكان الذي تنشأ منه العضلة المدورة الكبيرة بشكل أساسي؟,A,A,Correct
,أين يتوضع الأبهر النازل البطني؟,A,A,Correct
,ما الذي يجاور السطح العلوي لمثانة الرجل؟,A,A,Correct
,ما هي عضلة الشهيق الرئيسية؟,ال diaphragm,A,Correct
,ما هو ترتيب دخول التراكيب إلى سرة الكلية من الخلف للأمام؟,"A. Gerota's fascia
B. Perirenal fat
C. Renal fascia
D. Kidney

A",C,Incorrect
,أين تشاهد التلمة الكعبرية للزند؟,A,C,Incorrect
,أين تتوضع الثقبة العوراء في اللسان؟,A,A,Correct
,ما هو أطول أجزاء الأنبوب الهضمي؟,A: Small Intestine,A,Correct
,ما هو ترتيب العضلات من الأعلى للأسفل على الناحية الخلفية للألية؟,"A: levator ani, coccygeus",A,Incorrect
,ما هي الطبقة المبطنة للتامور الليفي؟,A,B,Incorrect
,ما هو أطول أجزاء أنبوب الهضم؟,A,B,Incorrect
,ما هو الهرمون الذي يسرع عملية تصنيع الأحماض الدهنية من الغلوكوز في الخلايا الشحمية؟,A,B,Incorrect
,ما هو الرباط الذي يربط الرحم بجدران الحوض الجانبية؟,ANSWER: Ligamentum cardinal,C,Correct
,ما هو لون لب الكظر؟,ANSWER: Yellow,A,Correct
,ما الذي يشكل معظم الكتلة العضلية للسان؟,ANSWER: Intrinsic muscles,A,Correct
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,A,A,Correct
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,A,B,Incorrect
,ما هو أضيق قسم في جذع الدماغ؟,A: medulla,C,Incorrect
,أين يقع التلفيف خلف المركزي؟,A,B,Incorrect
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,ANSWER: Postcentral gyrus,A,Correct
,ما هي أصغر الحليمات الذوقية وأكثرها عدداً؟,A,A,Correct
,ما هي المجموعة العضلية التي تنتمي إليها العضلة الحرقفية؟,A,A,Correct
,ما هو القسم المسؤول عن تنظيم الفعالية الحياتية الذاتية؟,ANSWER: The hypothalamus,A,Incorrect
,ما هي المادة شبيهة بالهلام التي تشغل أربعة أخماس المقلة؟,Aqueous humor,B,Incorrect
,أين تقع أجسام العصبونات التي تفرز الهرمون المضاد للإدرار ADH؟,A. The suprachiasmatic nucleus,B,Incorrect
,ما هي العضلات التي لها منشأ عظمي وترتكز على باطن جلد الوجه؟,A,B,Incorrect
,ما هو مصدر التروية الرئيسية للمعدة؟,ANSWER: Arteria celiac,B,Correct
,ما هي أطول أجزاء أنبوب الهضم؟,A,B,Incorrect
,من أين ينشأ الجذع الرئوي؟,ANSWER: Aorta,A,Incorrect
,ما هو اسم المنعكس الذي يحدث عند رفع الخصية والصفن للأعلى؟,Cremasteric,B,Correct
,ما هو العظم الذي يحتوي على تلم في وجهه السفلي لمرور وتر الشظية الطويلة؟,A,A,Correct
,ما هي المنطقة المتوسطة من نواحي البطن؟,ANSWER: hypogastric,C,Incorrect
,ما الذي يصل بين الأذينة اليسرى والبطين الأيسر؟,Aortic Valve,B,Incorrect
,ما الذي يعطي الرباط الحرقفي القطني منشأ له؟,A,A,Correct
,ماذا يحفز ACTH إفرازه؟,CRH,B,Correct
,ما هو أكثر أقسام الإحليل قابلية للتمدد وأعرضها؟,A,A,Correct
,مما يتكون الزنار الحوضي؟,"A. The pubic symphysis
B. The sacroiliac joints
C. The hip bones
D. The sacrum

A",A,Correct
,أين تقع الباحة الحركية الأولية؟,A6,B,Incorrect
,ما هي العضلة المسؤولة عن قبض الفخذ وقبض الساق؟,A,A,Correct
,أين تتوضع الغدة تحت الطية اللسانية؟,A,C,Incorrect
,أين يتوضع السرج التركي؟,A,B,Incorrect
,ما هو القسم مع الضلع الواقع بين الرأس والحدبية؟,Aneurysm,C,Incorrect
,كم عدد شدف النخاع الشوكي؟,A,A,Correct
,ما هي العضلة الموسعة المسؤولة عن فتح الحنجرة؟,الposterior cricoarytenoid,B,Correct
,ما يُدعى القسم العلوي المتسع من الحالب؟,A,A,Correct
,أين توجد نقطة التعظم البدئية في لوح الكتف؟,A,B,Incorrect
,ما هو الشريان الذي يستمر به الشريان تحت الترقوة؟,Aortic arch,A,Incorrect
,ما هو الشريان الذي يمكن الشعور بنبضه عند الحافة السفلية للفك السفلي أمام العضلة الماضغة؟,A. facial artery,B,Correct
,ما هو الشريان الذي يعتبر الشريان المخي الخلفي فرعاً منه؟,A. The vertebral artery,A,Incorrect
,ما هو أكبر أعضاء الجسم وزناً ومساحة؟,A: Skin,B,Correct
,ما الذي يشكله نصفا الكرة المخية مع الدماغ البيني؟,ANSWER: Diencephalon,A,Incorrect
,ما هو اسم الحافة اليسرى للمعدة التي تمتد من الفؤاد إلى البواب؟,الgreater curvature,C,Incorrect
,ما هو مصدر نشأة الشريان الشوكي الأمامي؟,A. A.,A,Correct
,أين يقع الثرب الصغير؟,A,A,Correct
,أين تقع صفيحة الأكيمات؟,A,A,Correct
,ما هي الباحة التي يحويها التلفيف خلف المركزي؟,ANSWER: Postcentral gyrus,A,Correct
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,A,A,Correct
,ما نوع المفصل الحلقي الطرجهالي؟,A: Synovial,B,Incorrect
,ما هو رقم العصب الحركي للعضلات الماضغة؟,V,B,Incorrect
,كم عدد فصيصات الخصية؟,250,A,Incorrect
,أين ترتكز العضلة الأخمعية الخلفية بوتر رقيق؟,A,A,Correct
,أين يتوضع الثلم المهمازي؟,A,A,Correct
,ما هي المنطقة التي يقع بينها القسيم العضلي (sarcomere)؟,A,D,Incorrect
,ما الذي تنتجه الخلايا المجاورة للجريبات في الدرق؟,A,C,Incorrect
,ما الذي تتحول إليه الوحيدات Monocytes بعد مغادرتها الدوران؟,ANSWER: Macrophages,A,Correct
,ما هو الشريان الذي ينتهي به الشريان الوجهي؟,A. facial artery,C,Incorrect
,أين يتوضع الثلم المهمازي؟,A,A,Correct
,ما هو العصب القحفي الذي يحمل التعصيب نظير الودي للقلب؟,X,C,Incorrect
,ما هي العضلة التي يمر العصب تحت اللساني في الناحية تحت الفك عميقاً منها؟,ANSWER: Hyoglossus,E,Correct
,تحت أي قسم من أقسام التشريح يندرج التنبيب الرغامي؟,A: Endoscopy,C,Incorrect
,ما هي العظام التي يتشكل منها مفصل الركبة؟,"ANSWER: Femur, Tibia, Patella",A,Correct
,ما هي الحركة الخاصة بالساعد؟,A,A,Correct
,ما الذي يحويه القسم الأمامي للثلم الأمامي الخلفي الأيسر للكبد؟,A. The left lobe,B,Incorrect
,ماذا تشكل الصفيحتان السفليتان للشفرين الصغيرين عند اتحادهما؟,A,A,Correct
,ما هي الانطباعات التي توجد على العظم الجداري؟,ANSWER: Impressions of the middle meningeal artery,B,Correct
,ما هو العصب الحركي للعضلات الماضغة؟,ANSWER: V,B,Incorrect
,أين يقع الشق الحجاجي السفلي؟,A,A,Correct
,ما هو العضو المتخصص بتشكيل الصوت والتدخل بالدور في الكلام؟,A: larynx,B,Incorrect
,ما هي حركة الركبة للخلف بمستوى سهمي؟,ANSWER: Flexion,A,Incorrect
,ما هو العصب القحفي المتواسط بإفراز الغدد الدمعية واللعابية؟,A: Facial,A,Correct
,أين تتوضع الصفيحة الأفقية للعظم الغربالي؟,A,C,Incorrect
,ما هو لون لب الكظر؟,ANSWER: Yellow,A,Correct
,ما هو وجه العظم الجبهي الذي ينتمي للقحف العصبي؟,ANSWER: Squamous,B,Incorrect
,ما هو لون لب الكظر؟,ANSWER: Yellow,A,Correct
,ما هي اللفافة التي تحيط بجسم القضيب؟,A: Buck's fascia,A,Correct
,ما هي العضلة التي تعد من العضلات الوحشية للساق وقد تعد من العضلات الأمامية للساق؟,ANSWER: Tibialis anterior,C,Incorrect
,ما هو أول ما يتأثر من الخلايا الكبدية في حالة الإصابة بنقص الأكسجة؟,ال hepatocytes,B,Incorrect
,ما هي العضلات الطويلة التي تربط الفقرات مع بعضها؟,A,B,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: foreskin,C,Correct
