ID,QUESTION,GROUND TRUTH,MODEL,PREDICTION,LABEL
7,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الرباط العجزي الشوكي العجزي الحدبي,allam_7b_inst_prev,الإجابة: اندماج الحنكين,
,,,aya_expanse_8b,انفتاح بينهما.,
,,,claude,الرباط العجزي الحدبي والرباط العجزي الشوكي,
,,,deepseek,الرباط السدادي,
,,,falcon,لسان اللسان,
,,,fanar,concise line.,
,,,gemini,الرباط العجزي الحدبي والرباط العجزي الشوكي,
,,,gemma3_27b_it,فتق الحجاب الحاجز,
,,,gpt52,الرباط العجزي الشوكي,
,,,jais,اندماج الثقبة العضدية الكبيرة,
,,,llama31_8b_inst,تطور الأنسجة العظمية.,
,,,llama33_70b_inst,الغشاء الحاجز,
,,,med42,عضلة اللسان الرافعة (Elevators of the tongue),
,,,medgemma,الثقبة العوراء,
,,,meditron,الثقبة العوراء.,
,,,mistral_7b,تقطيع اللسان الاسكيتي,
,,,mistral_small,الثلم الإسكي,
,,,silma,التحام,
26,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,الثلمة الغربالية,allam_7b_inst_prev,الإجابة: الجدار الحجاجي,
,,,aya_expanse_8b,السقف القحفي,
,,,claude,الثلمة الغربالية (Ethmoidal notch),
,,,deepseek,الجزء الأنفي للعظم الجبهي,
,,,falcon,القوس الجبهي,
,,,fanar,الحاجز الحجاجي,
,,,gemini,الشوكة الأنفية,
,,,gemma3_27b_it,التلفيف الفوقي,
,,,gpt52,الشوكة الأنفية الأمامية,
,,,jais,النتوءات الجناحية الكبيرة,
,,,llama31_8b_inst,الحاجز الجبهي,
,,,llama33_70b_inst,الجدار الأنفي,
,,,med42,سپتوم بين الحجاجي (Septum interorbitale),
,,,medgemma,العظم الجبهي,
,,,meditron,الجدار الخلفي للقسم الحجاجي.,
,,,mistral_7b,عضلة الفاصل الحجاجي,
,,,mistral_small,الحافة الجبهية,
,,,silma,سهم الجبهي,
28,أين يمر عصب الفك العلوي؟,الثقبة المدورة,allam_7b_inst_prev,الثقبة العوراء,
,,,aya_expanse_8b,عبر الفتحة المنتصفة للجمجمة,
,,,claude,الثقبة المدورة (Foramen rotundum),
,,,deepseek,الثقبة تحت الحجاج,
,,,falcon,في opening for maxillary nerve,
,,,fanar,العلوي؟,
,,,gemini,الثقبة المدورة,correct
,,,gemma3_27b_it,تجويف الفك العلوي,
,,,gpt52,في الثقبة المستديرة,
,,,jais,جيب الفك العلوي.,
,,,llama31_8b_inst,تحت الفك العلوي,
,,,llama33_70b_inst,عبر الثقبة الحلقية العلوية,
,,,med42,قناة الفك العلوي,
,,,medgemma,عبر الثقبة الفكية السفلية,
,,,meditron,عبر الثقبة العينية.,
,,,mistral_7b,عضلة الجنين العلوية,
,,,mistral_small,الفجوة الدوارية العليا,
,,,silma,من خلال الفك العلوي,
31,من أين ينشأ الشريان السباتي المشترك الأيسر؟,قوس الأبهر مباشرة,allam_7b_inst_prev,الأُذَين الأيسر,
,,,aya_expanse_8b,من الشريان السباتي الداخلي,
,,,claude,قوس الأبهر,
,,,deepseek,القوس الأبهري,
,,,falcon,من弓 الشريان الأورطي الأيسر,
,,,fanar,.,
,,,gemini,قوس الأبهر,
