id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
4723,ALLaM 7B,both_correct,1,1,A,A,A,"إذا كان x متغير عشوائي يتبع توزيع برنولي بالوسيط p فإن:
A) E(X)=P
B) E(X)=np
C) E(X)=npq
D) E(X)=2P","If x is a random variable following a Bernoulli distribution with the parameter p, then:
A) E(X) = P
B) E(X) = np
C) E(X) = npq
D) E(X) = 2P",
1670,ALLaM 7B,both_correct,1,1,B,B,B,"وظيفة المعززات بالوحدة المنظمة
A) بدء انتساخ الجينات
B) تزيد معدل الانتساخ
C) تخفض معدل الانتساخ
D) توقف معدل الانتساخ","Function of the regulatory unit enhancers:
A) Initiate gene transcription
B) Increase transcription rate
C) Decrease transcription rate
D) Stop transcription rate",
1143,ALLaM 7B,both_correct,1,1,E,E,E,"هذه الخلايا تسهل حركة و انتقال السائل الدماغي الشوكي إنها :
A) ال astrocytes
B) ال oligodendrocytes
C) ال microglia
D) . خلايا Schwann
E) ال ependymal cells","These cells facilitate the movement and transport of cerebrospinal fluid. They are:
A) astrocytes
B) oligodendrocytes
C) microglia
D) Schwann cells
E) ependymal cells",
869,ALLaM 7B,both_correct,1,1,C,C,C,"المنطقة الفاصلة بين الطيتين الصوتيين:
A) الدهليز
B) البطين
C) مشق المزمار
D) الجوف تحت المزماري","The region between the two vocal folds:
A) vestibule
B) ventricle
C) glottis fissure
D) subglottic cavity",
2638,ALLaM 7B,both_correct,1,1,B,B,B,"عندما يخضع ثنائي قطب كهربائي لحقل كهربائي فإنه يخضع لعزم يسعى لتوجيه ثنائي قطب ب :
A) عكس اتجاه الحقل
B) اتحاه الحقل
C) اتجاه بعامد الحقل
D) A,B","When an electric dipole is subjected to an electric field, it experiences a moment that attempts to orient the dipole in:
A) opposite direction of the field
B) direction of the field
C) direction perpendicular to the field
D) direction A, B",
2480,ALLaM 7B,both_correct,1,1,B,B,B,"عندما نمسح النهاية المدببة سطح المعدن في مجهر STM يتم التحكم في ارتفاعها للحفاظ على :
A) ثبات البعد
B) ثبات التيار النفقي
C) A.B
D) كل ما سبق خاطئ","When the pointed end of the probe is scanned across the metal surface in an STM microscope, its height is controlled to maintain:
A) Dimensional stability
B) Tunneling current stability
C) A.B
D) All of the above are false",
235,ALLaM 7B,both_correct,1,1,A,A,A,"لا توجد الغدد الزهمية في :
A) راحة اليد وأخمص القدم
B) حشفة القضيب
C) دهليز الفرج
D) B+C","Sebaceous glands are absent in:
A) Palms and soles
B) Glans of the penis
C) Vulvar vestibule
D) B+C",
1860,ALLaM 7B,both_correct,1,1,A,A,A,"يدل تقدير نسبة تنوع النمط الظاهري لخلة ما بسبب الاختلافات الجينية على :
A) قابلية الانتقال بالوراثة.
B) الاختطار التجريبي
C) معدل الانتشار
D) معدل الوقوع","Estimating the percentage of phenotypic variation in a trait due to genetic differences indicates:
A) Heritability
B) Experimental risk
C) Prevalence rate
D) Incidence rate",
831,ALLaM 7B,both_correct,1,1,C,C,C,"يتم تروية القولون الصاعد من الشريان :
A) الكلوي
B) المعدي الأيسر
C) المساريقي العلوي
D) المساريقي السفلي","The ascending colon is supplied by:
A) Renal artery
B) Left gastric artery
C) Superior mesenteric artery
D) Inferior mesenteric artery",
1617,ALLaM 7B,both_correct,1,1,D,D,D,"من الحموض الأمينية العطرية:
A) تيروزين
B) فنيل ألانين
C) تربتوفان
D) كل ما سبق صحيح","Which of the following are aromatic amino acids?
A) Tyrosine
B) Phenylalanine
C) Tryptophan
D) All of the above",
4891,ALLaM 7B,both_correct,1,1,D,D,D,"راجع مريض بعمر 70 سنة دون سوابق جراحية بألم -بطني متقطع منذ أسبوع وتوسع بطني وإقياء مستمر منذ يوم، بفحص المريض لا توجد فتوق مع تعداد 3000 كرية بيضاء / مم ما هي الخطوة التالية؟
A) مراقبة 24 ساعة أخرى.
B) إجراء تنظير هضمي علوي.
C) فتح بطن عاجل.
D) إجراء (CT) التصوير الطبقي المحوسب للبطن.
E) إجراء تحليل CEA","A 70-year-old patient with no prior surgical history presented with intermittent abdominal pain for one week, abdominal distension, and persistent vomiting for one day. On examination, no hernias were found, and the white blood cell count was 3000/mm³. What is the next step?

A) Observe for another 24 hours.

B) Perform upper endoscopy.

C) Perform emergency laparotomy.

D) Perform abdominal CT scan.

E) Perform CEA analysis.",
858,ALLaM 7B,both_correct,1,1,A,A,A,"في النسيج العظمي
A) العظم الأولى هو نفسه Woven bone
B) العظم الناضج هو نفسه Woven bone
C) العظم الأولي أكثر تمعدناً من الثانوي.
D) العظم الأولى فيه عدد أقل من osteocytes
E) كل ما سبق خطأ .","In bone tissue:
A) Primary bone is the same as woven bone.
B) Mature bone is the same as woven bone.
C) Primary bone is more mineralized than secondary bone.
D) Primary bone has fewer osteocytes.
E) All of the above are false.",
4265,ALLaM 7B,both_correct,1,1,D,D,D,"يزداد الضغط الوريدي المركزي في حال
A) ازدیاد قوة انقباض القلب.
B) انخفاض قوة انقباض القلب.
C) زيادة العود الوريدي.
D) كل من b و c.","Central venous pressure increases in the following cases:
A) Increased cardiac contractility.

B) Decreased cardiac contractility.

C) Increased venous return.

D) Both b and c.",
1551,ALLaM 7B,both_correct,1,1,D,D,D,"الحمض القطبي الأساسي (المشحون إيجابيا):
A) ألانين
B) غلوتامين
C) برولين
D) ليزين","Basic polar (positively charged) amino acid:
A) Alanine
B) Glutamine
C) Proline
D) Lysine",
4510,ALLaM 7B,both_correct,1,1,C,C,C,"بعض التعاريف الصحية:
A) سبب الولادة
B) سبب الهجرة
C) سبب الوفاة
D) كل ما سبق خطأ","Some health definitions:
A) Cause of birth
B) Cause of migration
C) Cause of death
D) All of the above are incorrect",
