id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: العصب البلعوم لاهث,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSWER: القوس نصف القمر,A,Correct
,أين يقع الخط الالوي السفلي؟,ANSWER: تحت الترقوة,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSWER: الفرع من Angle,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: عضلة دلوية,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,ANSWER: في المادة البيضاء,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSWER: ثقب سكوي هويروس,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: chief cells,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: قناة الفقرة,C,Correct
,أين تقع المنطقة الشمية؟,ANSWER: أعلى الأنف,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSWER: عظم العانة,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,ANSWER: posterior to the deltoid tuberosity,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSWER: بارادوكس,C,Incorrect
,أين يقع المستقيم؟,ANSWER: تحت العجان,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,ANSWER: غدد لاسعة,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: العصب تحت اللسان,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: ضفيرة رينولد,C,Incorrect
,من أين يفرز الأدرينالين؟,ANSWER: جُلْبَطَيسُ,B,Incorrect
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSWER: الوريد الشرياني المشترك,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSWER: الطبقة الماسكة,B,Incorrect
,مما ينتج هرمون T4؟,ANSWER: ثيروكسين,C,Incorrect
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSWER: عضلة الرافعة للليمف,B,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: أعلى الأنف,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: وسادة الارتفاق العاني,A,Incorrect
,أين يتوضع الكولون السيني؟,ANSWER: مركز البطن,B,Incorrect
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: قوس جبهي,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSWER: العصب الزاوقي و العصب اللسانى,B,Incorrect
,أين يمر عصب الفك العلوي؟,ANSWER: قناة رولاند,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ANSWER: الحافة الماسائية,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ANSWER: عظم الجبهي,A,Incorrect
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSWER: الجزء الصاعد من الأorta,A,Incorrect
,ما طول الأسهر؟,ANSWER: 25-31 مم,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ANSWER: الشق كرويد,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: القفازين,C,Incorrect
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ANSWER: التالاموس,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,ANSWER: بين الفصاصي,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: استقرار مفصل الطوربيد,c,Incorrect
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ANSWER: عصب المنزري,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,ANSWER: قصبات تحت الفصية,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,ANSWER: في الدماغ والميدولا,C,Incorrect
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ANSWER: اللوزتين الفمويتين,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ANSWER: وجه تحت الترف,C,Incorrect
,ما هو العصب القحفي الثاني؟,ANSWER: عصب البصري,A,Correct
,ما وظيفة العضلة تحت الكتفية؟,ANSWER: دوران braccio esterno,b,Incorrect
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,ANSWER: خارج cavum uteri,C,Incorrect
,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,ANSWER: الدراكوان,A,Incorrect
,ما هي الألياف التي تربط المراكز القشرية بالمحيط؟,ANSWER: الألياف piramidale,A,Correct
,ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟,ANSWER: سبونغيوسا,B,Incorrect
,ما هي أكبر غدد الجسم؟,ANSWER: غددة ثاريايد,A,Incorrect
,ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟,ANSWER: شريانيان دودكيان، شريان غوبري، شريان الأبهري، شريان الأديني، شريان الحايل,A,Incorrect
,بماذا ينتهي الشريان الوجهي؟,ANSWER: الشريان angular,C,Correct
,ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟,ANSWER: عازمة,B,Incorrect
,أين تقع فوهة مصب الجيب الأكليلي؟,ANSWER: تحت الترقوة اليمنى,C,Incorrect
,ما هي الزاوية الأمامية السفلية للعظم الجداري؟,ANSWER: زاويه كيبيد,B,Incorrect
,أي عصب هو المحرك لعضلات اللسان؟,ANSWER: العصب تحت اللسان,C,Correct
,ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟,ANSWER: اللسانية,C,Correct
,ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟,هرمون,B,Correct
,ما هي الزاوية بين قبضة وجسم القص؟,60 درجة,A,Incorrect
,من أين يخرج العصب الفكي العلوي من الجمجمة؟,ANSWER: الثقب الدوراني الخلفي,C,Incorrect
,ما الذي يحدد المنصف العلوي جانبياً؟,ANSWER: الأنياب,A,Incorrect
,ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟,ANSWER: ممرات الأنف,B,Incorrect
,أين ترتكز العضلة العريضة الظهرية؟,ANSWER: على الأونابوت,A,Incorrect
,ما هو القولون الذي يمتد بشكل أفقي؟,ANSWER: القولون المستعرض,C,Correct
,كم عدد القطع العصعصية في النخاع الشوكي؟,52,D,Incorrect
,ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟,ANSWER: عضلة دائرية,B,Incorrect
,ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟,ANSWER: خلايا ميسنير,B,Correct
,ما اسم الكرة الصغيرة فوق قمة الغضروف؟,ANSWER: الكرة الغضروفية,B,Incorrect
,أين لا توجد الغدد الزهمية؟,ANSWER: ألواح الراحة,A,Incorrect
,ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟,ANSWER: العصب المئوي,A,Correct
,ما هي الزاوية الخلفية السفلية في العظم الجداري؟,ANSWER: الزاوية الماسائية,A,Incorrect
,ما هو الاسم الآخر لفرع الفك السفلي؟,ANSWER: فرعي المساور,C,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: استقرار مفصل الطوربيد,C,Incorrect
,ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟,ANSWER: الثقبة الأُذُنِيَّةُ العَابِرَةُ,A,Incorrect
,ماذا تفرز خلايا بيتا في البنكرياس؟,ANSWER: إنسولين,B,Correct
,ما هو التامور الخارجي الذي لا يرتبط بالقلب؟,ANSWER: التامور الأهرمي,A,Incorrect
,ما هو القسم من الضلع الواقع بين الرأس والحديبة؟,ANSWER: الحافة,C,Incorrect
,مع أي عظم يتمفصل الظنبوب في الأسفل؟,ANSWER: عظم الطار,C,Correct
