id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,العصب اللساني,B,Incorrect
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,الهلالة البيضاء,A,Correct
,أين يقع الخط الالوي السفلي؟,الخط الالوي السفلي,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الفرع الصاعد,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,الجلد فوق المنطقة الراسبية,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,في الخلايا الظهارية,B,Correct
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الثلم الشلي,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,الباراثورمون,A,Correct
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الثقب الفقري,C,Correct
,أين تقع المنطقة الشمية؟,الثلث العلوي من الأنف,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,العانة,A,Correct
,أين يوجد التلم الكعبري في جسم العضد؟,الوجه الخلفي,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,اللييفات العصبية,C,Incorrect
,أين يقع المستقيم؟,الحوض,B,Correct
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,غدد عرقية متخصصة,A,Correct
,ما هو العصب المحرك لعضلات اللسان؟,العصب تحت اللسيني,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الضفيرة الجوفاء,C,Incorrect
,من أين يفرز الأدرينالين؟,الكلية,B,Incorrect
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريدان hollow,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,الطبقة المتوسطة,B,Correct
,مما ينتج هرمون T4؟,الدرقة,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,العضلة البلعومية العلياء,B,Incorrect
,أين تقع المنطقة الشمية؟,الثلث العلوي من الأنف,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,الوسادة الدهنية,A,Incorrect
,أين يتوضع الكولون السيني؟,اليسار من البطن,B,Correct
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,الحديبة الجبهية,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,الوجهي والبلعومي واللساني,B,Incorrect
,أين يمر عصب الفك العلوي؟,الفتحة الدوارسية,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,الثقب الوتدي,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الجمجمة,A,Incorrect
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,الثقب التاجي,A,Incorrect
,ما طول الأسهر؟,3-5 سم,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,الشق الطولي,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,القلفة,C,Correct
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,العضلة الحنكية,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,الدرز الأكليلي يتوضع في الجزء السفلي من البطن، حول السرة.,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,يحد من الدوران الداخلي والتمدد الداخلي,c,Incorrect
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,العصب الثلاثي التوائم,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,قصبات ثانوية,C,Correct
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,في جذع الدماغ,C,Correct
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,اللوزتين الحنكيتان,C,Correct
,على أي من وجوه الكبد يوجد مسكن المرارة؟,الوجه السفلي,C,Correct
,ما هو العصب القحفي الثاني؟,العصب البصري,A,Correct
,ما وظيفة العضلة تحت الكتفية؟,استقرار مفصل الكتف,b,Incorrect
,أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟,القرص الأبهي,C,Incorrect
