id,level,question,specialty,umbrella_specialty,opa,opb,opc,opd,ope,opf,answer,group,Reason ,Confidence 
4,Y1,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,Anatomy,Anatomy,السابع,التاسع,العاشر,الخامس,,,B,ABCD,correct question & answer,high
12,Y1,أين يقع الخط الألوي السفلي؟,Anatomy,Anatomy,السطح الخارجي للحرقفة,الوجه الداخلي للحرقفة,الفرع العلوي للعانة,الوجه الخلفي للفخذ,,,A,ABCD,correct question & answer,high
16,Y1,ما هي الحافة من فرع الفك السفلي التي تشكل زاوية الفك السفلي؟,Anatomy,Anatomy,الأمامية,الخلفية,العلوية,الوحشية,,,B,ABCD,correct question & answer,high
19,Y2,أين تُشاهد الجسور بين الخلوية؟,Histology,Anatomy,الطبقة القاعدية من الانسجة الظهارية,الطبقة الشائكة من النسيج الظهاري المطبق,ظهارة المعدة,بين الخلايا العضلية السلية,,,B,ABCD,correct question & answer,high
21,Y1,بماذا تتحول الثلمتان الإسكيتان إلى ثقبتين؟,Anatomy,Anatomy,الرباط العجزي الشوكي + الرباط الأربي,الرباط العجزي الشوكي العجزي الحدبي,الرباط الحدبي + الرباط الإربي,كل ما سبق خطأ,,,B,ABCD,correct question & answer,high
28,Y1,من أين يُفرز هرمون PTH؟,Anatomy,Anatomy,الغدد جارات الدرق,الغدة الدرقية,النخامي,الكظر,,,A,ABCD,correct question & answer,high
35,Y1,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,Anatomy,Anatomy,الثقبة المستعرضة,الثقبة بين الفقرية,الثقبة الفقرية,الثقبة المغذية,,,C,ABCD,correct question & answer,high
43,Y1,ما الهياكل التشريحية التي تتحدد بينها الثلمة البكرية؟,Anatomy,Anatomy,الناتئ الزجي + الناتئ المنقاري,الناتئ الزجي + الحفرة الحفرة البكرية,الحفرة البكرية + الناتئ المنقاري,كل ما سبق خطأ,,,A,ABCD,correct question & answer,high
44,Y1,أين يحفز PTH تحويل فيتامين D إلى كالسيفيرول؟,Anatomy,Anatomy,المعي,العظم,الكلية,لا شيء مما سبق,,,A,ABCD,correct question & answer,high
49,Y1,أين تقع المنطقة الشمية؟,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدارا الوحشي للأنف,الجدار الانسي للأنف,,,A,ABCD,correct question & answer,high
50,Y1,ما الذي يتصل به المدورين بالأمام في الفخذ؟,Anatomy,Anatomy,الخط بين المدورين,العرف بين المدورين,الثلمة بين المدورة,لا شئ مما سبق,,,A,ABCD,correct question & answer,high
51,Y1,أين يوجد التلم الكعبري في جسم العضد؟,Anatomy,Anatomy,على الوجه الخلفي.,على الوجه الانسي.,على الوجه الوحشي.,كل ماسبق خطأ.,,,A,ABCD,correct question & answer,high
53,Y1,على ماذا يرتكز الرباط الإبري اللامي؟,Anatomy,Anatomy,النهاية العلوية للقرن الصغير للعظم اللامي.,النهاية العلوية للقرن الكبير للعظم اللامي C.,الوجه الأمامي للعظم اللامي.,كل ما سبق خطأ.,,,A,ABCD,correct question & answer,high
54,Y2,من أي نوع من الخلايا تتشكل ضفيرة راشكوف في لب السن؟,Histology,Anatomy,ألياف ودية.,ألياف نظيرة ودية,ألياف حسية.,كل من a و .b,,,C,ABCD,correct question & answer,high
55,Y1,أين يقع المستقيم؟,Anatomy,Anatomy,القولون النازل والقولون السيني,القولون السيني والقناة الشرجية,القولون السيني والقولون المعترض,القولون المعترض والقولون السيني,,,B,ABCD,correct question & answer,high
73,Y1,من أي ضفيرة عصبية يتفرع العصب الحجابي؟,Anatomy,Anatomy,العضدية,القطنية,الرقبية,العجزية,,,C,ABCD,correct question & answer,high
74,Y1,من أين يُفرز الأدرينالين؟,Anatomy,Anatomy,قشرة الكظر,لب الكظر,الطحال,البنكرياس,,,B,ABCD,correct question & answer,high
75,Y1,من أي الأوردة يتشكل الوريد الأجوف السفلي؟,Anatomy,Anatomy,الوريدين الحرقفيين الخارجي والداخلي,الوريدين الحرقفيين المشتركين الأيمن والأيسر,الوريدين الفخذيين,كل ما سبق خطأ,,,B,ABCD,correct question & answer,high
78,Y2,ما الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,Histology and Anatomy,Anatomy,الخارجية,المتوسطة,الداخلية والمتوسطة,الداخلية,,,B,ABCDE,correct question & answer,high
79,Y1,مما ينتج هرمون T4؟,Anatomy,Anatomy,التوتة,الكظر,الدرق,النخامى,,,C,ABCD,correct question & answer,high
85,Y2,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,Anatomy,Anatomy,الظنبوبي الأمامي,الظنبوبي الخلفي,الشظوية الطويلة,الشظوية القصيرة,قابضة الإبهام الطويلة,,B,ABCDE,correct question & answer,high
87,Y1,أين تقع المنطقة الشمية؟,Anatomy,Anatomy,سقف الأنف,مقدمة الأنف,الجدار الوحشي للأنف,الجدار الأنسى للأنف,,,A,ABCD,correct question & answer,high
88,Y1,ما اسم الوسادة من النسيج الدهني الموجودة فوق الارتفاق العاني؟,Anatomy,Anatomy,جبل العانة,الشفر الصغير,الشفر الكبير,دهليز الفرج,,,A,ABCD,correct question & answer,medium (could be multiple answers of different contexts)
89,Y1,ما هي الأعصاب القحفية التي تعبر من الشق الحجاجي العلوي؟,Anatomy,Anatomy,الثالث + الرابع,السادس,الفرع العينى الخامس,كل ما سبق صحيح,,,D,ABCD,correct question & answer,medium (all 3 answers need to be written for the ground truth)
98,Y1,أين يتوضع الكولون السيني؟,Anatomy,Anatomy,الناحية المغبنية اليمنى,الناحية المغبنية اليسرى,الخثلية,لا شيء مما سبق,,,B,ABCD,correct question & answer,high
103,Y1,ما القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,Anatomy,Anatomy,الصدفة والقسم الحجاجي,الثلمة الغربالية,الصفيحة الغربالية العمودية,القسم الأنفي,,,B,ABCD,correct question & answer,high
105,Y1,ما هي الفروع الانتهائية للشريان السباتي الظاهر؟,Anatomy,Anatomy,الوتدي والفكي,الفكي والصدغي والسطحي,الفكي والوجهي,لا شيء مما سبق,,,B,ABCD,correct question & answer,high
113,Y1,من أين يمر عصب الفك العلوي؟,Anatomy,Anatomy,الثقبة المدورة,الثقبة الشوكية,الثقبة البيضية,الشق الحجابي العلوي,,,A,ABCD,correct question & answer,high
114,Y1,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,Anatomy,Anatomy,العرف الوتدي,السرج التركي,المنقار الوتدي,الثقبة المدورة,,,C,ABCD,correct question & answer,high
115,Y1,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,Anatomy,Anatomy,الدمعي أنسي الحجاج,الجبهي وحشي الحجاج,الفك العلوي أنسي الحجاج,الجبهي أنسي الحجاج,,,A,ABCD,correct question & answer,high
116,Y1,من أين ينشأ الشريان السباتي المشترك الأيسر؟,Anatomy,Anatomy,قوس الأبهر مباشرة,الأبهر البطني,الأبهر الصاعد,الشريان العضدي الرأسي,,,A,ABCD,correct question & answer,high
128,Y1,من أي ثقبة يعبر الشريان السحائي الأوسط؟,Anatomy,Anatomy,الثقبة البيضية,الثقبة المدورة,الثقبة الشوكية,الثقبة الإبرية الخشانية,,,C,ABCD,correct question & answer,high
138,Y1,ما اسم الطية الجلدية التي تغطي رأس القضيب؟,Anatomy,Anatomy,الحشفة,لفافة بوك,القلفة,البصلة,,,C,ABCD,correct question & answer,high
139,Y1,ما هو المكان الشائع لانحشار الأجسام الأجنبية في البلعوم الحنجري؟,Anatomy,Anatomy,الردب الكمثري,برزخ الحلق,الثقبة العوراء,كل ما سبق خطأ,,,A,ABCD,correct question & answer,high
145,Y1,على ماذا ترتكز الحفرة المدورية؟,Anatomy,Anatomy,العضلة السدادية الظاهرة,البسواس,المشطية,المربعة الفخذية,,,A,ABCD,correct question & answer,high
147,Y1,أين يتوضع الدرز الأكليلي؟,Anatomy,Anatomy,يتوضع بين العظم الجبهي والجداريين.,يتوضع بين الجداريين.,يتوضع بين الجداريين والعظم القذالي في الخلف.,كل ما سبق خطأ.,,,A,ABCD,correct question & answer,high
152,Y2,ماذا يفعل الرباط المتصالب الأمامي؟,Anatomy,Anatomy,يمتد من اللقمة الأنسية للفخذ,يرتكز على الحدبة الظنبوبية,يمنع انزياح الساق للأمام,يمنع انزياح الفخذ للأمام,,,c,ABCDE,correct question & answer,high
157,Y1,ما العصب القحفي الذي يعبر الثقبة البيضية؟,Anatomy,Anatomy,البصري,العينى,الفكي السفلي,الفكي العلوى,,,C,ABCD,correct question & answer,high
159,Y1,تتفرع القصبات الفصية إلى أي قصبات؟,Anatomy,Anatomy,تنفسية,رئيسية,قطعية شدفية,ليس كل ما سبق,,,C,ABCD,correct question & answer,high
161,Y1,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,Anatomy,Anatomy,القشرة,النخاع,جذع الدماغ,البصلة السيسائية,,,C,ABCD,correct question & answer,high
166,Y1,على ماذا يحوي البلعوم الفموي اللوزتين؟,Anatomy,Anatomy,الفمويتين,البلعوميتين,الحنكيتين,الانفيتين,,,C,ABCD,correct question & answer,high
167,Y1,على أي وجه من وجوه الكبد يوجد مسكن المرارة؟,Anatomy,Anatomy,العلوي,الخلفي,السفلي,الامامي,,,C,ABCD,correct question & answer,high
168,Y1,ما هو العصب القحفي الثاني؟,Anatomy,Anatomy,البصري - حاسي,العيني - حاسي,البصري - حسي,العيني – حسي,,,A,ABCD,correct question & answer,high
175,Y2,ما وظيفة العضلة تحت الكتفية؟,Anatomy,Anatomy,دوران وحشي للكتف.,دوران أنسي للكتف.,عطف المرفق.,عطف الكتف.,ولا واحد مما سبق.,,b,ABCDE,correct question & answer,high
178,Y2,أين تتوضع المشيمة في حالة ارتكاز المشيمة المعيب (placenta previa)؟,Histology,Anatomy,الجدار الأمامي للرحم.,الجدار الخلفي للرحم.,بين الجنين والمهبل.,في الفوهة الداخلية لعنق الرحم.,,,C,ABCD,correct question & answer,high
181,Y1,ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟,Anatomy,Anatomy,الام الجافية,الغشاء العنكبوتي,الام الحنون,كل ماسبق خطأ,,,A,ABCD,correct question & answer,high
183,Y1,أين تتوضع المنطقة الشمية؟,Anatomy,Anatomy,القسم العلوي من مخاطية الأنف,القسم السفلي من مخاطية الأنف,كل ما سبق صحيح,كل ما سبق خطأ,,,A,ABCD,correct question & answer,high
