id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ال glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ال lunula,A,Correct
,أين يقع الخط الالوي السفلي؟,المنطقة تحت the jaw,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ال branch,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضلات of the lateral compartment of the forearm,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,الepithelium,B,Correct
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الغشاء,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,parathyroid hormone,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ال opening,C,Incorrect
,أين تقع المنطقة الشمية؟,الغشاء,A,Incorrect
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,الرباط,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,الظهر,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,العصب,C,Incorrect
,أين يقع المستقيم؟,ANSWER: تحت الأمعاء,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,غدد,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,الهيوغلوس,C,Incorrect
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الضفيرة الشوكية,C,Incorrect
,من أين يفرز الأدرينالين؟,الغدة الكظر,B,Correct
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريد الشرياني,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,الطبقة العضية,B,Incorrect
,مما ينتج هرمون T4؟,ال thyroid,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,العضلة المرب,B,Incorrect
