id,input,prediction,ground_truth
1,"عضلات الكم المدوره للكتف

A) هى ثلاث عضلات
B) كلها تدير العضد للخارج
C) وحدة منها ترتكز على الحديبية الصغرى
D) المدورة الكبيرة اهم واحده منها",C,C
2,"دراسة وظائف العضو ووظائف الاتصال:

A) التشريح الوصفي
B) التشريح السريري
C) التشريح الفيزيولوجي
D) التشريح الجهازي",C,C
3,"مايلي صحيح عن مخاطية البوق عدا:

A) تبطن بظهارة بسيطة اسطوانية.
B) خلايا الظهارة المهدبة تضرب أهدابها باتجاه المبيض.
C) خلايا الظهارة المفرزة غير مهدبة.
D) الخاليا الوتدية cells peg تفرز غليكوبروتينات.",B,B
4,"عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :

A) السابع
B) التاسع
C) العاشر
D) الخامس",B,B
5,"القناة الدافقة إختر الإجابة الخاطئة :

A) تقيس القناة الدافقة أقل من واحد سم
B) تتشكل من إتحاد البربخ مع قناة الحويصلة المنوية
C) تنقب السطح الخلفي للمثانة
D) تنفتح على الجزء الموثي من الإحليل",A,C
6,"ال تحتوي سيتوبلاسما جدر الشعيرات :

A) صهاريج من شبكة سيتوبالاسمية ناعمة.
B) متقدرات.
C) ريبوزوم.
D) معقد كولجي صغير.",C,A
7,"تقوم ال Chief Cell بإفراز :

A) Pepsinogen
B) Trypsinogen
C) Lipase
D) الأول والثالث
E) كل ما سبق صحيح",E,D
8,"قوس بيضاء عند حدود جسم الظفر مع جذره :

A) هليل الظفر
B) سرير الظفر
C) استارة الظفر
D) اللعوة",C,A
9,". من فروع الشريان السباتي الباطن

A) Ophthalmic
B) الشريان المخيخي السفلي الامامي
C) الشريان المخيخي السفلي الخلفي
D) شوكي",B,A
10,". العظم الاضخم في هيكل القدم

A) Calcaneum
B) Navicular bone
C) Cuboid bone
D) Cuneiform bone",A,A
11,"كل ما يلي من صفات الحالب

A) نهايته العلوية تشكل الحويضة
B) عضو داخل البريتوان
C) فيه ثلاثة تضيقات
D) طوله 25 سم",C,B
12,". يقع الخط الالوي السفلي على

A) السطح الخارجي للحرقفة
B) الوجه الداخلي للحرقفة
C) الفرع العلوي للعانة
D) الوجه الخلفي للفخذ",B,A
13,"من جدران الفم ما عدا

A) يرزخ الحلق
B) الشدقان
C) الحنك
D) الشفتان",A,A
14,"اختر الخاطئ :

A) للمخ ست طبقات
B) يقسم المخ الى باحات حسب الانتظام النسيجي
C) الباحات الأولية تعمل على تخزين الذاكرة المكتسبة
D) كل ما سبق صحيح",C,C
15,"لا يمكن تمييز Internal Elastic Lamina بسهولة في :

A) Cerebral Artery
B) الأول والثالث
C) Elastic Artery
D) Muscular Artery",B,C
16,"الحافة من الفرع التي تشكل زاوية الفك السفلي:

A) الأمامية
B) الخلفية
C) العلوية
D) الوحشية",B,B
17,"تتعصب بالعصب الشظوى السطحى

A) العضله الظنبوبيه الخلفية
B) الرأس المستقيم للمستقيمه الفخذية
C) العضله الخياطية
D) العضلة المأبضيه
E) العضله الشظويه الطويله",A,E
18,"كل ما يلي من أثلام الوجه الوحشي لنصف الكرة المخية ماعدا :

A) الثلم الحزامي
B) المركزي
C) الثلم الجداري القذالي
D) الثلم الوحشي",D,A
19,"تشاهد الجسور بين الخلوية في:

A) الطبقة القاعدية من الانسجة الظهارية
B) الطبقة الشائكة من النسيج الظهاري المطبق
C) ظهارة المعدة
D) بين الخلايا العضلية السلية",B,B
20,"العضلات الوحشية في الساق عدا:

A) الشظوية الرابعة
B) الشظوية القصيرة
C) الشظوية الثالثة
D) الشظوية الطويلة",A,A
21,"تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة

A) الرباط العجزي الشوكي + الرباط الأربي
B) الرباط العجزي الشوكي العجزي الحدبي
C) الرباط الحدبي + الرباط الإربي
D) كل ما سبق خطأ",A,B
22,"في وضع الراحة (النظر الى جسم بعيد(:

A) ترتخي zonule fibers
B) تتقلص العضلة الهدبية.
C) يطبق الجسم الهدبي شدة على ألياف النطيقة وتتسطح العدسة.
D) كل ما سبق صحيح.",A,C
23,"اختر الإجابة الصحيحة حول Ovulation :

A) تحدث حوالي اليوم 14 من الدورة الشهرية.
B) ينتج عنها خلية بيضية ثانوية و جسم قطبي واحد.
C) إذا لم تتلقح الخلية البيضية الثانوية خالل 24 ساعة تبدأ بالتنكس.
D) كل ما سبق صحيح.",D,D
24,"التعصيب الحسي للطرف العلوي: (2016 أولى)

A) الجلدي الأنسي للساعد من الزندي.
B) الجلدي الخلفي للعضد من العصب الكعبري.
C) الجلدي الخلفي للساعد من العصب الكعبري.
D) الجلدي الوحشي العلوي للعضد من الإبطي.
E) الثلثين الوحشيين لراحة اليد من العصب الناصف.",B,A
25,". اختر الاجابة الخاطئة المتعلقة بالبلعوم:

A) يدعى Pharynx
B) يتصل مع الرغامي باربطة ليفية
C) يمتد من القحف حتى الفقرة الرقبية السادسة
D) قسماه الفموي والحنجري يتبعان للجهاز الهضمي",B,B
26,"ما يلي من عضلات الساعد الخلفية العميقة عدا:

A) باسطة الخنصر
B) باسطة الإبهام الطويلة
C) باسطة السبابة
D) باسطة الإبهام القصيرة",D,A
27,"يساهم بتشكيل مسبع ويليس ما عدا:

A) السباتي الظاهر
B) السباتي الباطن الأيسر
C) القاعدي
D) السباتي الباطن الأيمن",B,A
28,"يفرز هرمون ال PTH :

A) الغدد جارات الدرق
B) الغدة الدرقية
C) النخامي
D) الكظر",A,A
29,"من وظائف الهرمونات التي يفرزها المبيض :

A) تضمن تطور وصيانة الصفات الجنسية الأنثوية
B) تنظم الدورات الطمثية
C) تحافظ على الرحم للحمل
D) كل ما سبق صحيح",D,D
30,"توجد فيه Lymphatic vessels

A) Hyalin cartilage
B) Elastic cartilage
C) fubrocartilage
D) كل ما سبق صحيح
E) كل ما سبق خطأ.",E,E
31,"Sebaceous gland في الجلد :

A) هي انبوبة ذات قناة طويلة
B) تبدأ عملها عند البلوغ
C) تتواجد في أدمة الجلد الرقيق والسميك
D) الأول والثاني",D,B
32,"طبقات ال Midbrain :

A) يحتوي بين القسم المتوسط والخلي على المسال المخي
B) السقف في المركز
C) الساق خلفية
D) الغطاء في الامام",A,A
