id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
4165,MedGemma,both_correct,1,1,A,A,A,"Human physiology is concerned with all of the following except:
A) The study of the fine structure of organs and body systems
B) Metabolic processes in the organism's body
C) The performance of metabolic functions and the organism's growth
D) The processes of food metabolism and energy production","يهتم علم الفيزيولوجيا البشرية بكل ما يلي عدا:
A) دراسة التركيب الدقيق ألعضاء وأجهزة الجسم
B) العمليات الاستقلالية في جسم الكائن الحي
C) إنجاز الوظائف الاستقلالية ونمو الكائن
D) عمليات استقلاب الغذاء والحصول على الطاقة",
1524,MedGemma,both_correct,1,1,D,D,D,"Which of the following stimulates insulin secretion?
A) Glucose
B) Sugars
C) Proteins
D) All of the above","من محرضات إفراز الإنسولين:
A) الغلوكوز
B) سكرتين
C) البروتينات
D) كل ما سبق صحيح",
1136,MedGemma,both_correct,1,1,A,A,A,"Number of spinal cord segments:
A) 31
B) 31 pairs
C) 12
D) 15","عدد شدف النخاع الشوكي:
A) 31
B) 31 شفعًا
C) 12
D) 15",
4619,MedGemma,both_correct,1,1,A,A,A,"A method for collecting data, such as measuring the intensity of a hormone's effect on a group of mice, is:
A) Experiment
B) Recording
C) Mail
D) Internet","طريقة لجمع البيانات من أمثلتها قياس شدة تأثير نوع من الهرمونات في مجموعة من الفئران:
A) التجربة
B) التسجيل
C) البريد
D) الانترنيت",
2381,MedGemma,both_correct,1,1,C,C,C,"When a beam of electrons and a beam of protons pass near a negatively charged plate, the electron beam is deflected away from the plate, and the proton beam is deflected towards the plate:

A) The magnitude of the electron beam's deflection is similar to the magnitude of the proton beam's deflection.

B) The magnitude of the proton beam's deflection is slightly greater than the magnitude of the proton beam's deflection.

C) The magnitude of the electron beam's deflection is much greater than the magnitude of the proton beam's deflection.

D) The magnitude of the deflection depends on the number of protons and the number of electrons in each beam.","عند مرور حزمة من الالكترونات وحزمة البروتونات بجوار صفيحة مشحونة سلبا فإن حزمة الإلكترونات تنحرف مبتعدة عن الصفيحة وحزمة البروتونات تنحرف مقتربة من الصفيحة:
A) شدة انحراف حزمة الإلكترونات مشابهة لشدة انحراف البروتونات
B) شدة انحراف حزمة البروتونات أكبر بقليل من شدة انحراف البروتونات
C) شدة انحراف حزمة الإلكترونات أكبر بكثير من شدة انحراف البروتونات
D) تتعلق شدة الانحراف بعدد البروتونات وعدد الإلكترونات في كل حزمة",
2235,MedGemma,both_correct,1,1,D,D,D,"It participates in the synthesis of lysosomal enzymes except for:

A) RER
B) Ribosomes
C) Golgi apparatus
D) Peroxisomes","يشارك في تصنيع انزيمات الجسيمات الحالة ما عدا
A) RER
B) الريبوزومات
C) جهاز غولجي
D) البيروكسيزومات",
2135,MedGemma,both_correct,1,1,B,B,B,"They are densely concentrated in the cell periphery.
A) Microtubules
B) Microfilaments
C) Intermediate filaments
D) Macrotubules","تتركز بكثافة في محيط الخلية
A) Micro tubules
B) Micro filaments
C) Intermediate filaments
D) Macro tubules",
1652,MedGemma,both_correct,1,1,D,D,D,"Energy:
A) Dissipates and requires a continuous and constant source.

B) Is used in building living organisms and as mechanical kinetic energy.

C) Dissipates as heat into outer space.

D) All of the above are true.","الطاقة:
A) تتبدد ونكون بحاجة لمصدر مستمر ودائم لها .
B) تستنفذ في بناء الكائنات الحية وكطاقة حركية ميكانيكة .
C) تتبدد بشكل حرارة الى الفضاء الخارجي .
D) كل ما سبق صحيح .",
4598,MedGemma,both_correct,1,1,A,A,A,"In the experiment of tossing a coin 3 times consecutively, the mean probability distribution is: where x represents the number of times H appears.

A) 1.5
B) 2025-07-08 0:00:00
C) 3
D) 0.75","في تجربة رمي قطعة نقود 3 مرات متتالية فإن متوسط التوزيع الاحتمالي هو: حيث x تدل على عدد ظهور H
A) 1.5
B) 2025-07-08 0:00:00
C) 3
D) 0.75",
1483,MedGemma,both_correct,1,1,C,C,C,"The Mikatelis and Menten constants (Km) are used to determine:
A) Enzyme purity
B) Enzyme volume
C) Enzyme activity
D) All of the above are false","تستخدم ثابتة ميكاتيليس ومنتن Km لمعرفة:
A) درجة نقاوة الإنزيم
B) حجم الإنزيم
C) درجة فعالية الإنزيم
D) كل ما سبق خطأ",
