id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,البلعومي,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,الملاحظة,A,Incorrect
,أين يقع الخط الالوي السفلي؟,الخط الالوي السفلي,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الملاحظة,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,الملاحظة,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,الخلايا النجمية,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الاستيل كولين,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,الغدة الدرقية,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الاستيل كولين,C,Incorrect
,أين تقع المنطقة الشمية؟,الانقباض,A,Incorrect
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,الملاحظة,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,الملاحظة,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,الملاحظة,C,Incorrect
,أين يقع المستقيم؟,ANSWER: جزء من الأمعاء الغليظة,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,A+B,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,الحداني,C,Incorrect
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,الضفيرة الجيبية,C,Incorrect
,من أين يفرز الأدرينالين؟,الغدة الكظرية,B,Correct
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,الوريد الأجوف السفلي,B,Incorrect
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,الطبقة العضلية الملس,B,Correct
,مما ينتج هرمون T4؟,الدرقية,C,Correct
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,الاسمي,B,Incorrect
,أين تقع المنطقة الشمية؟,الانقباض,A,Incorrect
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: السطة,A,Incorrect
,أين يتوضع الكولون السيني؟,الملاحظة,B,Incorrect
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,المنوال,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,الانتهائي,B,Incorrect
,أين يمر عصب الفك العلوي؟,الخلايا النجمية,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,الوصفي,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,الجمجمة,A,Incorrect
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSWER: قوس الأبهري,A,Correct
,ما طول الأسهر؟,100,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,الخلايا النجمية,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,الملاحظة,C,Incorrect
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,الملاحظة,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,الملاحظة,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,A+B,c,Incorrect
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,A+B,C,Incorrect
,إلى أي قصبات تتفرع القصبات الفصية؟,القصبات الرئوية,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,الجمجمة,C,Incorrect
