id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
1,MedGemma,both_correct,1,1,C,C,C,"Rotator cuff muscles:
A) There are three muscles.
B) They all rotate the humerus externally.
C) One of them inserts onto the lesser tubercle.
D) The greater teres is the most important one.","عضلات الكم المدوره للكتف
A) هى ثلاث عضلات
B) كلها تدير العضد للخارج
C) وحدة منها ترتكز على الحديبية الصغرى
D) المدورة الكبيرة اهم واحده منها",
2,MedGemma,arabic_only,0,1,C,A,C,"Study of organ and communication functions:
A) Descriptive Anatomy
B) Clinical Anatomy
C) Physiological Anatomy
D) Systemic Anatomy","دراسة وظائف العضو ووظائف الاتصال:
A) التشريح الوصفي
B) التشريح السريري
C) التشريح الفيزيولوجي
D) التشريح الجهازي",
3,MedGemma,access_gap,1,0,B,B,,"The following are true about the fallopian tube mucosa EXCEPT:

A) It is lined with simple columnar epithelium.

B) Ciliated epithelial cells beat their cilia toward the ovary.

C) Secretory epithelial cells are non-ciliary.

D) Peg cells secrete glycoproteins.","مايلي صحيح عن مخاطية البوق عدا:
A) تبطن بظهارة بسيطة اسطوانية.
B) خلايا الظهارة المهدبة تضرب أهدابها باتجاه المبيض.
C) خلايا الظهارة المفرزة غير مهدبة.
D) الخاليا الوتدية cells peg تفرز غليكوبروتينات.",
4,MedGemma,access_gap,1,0,B,B,D,"A nerve that transmits taste sensation from the back third of the tongue:
A) Seventh
B) Ninth
C) Tenth
D) Fifth","عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :
A) السابع
B) التاسع
C) العاشر
D) الخامس",
5,MedGemma,both_wrong,0,0,C,B,A,"The ejaculatory duct. Choose the incorrect answer:
A) The ejaculatory duct measures less than one centimeter.
B) It is formed by the union of the epididymis and the seminal vesicle duct.
C) It pierces the posterior surface of the bladder.
D) It opens into the prostatic portion of the urethra.","القناة الدافقة إختر الإجابة الخاطئة :
A) تقيس القناة الدافقة أقل من واحد سم
B) تتشكل من إتحاد البربخ مع قناة الحويصلة المنوية
C) تنقب السطح الخلفي للمثانة
D) تنفتح على الجزء الموثي من الإحليل",
6,MedGemma,both_wrong,0,0,A,C,B,"The cytoplasmic walls contain:
A) cisternae of fine cytoplasmic reticulum.

B) mitochondria.

C) ribosomes.

D) a small Golgi complex.","ال تحتوي سيتوبلاسما جدر الشعيرات :
A) صهاريج من شبكة سيتوبالاسمية ناعمة.
B) متقدرات.
C) ريبوزوم.
D) معقد كولجي صغير.",
7,MedGemma,both_wrong,0,0,D,C,C,"The chief cell secretes:
A) Pepsinogen
B) Trypsinogen
C) Lipase
D) The first and third
E) All of the above","تقوم ال Chief Cell بإفراز :
A) Pepsinogen
B) Trypsinogen
C) Lipase
D) الأول والثالث
E) كل ما سبق صحيح",
8,MedGemma,both_correct,1,1,A,A,A,"A white arc at the border of the nail body with its root:
A) Lunus
B) Nail bed
C) Chantilly
D) Laminae","قوس بيضاء عند حدود جسم الظفر مع جذره :
A) هليل الظفر
B) سرير الظفر
C) استارة الظفر
D) اللعوة",
9,MedGemma,both_correct,1,1,A,A,A,"Branches of the internal carotid artery:

A) Ophthalmic
B) Anterior inferior cerebellar artery
C) Posterior inferior cerebellar artery
D) Spinal",". من فروع الشريان السباتي الباطن
A) Ophthalmic
B) الشريان المخيخي السفلي الامامي
C) الشريان المخيخي السفلي الخلفي
D) شوكي",
10,MedGemma,both_correct,1,1,A,A,A,"The largest bone in the foot skeleton:

A) Calcaneum
B) Navicular bone
C) Cuboid bone
D) Cuneiform bone",". العظم الاضخم في هيكل القدم
A) Calcaneum
B) Navicular bone
C) Cuboid bone
D) Cuneiform bone",
11,MedGemma,both_wrong,0,0,B,C,C,"All of the following are characteristics of the ureter:
A) Its upper end forms the renal pelvis
B) It is an intraperitoneal organ
C) It has three strictures
D) It is 25 cm long","كل ما يلي من صفات الحالب
A) نهايته العلوية تشكل الحويضة
B) عضو داخل البريتوان
C) فيه ثلاثة تضيقات
D) طوله 25 سم",
12,MedGemma,both_wrong,0,0,A,B,B,"The inferior gluteal line lies on:
A) the lateral surface of the ilium
B) the medial surface of the ilium
C) the superior ramus of the pubis
D) the posterior surface of the thigh",". يقع الخط الالوي السفلي على
A) السطح الخارجي للحرقفة
B) الوجه الداخلي للحرقفة
C) الفرع العلوي للعانة
D) الوجه الخلفي للفخذ",
13,MedGemma,both_correct,1,1,A,A,A,"Of the walls of the mouth except:
A) the pharynx
B) the cheeks
C) the palate
D) the lips","من جدران الفم ما عدا
A) يرزخ الحلق
B) الشدقان
C) الحنك
D) الشفتان",
14,MedGemma,both_correct,1,1,C,C,C,"Choose the incorrect option:
A) The brain has six layers
B) The brain is divided into areas according to tissue organization
C) Primary areas store acquired memories
D) All of the above are correct","اختر الخاطئ :
A) للمخ ست طبقات
B) يقسم المخ الى باحات حسب الانتظام النسيجي
C) الباحات الأولية تعمل على تخزين الذاكرة المكتسبة
D) كل ما سبق صحيح",
15,MedGemma,both_wrong,0,0,C,D,D,"Internal elastic laminae are not easily distinguishable in: A) Cerebral artery
B) First and third arteries
C) Elastic artery
D) Muscular artery","لا يمكن تمييز Internal Elastic Lamina بسهولة في :
A) Cerebral Artery
B) الأول والثالث
C) Elastic Artery
D) Muscular Artery",
16,MedGemma,arabic_only,0,1,B,C,B,"The ridge of the branch that forms the angle of the mandible: A) Anterior
B) Posterior
C) Superior
D) Distal","الحافة من الفرع التي تشكل زاوية الفك السفلي:
A) الأمامية
B) الخلفية
C) العلوية
D) الوحشية",
17,MedGemma,access_gap,1,0,E,E,C,"It is innervated by the superficial peroneal nerve:
A) Posterior tibialis muscle
B) Rectus head of the rectus femoris
C) Sartorius muscle
D) Popliteus muscle
E) Peroneus longus muscle","تتعصب بالعصب الشظوى السطحى
A) العضله الظنبوبيه الخلفية
B) الرأس المستقيم للمستقيمه الفخذية
C) العضله الخياطية
D) العضلة المأبضيه
E) العضله الشظويه الطويله",
18,MedGemma,both_correct,1,1,A,A,A,"All of the following are lateral sulci of the cerebral hemisphere except:
A) Centric sulcus
B) Central sulcus
C) Parieto-occipital sulcus
D) Lateral sulcus","كل ما يلي من أثلام الوجه الوحشي لنصف الكرة المخية ماعدا :
A) الثلم الحزامي
B) المركزي
C) الثلم الجداري القذالي
D) الثلم الوحشي",
19,MedGemma,both_correct,1,1,B,B,B,"Intercellular bridges are observed in:
A) the basal layer of epithelial tissue
B) the spinous layer of stratified epithelium
C) gastric epithelium
D) between tuberculoid muscle cells","تشاهد الجسور بين الخلوية في:
A) الطبقة القاعدية من الانسجة الظهارية
B) الطبقة الشائكة من النسيج الظهاري المطبق
C) ظهارة المعدة
D) بين الخلايا العضلية السلية",
20,MedGemma,both_correct,1,1,A,A,A,"The lateral muscles of the leg, except:
A) the fourth fibula
B) the fibula brevis
C) the third fibula
D) the fibula longus","العضلات الوحشية في الساق عدا:
A) الشظوية الرابعة
B) الشظوية القصيرة
C) الشظوية الثالثة
D) الشظوية الطويلة",
21,MedGemma,both_correct,1,1,B,B,B,"The two ischial notches are transformed into two foramina by:
A) the sacroiliac ligament + the inguinal ligament
B) the sacrotuberous ligament
C) the tuberous ligament + the inguinal ligament
D) all of the above are incorrect","تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة
A) الرباط العجزي الشوكي + الرباط الأربي
B) الرباط العجزي الشوكي العجزي الحدبي
C) الرباط الحدبي + الرباط الإربي
D) كل ما سبق خطأ",
22,MedGemma,access_gap,1,0,C,C,A,"At rest (looking at a distant object):
A) The zonule fibers relax.
B) The ciliary muscle contracts.

C) The ciliary body exerts tension on the zonule fibers, flattening the lens.

D) All of the above are true.","في وضع الراحة (النظر الى جسم بعيد(:
A) ترتخي zonule fibers
B) تتقلص العضلة الهدبية.
C) يطبق الجسم الهدبي شدة على ألياف النطيقة وتتسطح العدسة.
D) كل ما سبق صحيح.",
