id,input,prediction,ground_truth
,"ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟

A) السابع
B) التاسع
C) العاشر
D) الخامس",B,B
,"ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟

A) هليل الظفر
B) سرير الظفر
C) استارة الظفر
D) اللعوة",A,A
,"أين يقع الخط الالوي السفلي؟

A) السطح الخارجي للحرقفة
B) الوجه الداخلي للحرقفة
C) الفرع العلوي للعانة
D) الوجه الخلفي للفخذ",B,A
,"ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟

A) الأمامية
B) الخلفية
C) العلوية
D) الوحشية",B,B
,"ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟

A) العضله الظنبوبيه الخلفية
B) الرأس المستقيم للمستقيمه الفخذية
C) العضله الخياطية
D) العضلة المأبضيه
E) العضله الشظويه الطويله",D,E
,"أين تشاهد الجسور بين الخلوية؟

A) الطبقة القاعدية من الانسجة الظهارية
B) الطبقة الشائكة من النسيج الظهاري المطبق
C) ظهارة المعدة
D) بين الخلايا العضلية السلية",B,B
,"ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟

A) الرباط العجزي الشوكي + الرباط الأربي
B) الرباط العجزي الشوكي العجزي الحدبي
C) الرباط الحدبي + الرباط الإربي
D) كل ما سبق خطأ",A,B
,"ما هو الهرمون الذي يفرز PTH؟

A) الغدد جارات الدرق
B) الغدة الدرقية
C) النخامي
D) الكظر",A,A
,"ما الذي يقع بين جسم الفقرة والقوس الفقرية؟

A) الثقبة المستعرضة
B) الثقبة بين الفقرية
C) الثقبة الفقرية
D) الثقبة المغذية",B,C
,"أين تقع المنطقة الشمية؟

A) سقف الأنف
B) مقدمة الأنف
C) الجدارا الوحشي للأنف
D) الجدار الانسي للأنف",A,A
,"ما الذي يتصل به المدورين بالأمام في الفخذ؟

A) الخط بين المدورين
B) العرف بين المدورين
C) الثلمة بين المدورة
D) لا شئ مما سبق",A,A
,"أين يوجد التلم الكعبري في جسم العضد؟

A) على الوجه الخلفي.
B) على الوجه الانسي.
C) على الوجه الوحشي.
D) كل ماسبق خطأ.",A,A
,"ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟

A) ألياف ودية.
B) ألياف نظيرة ودية
C) ألياف حسية.
D) كل من a و .b",D,C
,"أين يقع المستقيم؟

A) القولون النازل والقولون السيني
B) القولون السيني والقناة الشرجية
C) القولون السيني والقولون المعترض
D) القولون المعترض والقولون السيني",B,B
,"إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟

A) دهنية
B) لعابية
C) عرقية
D) صباغية",B,A
,"ما هو العصب المحرك لعضلات اللسان؟

A) 11
B) 7
C) 12
D) 9",C,C
,"ما هي الضفيرة التي يتفرع منها العصب الحجابي؟

A) العضدية
B) القطنية
C) الرقبية
D) العجزية",C,C
,"من أين يفرز الأدرينالين؟

A) قشرة الكظر
B) لب الكظر
C) الطحال
D) البنكرياس",B,B
,"ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟

A) الوريدين الحرقفيين الخارجي والداخلي
B) الوريدين الحرقفيين المشتركين الأيمن والأيسر
C) الوريدين الفخذيين
D) كل ما سبق خطأ",B,B
,"ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟

A) الخارجية
B) المتوسطة
C) الداخلية والمتوسطة
D) الداخلية",B,B
,"مما ينتج هرمون T4؟

A) التوتة
B) الكظر
C) الدرق
D) النخامى",C,C
,"ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟

A) الظنبوبي الأمامي
B) الظنبوبي الخلفي
C) الشظوية الطويلة
D) الشظوية القصيرة
E) قابضة الإبهام الطويلة",B,B
,"أين تقع المنطقة الشمية؟

A) سقف الأنف
B) مقدمة الأنف
C) الجدار الوحشي للأنف
D) الجدار الأنسى للأنف",A,A
,"ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟

A) جبل العانة
B) الشفر الصغير
C) الشفر الكبير
D) دهليز الفرج",A,A
,"أين يتوضع الكولون السيني؟

A) الناحية المغبنية اليمنى
B) الناحية المغبنية اليسرى
C) الخثلية
D) لا شيء مما سبق",B,B
,"ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟

A) الصدفة والقسم الحجاجي
B) الثلمة الغربالية
C) الصفيحة الغربالية العمودية
D) القسم الأنفي",A,B
,"ما هي الفروع الانتهائية للسبات الظاهر؟

A) الوتدي والفكي
B) الفكي والصدغي والسطحي
C) الفكي والوجهي
D) لا شيء مما سبق",B,B
,"أين يمر عصب الفك العلوي؟

A) الثقبة المدورة
B) الثقبة الشوكية
C) الثقبة البيضية
D) الشق الحجابي العلوي",A,A
,"ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟

A) العرف الوتدي
B) السرج التركي
C) المنقار الوتدي
D) الثقبة المدورة",C,C
,"ما اسم العظم الذي يتوضع كيس الدمع عليه؟

A) الدمعي أنسي الحجاج
B) الجبهي وحشي الحجاج
C) الفك العلوي أنسي الحجاج
D) الجبهي أنسي الحجاج",A,A
,"من أين ينشأ الشريان السباتي المشترك الأيسر؟

A) قوس الأبهر مباشرة
B) الأبهر البطني
C) الأبهر الصاعد
D) الشريان العضدي الرأسي",A,A
,"ما طول الأسهر؟

A) 45 سم
B) 15سم
C) 6أمتار
D) 1أمتار",B,A
,"ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟

A) الثقبة البيضية
B) الثقبة المدورة
C) الثقبة الشوكية
D) الثقبة الإبرية الخشانية",B,C
,"ما هي الطية الجلدية التي تغطي رأس القضيب؟

A) الحشفة
B) لفافة بوك
C) القلفة
D) البصلة",C,C
,"ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟

A) العضلة السدادية الظاهرة
B) البسواس
C) المشطية
D) المربعة الفخذية",A,A
,"أين يتوضع الدرز الأكليلي؟

A) يتوضع بين العظم الجبهي والجداريين.
B) يتوضع بين الجداريين.
C) يتوضع بين الجداريين والعظم القذالي في الخلف.
D) كل ما سبق خطأ.",A,A
,"ماذا يفعل الرباط المتصالب الأمامي؟

A) يمتد من اللقمة الأنسية للفخذ
B) يرتكز على الحدبة الظنبوبية
C) يمنع انزياح الساق للأمام
D) يمنع انزياح الفخذ للأمام",D,C
,"ما العصب القحفي الذي يعبر الثقبة البيضية؟

A) البصري
B) العينى
C) الفكي السفلي
D) الفكي العلوى",D,C
,"إلى أي قصبات تتفرع القصبات الفصية؟

A) تنفسية
B) رئيسية
C) قطعية شدفية
D) ليس كل ما سبق",A,C
,"أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟

A) القشرة
B) النخاع
C) جذع الدماغ
D) البصلة السيسائية",C,C
,"على ماذا يحتوي البلعوم الفموي من اللوزتين؟

A) الفمويتين
B) البلعوميتين
C) الحنكيتين
D) الانفيتين",C,C
,"على أي من وجوه الكبد يوجد مسكن المرارة؟

A) العلوي
B) الخلفي
C) السفلي
D) الامامي",C,C
,"ما هو العصب القحفي الثاني؟

A) البصري - حاسي
B) العيني - حاسي
C) البصري - حسي
D) العيني – حسي",A,A
,"ما وظيفة العضلة تحت الكتفية؟

A) دوران وحشي للكتف.
B) دوران أنسي للكتف.
C) عطف المرفق.
D) عطف الكتف.
E) ولا واحد مما سبق.",A,B
,"أين تتوضع المشيمة في ارتكاز المشيمة المعيب؟

A) الجدار الأمامي للرحم.
B) الجدار الخلفي للرحم.
C) بين الجنين والمهبل.
D) في الفوهة الداخلية لعنق الرحم.",A,C
,"ما اسم الطبقة من السحايا التي تغطي الجيوب الوريدية؟

A) الام الجافية
B) الغشاء العنكبوتي
C) الام الحنون
D) كل ماسبق خطأ",A,A
,"ما هي الألياف التي تربط المراكز القشرية بالمحيط؟

A) إسقاطية
B) ترابطية
C) مشاركة
D) صوارية",A,A
,"ما الذي تشكله البصلة عندما تتمادى في الأمام في جسم القضيب؟

A) الجسم الكهفي
B) الجسم الاسفنجي
C) الساق الوسطى
D) لا شيء مما سبق",B,B
,"ما هي أكبر غدد الجسم؟

A) الكبد
B) الطحال
C) الدرقية
D) التيموس",A,A
,"ما هي الشرايين الخمسة التي يتفرع إليها الشريان الكلوي؟

A) قطعية
B) فصية
C) بين الفصوص
D) بين الفصيصات",A,A
,"بماذا ينتهي الشريان الوجهي؟

A) الشريان العيني
B) السباتي الظاهر
C) الشريان الزاوي
D) اللساني",B,C
,"ما هي طبقة لب السن الأكثر عمقا والأقرب لجوهر اللب؟

A) منطقة أرومة الخلايا السنية
B) المنطقة الغنية بالخلايا.
C) المنطقة الخالية من الخلايا
D) كل ما سبق خاطئ.",C,B
,"أين تقع فوهة مصب الجيب الأكليلي؟

A) أمام وأسفل مصب الأجوف العلوي
B) أمام وأعلى مصب الأجوف السفلي
C) أمام وأسفل مصب الأجوف السفلي
D) إلى الخلف من مصب الأجوف السفلي",A,C
,"ما هي الزاوية الأمامية السفلية للعظم الجداري؟

A) جبهية
B) وتدية
C) قذالية
D) خشائية",B,B
,"أي عصب هو المحرك لعضلات اللسان؟

A) 11
B) 7
C) 12
D) 9",C,C
,"ما هو البروز العظمي الذي يحتوي عليه الوجه الداخلي لفرع الفك السفلي؟

A) الشوكة الذقنية
B) الناشزة الذقنية
C) اللسين
D) الخط الضرسي اللامي",B,C
,"ما هي المواد التي تفرزها الغدد استجابة للتنبيه وترحل عبر الدم؟

A) الغدد
B) الهرمونات
C) المستقبلات
D) لا شئ مما سبق",B,B
,"ما هي الزاوية بين قبضة وجسم القص؟

A) لويس
B) مونتغومري
C) بيل
D) لا شئ مما سبق",A,A
,"من أين يخرج العصب الفكي العلوي من الجمجمة؟

A) الثقبة البيضية
B) الثقبة الشوكية
C) الثقبة المدورة
D) الثقبة الوداجية",C,C
,"ما الذي يحدد المنصف العلوي جانبياً؟

A) الجنية المنصفية.
B) النهاية السفلية للعضلة الطويلة العنقية.
C) منشأ العضلة القصية اللامية.
D) منشأ العضلة القصية الدرقية.
E) اللقافة الجانبية للقوس الأبهرية.",A,A
,"ما هما الممران اللذان يمر عبرهما الهواء إلى جوف الأنف؟

A) CHOANA
B) المنخرين
C) المنعرين
D) كل ما سبق خطأ",B,B
,"أين ترتكز العضلة العريضة الظهرية؟

A) قاع أخدود ذات الرأسين.
B) أنسي اخدود ذات الرأسين.
C) وحشي أخدود ذات الرأسين.
D) الناتئ الغرابي.
E) حديبة العضد الكبرى.",C,A
,"ما هو القولون الذي يمتد بشكل أفقي؟

A) الكولون النازل
B) الكولون الصاعد
C) الكولون المعترض
D) كل ما سبق خطأ",C,C
,"كم عدد القطع العصعصية في النخاع الشوكي؟

A) 5
B) 4
C) 2
D) 1",B,D
,"ما الطبقة التي تمثلها العضلة الدافعة في المثانة؟

A) المخاطية
B) العضلية
C) المصلية
D) تحت المخاطية",B,B
,"ما هي الخلايا التي توجد في الجلد وتعمل كمستقبلات آلية حسية؟

A) خلايا لانغرهانس.
B) خلايا ميركل.
C) خلايا الميلانين.
D) a+b",B,B
,"ما اسم الكرة الصغيرة فوق قمة الغضروف؟

A) الطرجهالي
B) القريني
C) الإسفيني
D) الفلكة",A,B
,"أين لا توجد الغدد الزهمية؟

A) راحة اليد وأخمص القدم
B) حشفة القضيب
C) دهليز الفرج
D) B+C",A,A
,"ما هو العصب المسؤول عن حركات عضلات الوجه التعبيرية؟

A) السابع
B) الخامس
C) الثالث
D) الأول",A,A
,"ما هي الزاوية الخلفية السفلية في العظم الجداري؟

A) خشانية
B) وتدية
C) قذالية
D) جبهية",A,A
,"ما هو الاسم الآخر لفرع الفك السفلي؟

A) القاعدة.
B) جسم الفك السفلي.
C) الرأد.
D) الحافة السنخية.",C,C
,"ماذا يفعل الرباط المتصالب الأمامي؟

A) يمتد من اللقمة الأنسية للفخذ
B) يرتكز على الحدية الظنبوبية
C) يمنع ازياح الساق للأمام
D) يمنع ازياح الفخذ للأمام",D,C
,"ما هي الثقبة التي يعبر من خلالها العصب الوجهي؟

A) الثقبة الإبرية الخشانية
B) الثقبة المدورة
C) الثقبة الشوكية
D) الثقبة البيضية",A,A
,"ماذا تفرز خلايا بيتا في البنكرياس؟

A) الغلوكاغون
B) الأنسولين
C) السوماتوستاتين
D) لا شيء مما سبق",B,B
,"ما هو التامور الخارجي الذي لا يرتبط بالقلب؟

A) التامور الليفي
B) التامور المصلي الجداري
C) التامور المصلي الحشوي :
D) لا شيء مما سبق",A,A
,"ما هو القسم من الضلع الواقع بين الرأس والحديبة؟

A) الجسم
B) الميزابة
C) العنق
D) الرأس",C,C
,"مع أي عظم يتمفصل الظنبوب في الأسفل؟

A) الكعب
B) العقب
C) القعب
D) الفخذ",C,C
,"أي من العضلات العميقة التالية للمثلث الخلفي للعنق ترتبط بحدبة الأطلس الخلفية؟

A) المستقيمه الرأسيه الخلفيه الصغيرة
B) المستقيمه الرأسيه الجانبيه
C) المستقيمه الرأسيه الاماميه
D) المستقيمه الرأسيه الخلفيه الكبيره
E) المنحرفه الرأسيه السفليه",A,A
