id,input,prediction,ground_truth,judge_label
,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,ANSWER: glossopharyngeal,B,Correct
,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,ANSWER: lunula,A,Correct
,أين يقع الخط الالوي السفلي؟,ANSWER: near the lower end of the sternum,A,Incorrect
,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,ANSWER: branch of the mandible,B,Incorrect
,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,ANSWER: extensor digitorum,E,Incorrect
,أين تشاهد الجسور بين الخلوية؟,ANSWER: under the ependyma,B,Incorrect
,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,ANSWER: canalis pterygoideus,B,Incorrect
,ما هو الهرمون الذي يفرز PTH؟,ANSWER: The parathyroid glands,A,Incorrect
,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,ANSWER: opening,C,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: near the top of the nasal cavity,A,Correct
,ما الذي يتصل به المدورين بالأمام في الفخذ؟,ANSWER: nerve,A,Incorrect
,أين يوجد التلم الكعبري في جسم العضد؟,ANSWER: near the deltoid tuberosity,A,Incorrect
,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ANSWER: processes of hutchinson,C,Incorrect
,أين يقع المستقيم؟,ANSWER: retroperitoneal,B,Incorrect
,إلى أي صنف من أصناف الغدد تنتمي حديثات المونتغمري؟,ANSWER: غدد sudoriferous,A,Incorrect
,ما هو العصب المحرك لعضلات اللسان؟,ANSWER: العصب hypoglossal,C,Correct
,ما هي الضفيرة التي يتفرع منها العصب الحجابي؟,ANSWER: الضفيرة vagal,C,Incorrect
,من أين يفرز الأدرينالين؟,ANSWER: gland,B,Incorrect
,ما هو الوريد الذي يتشكل منه الوريد الأجوف السفلي؟,ANSWER: The common iliac vein,B,Correct
,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,ANSWER: Tunica media,B,Correct
,مما ينتج هرمون T4؟,ANSWER: gland,C,Incorrect
,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,ANSWER: muscle palmaris longus,B,Incorrect
,أين تقع المنطقة الشمية؟,ANSWER: near the top of the nasal cavity,A,Correct
,ما هو اسم الوسادة من النسيج الدهني فوق الارتفاق العاني؟,ANSWER: fat pad,A,Incorrect
,أين يتوضع الكولون السيني؟,ANSWER: The left iliac fossa,B,Correct
,ما هو القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,ANSWER: the lesser wing,B,Incorrect
,ما هي الفروع الانتهائية للسبات الظاهر؟,ANSWER: branches,B,Incorrect
,أين يمر عصب الفك العلوي؟,ANSWER: fissura rotunda,A,Incorrect
,ما هي النقطة التشريحية على الوجه السفلي لجسم العظم الوتدي؟,ANSWER: fovea navicularis,C,Incorrect
,ما اسم العظم الذي يتوضع كيس الدمع عليه؟,ANSWER: bone of the lacrimal,A,Incorrect
,من أين ينشأ الشريان السباتي المشترك الأيسر؟,ANSWER: aorta,A,Correct
,ما طول الأسهر؟,ANSWER: 10-12 cm,A,Incorrect
,ما هو المكان الذي يعبر من خلاله الشريان السحائي الأوسط؟,ANSWER: fissura sylvii,C,Incorrect
,ما هي الطية الجلدية التي تغطي رأس القضيب؟,ANSWER: hood,C,Correct
,ما هي البنية التشريحية التي ترتكز على الحفرة المدورية؟,ANSWER: muscle,A,Incorrect
,أين يتوضع الدرز الأكليلي؟,ANSWER: near the apex,A,Incorrect
,ماذا يفعل الرباط المتصالب الأمامي؟,ANSWER: limits internal rotation,c,Incorrect
,ما العصب القحفي الذي يعبر الثقبة البيضية؟,ANSWER: V,C,Correct
,إلى أي قصبات تتفرع القصبات الفصية؟,ANSWER: bronchus,C,Incorrect
,أين توجد نوى الأعصاب القحفية من الثالث حتى الثاني عشر؟,ANSWER: brainstem,C,Correct
,على ماذا يحتوي البلعوم الفموي من اللوزتين؟,ANSWER: tonsils,C,Incorrect
,على أي من وجوه الكبد يوجد مسكن المرارة؟,ANSWER: The face,C,Incorrect
,ما هو العصب القحفي الثاني؟,ANSWER: The optic nerve,A,Correct
,ما وظيفة العضلة تحت الكتفية؟,ANSWER: rotation,b,Incorrect
