id,input,prediction,ground_truth,raw_output,primary_reasoning_objective,judge_label
1,"مريض: السلام عليكم دكتور، من كم شهر وأنا أحس بالعوار في عظامي، وعندي إمساك بشكل متكرر. بعد أحس بتعب وما أقدر أركّز، تفكيري مب صافي.

مساعد طبي: وعليكم السلام، فاهم عليك. تقدر توصفلي عوار العظام بتفصيل أكثر؟ وهل استوى عندك حصى بالكلى في الفترة الأخيرة؟

مريض: العوار مب في مكان محدد، أحس جنه عظامي تعورني من داخل. وللأسف، ياني حصى بالكلى مرتين خلال الثلاث سنين اللي طافت.

مساعد طبي: تمام، هالمعلومة مهمة. على حسب أعراضك وتاريخك مع حصى الكلى، ومع التحاليل اللي تبين إن الكالسيوم مرتفع بالدم، ممكن يكون عندك فرط نشاط الغدة الجار درقية. بنحتاج نسوي فحوصات إضافية عشان نأكد التشخيص.

مريض: فرط نشاط الغدة الجار درقية؟ أول مرة أسمع فيه. هل هو خطير؟ وشو العلاج اللي أحتاجه؟","فرط نشاط الغدة جار درية مش خطير إن ما يعالج، بس لازم نأكد التشخيص. بنحتاج نسوي فحوصات مثل مستوى PTH في الدم و scan for the glands. إن كان التشخيص إيجي, بنحتاج نعمل جراحة عشان استئصال الغدة.",الغدد الجار دراقية غدد صغيرة تكون ورا الغدة الدراقية. وظيفتها الأساسية  انها تنظّم مستوى الكالسيوم في الدم،  أحيانًا ممكن تصير خطيرة إذا الكالسيوم ارتفع بسرعة وبشكل حاد. الزين إن هالحالة لها علاج وغالبًا تكون عن طريق استئصال هالغدد بعملية جراحية. المهم انك ما تأخّر ولا تهمل الموضوع، ولازم تتابع مع دكتور مختص في الغدد الجار دراقية. بدون علاج ممكن تسبب آلام وحصى كلسية، وبعد ممكن تبطّئ حركة الجهاز الهضمي.,"ANSWER: فرط نشاط الغدة جار درية مش خطير إن ما يعالج، بس لازم نأكد التشخيص. بنحتاج نسوي فحوصات مثل مستوى PTH في الدم و scan for the glands. إن كان التشخيص إيجي, بنحتاج نعمل جراحة عشان استئصال الغدة.",,Incorrect
2,"مريضة: السلام عليكم دكتور. أحس بتعب وايد من يوم رجعت من إجازة الأمومة، ووزني زاد وايد مع إني ما آكل مثل قبل.

مساعد طبي: وعليكم السلام. أفهم قلقِج، فترة من عقب الولادة تكون متعبة. تحسين بأعراض ثانية غير زيادة الوزن وقلة الشهية؟

مريضة: هيه، أحس بالبرد على طول حتى لو الجو دافي، وبشرتي استوت ناشفة وايد. وبعد لاحظت شعري قام يطيح من الاطراف.

مساعد طبي: هالأعراض مهمة. لاحظتي أي تغيّر فالدورة الشهرية أو أي انتفاخ بمنطقة الرقبة؟

مريضة: هي والله، الدورة صارت اثجل واتيني كل ثلاث أسابيع بدل الشهر. وأحس شي برقبتّي، كأنها منتفخة شوي بس بدون عوار.

مساعد طبي: تمام. عندِج تاريخ بالعائلة لأمراض الغدد أو أمراض مناعة ذاتية؟ وتحسين بصعوبة فالبلع؟

مريضة: هي، أمي فيها سكري النوع الأول. أما البلع ما أحس بصعوبة، بس أنا وايد محاتية لانه كل ها الأعراض طالعة مع بعض","هالأعراض مع بعض تستاهل نسوي فحوصات لهرمونات الغدة الدرقية، لأننا نحتاج نقيس مستويات TSH, T3, and T4. أنصحك تراجع دكتور متخصص في الغدد الصماء عشان نأكد التشخيص.",هالحالة تعتبر بسيطة وعلاجها موجود لالتهاب أو خمول الغدة الدرقية بعد الولادة. المهم تتابعين ويا دكتور مختص بالغدة الدرقية وتسوين فحص هرمون TSH وفحص TPO antibodies عشان نتأكد إذا السبب من المناعة. وغالبًا هالمرض يتعالج بسرعة وبشكل نهائي، ف لا تحاتين.,"ANSWER: هالأعراض مع بعض تستاهل نسوي فحوصات لهرمونات الغدة الدرقية، لأننا نحتاج نقيس مستويات TSH, T3, and T4. أنصحك تراجع دكتور متخصص في الغدد الصماء عشان نأكد التشخيص.",,Incorrect
3,"مريض: السلام عليكم دكتور. أنا من تقريباً ست شهور أعاني من كم مشكلة وحاب أستشيركم.

مساعد طبي: وعليكم السلام. حيّاك، في شو أقدر أساعدك. شو المشاكل اللي تحس فيها بالضبط؟

مريض: عندي ضعف في الرغبة الجنسية وضعف في الانتصاب، وبعد لاحظت إن شعر ويهي قام يقل وصرت أتحلق أقل عن العادة.

مساعد طبي: فهمت. هذي أعراض مهمّة. عندك أعراض ثانية؟ مثل صداع أو مشاكل في النظر أو أي تغيّرات في الجسم؟

مريض: هي نعم، هالفترة عندي صداع خفيف بس مستمر، وأحس إن النظر الجانبي عندي صار فيه ضبابية شوي. وبعد لاحظت انتفاخ بسيط في الثدي.

مساعد طبي: هاي معلومات مفيدة وايد. تاخذ أي أدوية الحين؟ وهل تعرّضت لأي ضربة في الراس أو سويت عمليات قبل؟

مريض: لا، ما آخذ أي أدوية وما تعرّضت لأي إصابات في الراس ولا عمليات. هالأعراض مرتبطة ببعض؟ أنا وايد محاتي.","هالأعراض قد تكون بسبب خلل في الغدة الدرقية أو نقص في هرمون التستوستيرون, لازم نعمل فحوصات دم ونسوي الغدة.",هي، هالأعراض ممكن تكون مرتبطة طبياً ونحتاج تشخيص واضح. ممكن يكون الموضوع له علاقة بالغدة النخامية (البيتويتري)، واللي تحسين فيه ممكن يكون بسبب زيادة افراز هرمون البرولاكتين في الدم. غالبًا يكون ورم حميد ومب سرطاني، ويستجيب وايد زين للعلاج بالأدوية. المهم تتابعين ويا دكتور غدد صمّاء. لازم تسوي MRI (رنين مغناطيسي) عشان نحدد الحجم، وتسوي فحص نظر عشان نقيم التأثير على النظر الجانبي. باختصار، ما له داعي للذعر—هالحالة لها علاج إذا تتابعت ويا المختصين.,"ANSWER: هالأعراض قد تكون بسبب خلل في الغدة الدرقية أو نقص في هرمون التستوستيرون, لازم نعمل فحوصات دم ونسوي الغدة.",,Incorrect
4,"مريض: السلام عليكم دكتور. أنا وايد احاتي من الأعراض اللي مستويه فيني هالفترة. وزني زاد 12 كيلو خلال السنة اللي طافت، وأحس بضعف قوي في عضلاتي.

مساعد طبي: وعليكم السلام. فاهم ليش محاتية. هاي زيادة وزن مبينه. تقدرين تقولين لي وين متركزة الزيادة بالضبط؟ وشو نوع ضعف العضلات اللي تحسين فيه؟

مريض: الزيادة أكثر شي في البطن والويه. وبالنسبة لضعف العضلات، أتعب وايد وأنا أحاول أقوم من كرسي واطي وعميق، جنه ريولي ما تشيلني. وبعد طلعت لي خطوط لونها بنفسجي على بطني وورجي.

مساعد طبي: هاي أعراض مهمة. لاحظتي أي تغييرات ثانية هالأيام؟ مثلًا تغيّر في الدورة الشهرية أو طلوع شعر بشكل مو طبيعي؟

مريض: هي، دورتي صارت متلخبطة ومب منتظمة، طالعلي شعر في مكان يديد واللي هو على ويهي. وبعد دكتوري قال إن ضغطي مرتفع وصعب نسيطر عليه، وإن سكر الدم صار مرتفع شوي.

مساعد طبي: مشكورة على هالمعلومات الدقيقة. هالأعراض مع بعض—الزيادة اللي متركزة، الخطوط البنفسجية، ضعف العضلات، لخبطة الدورة، نمو الشعر، وارتفاع الضغط والسكر—تدل على احتمال يكون في خلل هرموني. نحتاج نسوي فحوصات هرمونات محددة عشان نأكد التشخيص.

مريض: تتوقع هالشي خطير؟ أنا وايد خايفة لأن كل هالأعراض طلعت بسرعة خلال سنة بس.","هالأعراض تدل على احتمال يكون في متلازمة كوشينغ. نحتاج نسوي فحوصات هرمون الكورتيز وCT scan عشان نأكد. هالمرض خطير لو ما يتreatedش, بس مع العلاج اللي مناسب، هتتحسن.",هالأعراض اللي عندج ممكن تكون متلازمة كوشينغ، وتعتبر خطيرة إذا ما تعالجت من البداية. لازم تراجعين دكتور غدد (endocrinologist) فأسرع وقت وتسوين الفحوصات اللازمة مثل الأشعة والتحاليل. بس لا تشلين هم، لها علاج وممكن تتحسنين بشكل كبير.,"ANSWER: هالأعراض تدل على احتمال يكون في متلازمة كوشينغ. نحتاج نسوي فحوصات هرمون الكورتيز وCT scan عشان نأكد. هالمرض خطير لو ما يتreatedش, بس مع العلاج اللي مناسب، هتتحسن.",,Correct
5,"مريض: السلام عليكم دكتور. من حوالي شهر فيني عطش وايد قوي، وأشرب ماي وايد كل يوم وما أحس إني أرتوي أبد.

مساعد طبي: وعليكم السلام. هلا فيك. هالشي يحتاج تقييم دقيق. تقريباً كم لتر ماي تشرب باليوم؟ ولاحظت أي تغيير بعدد مرات التبول؟

مريض: أشرب تقريباً 8 لترات أو أكثر باليوم! وفي اليل أقوم تقريباً كل ساعة عشان ابول، وهذا مأثر على رقادي وايد. والبول مستوي شفاف نفس الماي بالضبط.

مساعد طبي: هذا بصراحة مقلق. صار لك أي إصابة في راسك من جريب؟ ولا لاحظت أي تغيير في وزنك  في الفترة الأخيرة؟

مريض: هيه، استوالي حادث دراجة نارية بسيط من شهرين ياني ارتجاج خفيف  في المخ، بس الدكاترة قالوا ما فيه كسور  في الجمجمة. ونزلت 3 كيلو خلال الشهر اللي طاف.

مساعد طبي: فهمت الحين. عندك أي أعراض ثانية مثل تشوّش بالرؤية؟ وفيه تاريخ بالعائلة للسكر أو مشاكل  في السكر؟

مريض: لا، نظري طبيعي وما عندنا تاريخ عائلي للسكر. المشكلة الوحيدة هالعطش الشديد وكثرة التبول اللي تخلّيني مرات أشرب ماي بدال ما آكل وجبات.",هالاعراض كلها مشير لسكر. لازم نعمل فحوصات دم عشان نأكد.,هالحالة ممكن تكون خطيرة، اسمها دايبيتس إنسيبيدس، وتصير بسبب نقص هرمون ADH. هالشي يسبب جفاف قوي إذا ما تعالج، وممكن يسوي مضاعفات. نقدر نتأكد من التشخيص بفحوصات الدم والبول، وفي علاج يخفف الحالة. عشان جي لازم تراجع دكتور غدد خلال يوم أو يومين بالكثير.,ANSWER: هالاعراض كلها مشير لسكر. لازم نعمل فحوصات دم عشان نأكد.,,Incorrect
6,"مريضة: السلام عليكم دكتور. أنا طالبة جامعة، عمري 22 سنة، ومن أيام البلوغ وأنا أعاني من كذا مشكلة. الدورة عندي مب منتظمة أبد، ما تييني إلا ثلاث أو أربع مرات بالسنة.

مساعد طبي: وعليكم السلام. أفهم قلقج من عدم انتظام الدورة. في أعراض ثانية؟ مثل تغيّر بالوزن، أو زيادة بالشعر، أو مشاكل بالبشرة؟

مريضة: إي نعم. عندي حب شباب من أيام البلوغ، وما نفع وياي العلاج الموضعي. وبعد لاحظت شعر خشن وغامج يطلع بالذقن وفوق الشفة، وهذا محرج وايد.

مساعد طبي: أفهم ضيجج من هالأعراض. لاحظتي تغيّر بلون الجلد، خصوصاً بالرقبة أو تحت الإبط؟ وكم وزنچ تقريباً الحين؟

مريضة: إي، في بقع غامجة وملمسها مثل المخمل برقبتّي وتحت إبطي. وبالنسبة للوزن، أنا زايد وزني والـ BMI عندي 31. مع إني مسوية دايت وأقلل السعرات، بس ما أقدر أنزّل وزني، وهذا محبط وايد.

مساعد طبي: على حسب الأعراض اللي تقولينها—عدم انتظام الدورة، زيادة الشعر، حب الشباب، والبقع الغامجة بالجلد—ممكن يكون عندچ متلازمة تكيّس المبايض. سويتي قبل سونار للحوض؟

مريضة: إي، سويت سونار قبل، والدكتور قال شي عن وجود “أكياس” بس ما فهمت التفاصيل زين. هل هالشي له علاقة بكل هالمشاكل اللي أعاني منها؟","هالأكياس اللي في سونار هي بسبب متلازمة تكيّس المبايض، وده هو السبب في عدم انتظام الدورة، زيادة الوزن, وزيادة الشعر. هأكتب لك دواء عشان تنظيم الدورة وعلاج الأعراض, وده هيساعدك في تنظيم الهرمونات.",هي، على الأغلب عندج تشخيص اسمه PCOS (تكيس المبايض). هالحالة يكون فيها لخبطة بالهرمونات ومقاومة للإنسولين، وأكياس على المبايض. التشخيص المبكر وايد مهم. لازم تراجعين دكتورة نسا أو دكتور غدد عسبت ينظّمون الهرمونات وترجع الدورة لوضعها الطبيعي.,"ANSWER: هالأكياس اللي في سونار هي بسبب متلازمة تكيّس المبايض، وده هو السبب في عدم انتظام الدورة، زيادة الوزن, وزيادة الشعر. هأكتب لك دواء عشان تنظيم الدورة وعلاج الأعراض, وده هيساعدك في تنظيم الهرمونات.",,Correct
7,"مريض: السلام عليكم دكتور. أنا خايف من ضغط دمي. مع إني آخذ دوائين للضغط، بس القراءات لين الحين عالية وأحس بتشنجات في العضلات وتعب وضعف عام.

مساعد طبي: وعليكم السلام. فاهم ليش انت خايف... تقدر تقول لي آخر قراءة للضغط كم كانت؟ ومتى بديت تحس بهالتشنجات والضعف؟

مريض: آخر قراءة كانت 165/105. التشنجات بَدَت من كم أسبوع، خصوصاً في الريول، والضعف العام يزيد شوي شوي. وبعد التحاليل طلع عندي البوتاسيوم نازل.

مساعد طبي: هالشي صدق يخوف، خصوصاً ويا نزول البوتاسيوم. تاخذ أي أعشاب أو عرق سوس؟ وفي حد في العيلة عنده تاريخ سكتة مبكرة أو أمراض في الكلى؟

مريض: لا، ما آخذ أي أعشاب ولا عرق سوس، وما عندنا تاريخ سكتة ولا أمراض كلى. وأنا ملتزم بأكل قليل ملح مثل ما قلتوا لي.

مساعد طبي: حسب الأعراض ونزول البوتاسيوم مع ارتفاع الضغط رغم العلاج، يمكن نحتاج فحوصات زيادة عشان نستبعد حالة اسمها متلازمة كون. بحوّلك للدكتور خالد عشان يسوي لك فحص مستوى الألدوستيرون والرينين في الدم.

مريض: شو هي متلازمة كون؟ وهل هي خطيرة؟ ومتى أقدر أسوي هالفحوصات؟","متلازمة كون هي حالة بسبب زيادة هرمون aldosterone, which can cause high blood pressure and low potassium. It's serious if not treated, but we can manage it. You can do the tests tomorrow morning after fasting.",متلازمة كون (فرط الألدوستيرون الأولي) مرض قابل للعلاج. يصير بسبب زيادة هرمون الألدوستيرون، وهذا يسبب نقص بالبوتاسيوم واحتباس الصوديوم، وبالتالي ارتفاع الضغط. غالبًا السبب يكون تضخّم أو ورم حميد في الغدة الكظرية. لازم نأكد التشخيص بالتحاليل والفحوصات، وبعدها العلاج يكون يا بالأدوية أو عملية حسب السبب.,"ANSWER: متلازمة كون هي حالة بسبب زيادة هرمون aldosterone, which can cause high blood pressure and low potassium. It's serious if not treated, but we can manage it. You can do the tests tomorrow morning after fasting.",,Correct
8,"مريض: دكتور، أحس بتعب وايد وما عندي طاقة من فترة. مع إني ملتزم آخذ أدوية الغدّة الدرقية والتستوستيرون بانتظام بعد عملية الغدّة النخامية، بس ما أحس إني قاعد أتحسن.

مساعد طبي: فاهم عليك. تقدر تقول لي أكثر عن هالتعب؟ وكيف يكون؟ ولاحظت أي تغييرات ثانية بجسمك أو بحالتك النفسية؟

مريض: هيه نعم، انتبهت دهون البطن زادت مع إني أتمرّن بانتظام، وبعد حسّيت إن الكتلة العضلية عندي نقصت. حتى بشرتي صارت أرق وفيها تجاعيد أكثر من اللي بعمري.

مساعد طبي: هذي أعراض مهمة. تحس بتغيّر بحالتك النفسية أو الاجتماعية؟ وسويت أي فحوصات قريب؟

مريض: هيه، أحس مزاجي  متعكر وما أحس بالوناسه، واستويت أتجنب النشاطات الاجتماعية أكثر عن قبل. وعقب آخر فحص لكثافة العظام بيّن تراجع بمنطقة أسفل الظهر.

مساعد طبي: على حسب الأعراض اللي تقولها، أظن عندك نقص بهرمون النمو. هالشي ممكن بعد جراحة الغدّة النخامية. بنحتاج نسوي فحص تحفيز الهرمون عشان نتأكد من التشخيص.

مريض: يعني تقصد إني أحتاج علاج  زيادة؟ وكم بياخذ وقت هالفحص وشو المخاطر المحتملة؟",هالعلاج لازم عشان تحافظ على صحتك، وفحص تحفيز الهرمون بياخد يومين. المخاطر ضئيلة، بس ممكن يكون بعض تهيج في مكان الحقنة.,بعد ما نأكّد التشخيص من خلال فحص الدم—وعادةً ياخذ من ساعتين لين ثلاث ساعات—بنراقب كيف جسمج يتجاوب مع الإنسولين ونزول السكر، وهل يستجيب ويطلع كورتيزول ولا ما يطلع. ممكن تحسين بأعراض هبوط السكر مثل الدوخة والعرج والتعب. إذا تأكّد التشخيص، بتحتاجين تاخذين إبر هرمون النمو لمدة ما بين ستة وتسعة أشهر على الأقل.,ANSWER: هالعلاج لازم عشان تحافظ على صحتك، وفحص تحفيز الهرمون بياخد يومين. المخاطر ضئيلة، بس ممكن يكون بعض تهيج في مكان الحقنة.,,Incorrect
9,"مريض: أحس بألم قوي وايد في بطني وغثيان مستمر، وما أقدر أوقف الترجيع من الفجر.

مساعد طبي: فاهم عليج إنج وايد متضايقة. أشوف في ملفج إن عندج سكري نوع أول وتستخدمين مضخة إنسولين. متى بدت هالأعراض؟ وشو وضع مضخة الإنسولين؟

مريض: بدت الأعراض أمس يوم لاحظت إن مكان المضخة صار أحمر ومنتفخ شوي، بس ما غيّرت الأنبوب. واليوم أحس بتعب شديد ونفسي قام يصير سريع وعميق.

مساعد طبي: هذا وايد مهم. عدم تغيير أنبوب المضخة يوم يطلع احمرار ممكن يعني إن الإنسولين ما يوصل عدل. فحصتي سكر الدم قريب؟ وتحسين بجفاف في حلجج؟

مريض: إي، حلجي ناشف وايد ولساني بعد ناشف. ما فحصت السكر من أمس لأني كنت تعبانة وايد.

مساعد طبي: لازم أفحص السكر الحين فوراً ونسوي فحوصات ثانية. هالأعراض—الغثيان، الاستفراغ، ألم البطن، النفس السريع والعميق، والجفاف—ممكن تدل على حالة طارئة اسمها الحماض الكيتوني السكري. بنبدي العلاج بسوائل وريدية والإنسولين فوراً.

مريض: أنا خايفة وايد، هل هالشي خطير؟ وكان لازم أغيّر أنبوب المضخة أول ما شفت الاحمرار؟",هالحالة خطيرة، بس ما تخافي. لازم نبدأ العلاج فوراً. غيّر أنبوب المضخة حالاً ونسوي فحوصات.,هي، هالحالة ممكن تكون وايد خطيرة، ولازم تدخلين المستشفى فورًا. غالبًا بتحتاجين العناية المركّزة عشان تاخذين العلاج بسرعة: أول شي سوائل عن طريق الوريد، والإنسولين بعد عن طريق الوريد، ومعاهم نراقب الأملاح ونحسّن وضعج العام. وبخصوص الاحمرار مكان الإنسولين: هي نعم، المرة الياية لازم تخبرين دكتور الغدد بأسرع وقت. الاحمرار مكان المضخة ممكن يدل على إن الإنسولين ما يوصل للجسم صح.,ANSWER: هالحالة خطيرة، بس ما تخافي. لازم نبدأ العلاج فوراً. غيّر أنبوب المضخة حالاً ونسوي فحوصات.,,Correct
10,"مريض: أحس بحرارة قوية وايد وقلبي يدق بسرعة وايد! ما أقدر أسيطر على عمري، أحس اني متلخبط بالقو.

مساعد طبي: فاهم عليج إنج تحسين بتعب شديد. تتذكرين إذا كنتي تاخذين دوى الميثيمازول بانتظام عشان فرط نشاط الغدة الدرقية؟

مريض: لا... ما خذت الدوا من أسابيع. كان عندي التهاب فالمسالك البولية ودخلوني المستشفى بسببه.

مساعد طبي: هالشي مهم وايد. أشوف عندج حرارة عالية وسرعة فدقات القلب مع إسهال مائي متكرر. تحسين بعد بتعرّق شديد؟

مريض: هيه! أتعرّق وايد وأحس بالحر وايد. بعد ضغطي نازل والممرضات وايد خايفات.

مساعد طبي: حالتج تحتاج علاج فوري لشي يسمونه العاصفة الدرقية. بنبدا الحين على طول بحاصرات البيتا والكورتيكوستيرويدات وأدوية مضادة للدرقية. هاي حالة طارئة.

مريض: أنا وايد خايفة... هل ها خطير؟ مب فاهمة شو اللي قاعد يصير لي بالضبط.",لا تخافي، هالعلاج هيعمل على تخفيف الأعراض بسرعة. هادخلك المستشفى عشان نراقبك ونعالجك بشكل متكامل.,هي، هالحالة ممكن تكون وايد خطيرة، والأحسن إنج تدخلين المستشفى، وبالخصوص العناية المركزة، عشان نبدأ الدواء بأسرع وقت. في أدوية تنزّل نبض القلب اسمها بيتا بلوكرز، وفي أدوية مضادّة للغدّة الدرقية، وكورتيزون عشان يوقف تحويل الهرمونات اللي تطلع من الغدّة الدرقية. هالمرض الحمدلله ما عليه شي وقابل للعلاج، والأحسن بعد ما تطلعين من المستشفى تتابعين مع دكتورة متخصصة بالغدّة الدرقية عسب تكملين العلاج على المدى البعيد، إن شاء الله.,ANSWER: لا تخافي، هالعلاج هيعمل على تخفيف الأعراض بسرعة. هادخلك المستشفى عشان نراقبك ونعالجك بشكل متكامل.,,Correct
